,2026-03-31,2025-03-31
Free Cash Flow,31551058.0,77746936.0
Capital Expenditure,-5159533.0,-11215036.0
End Cash Position,87736101.0,68585359.0
Other Cash Adjustment Outside Changein Cash,,2091410.0
Beginning Cash Position,68585359.0,18752638.0
Changes In Cash,19150742.0,47741311.0
Financing Cash Flow,-12400316.0,-30005625.0
Cash Dividends Paid,-10000000.0,-28161220.0
Common Stock Dividend Paid,-10000000.0,-28161220.0
Investing Cash Flow,-5159533.0,-11215036.0
Net Intangibles Purchase And Sale,-513827.0,-126554.0
Purchase Of Intangibles,-513827.0,-126554.0
Net PPE Purchase And Sale,-4645706.0,-11088482.0
Purchase Of PPE,-4645706.0,-11088482.0
Operating Cash Flow,36710591.0,88961972.0
Taxes Refund Paid,-9911948.0,-8745706.0
Change In Working Capital,-15218208.0,13721742.0
Change In Other Current Assets,-10315451.0,-10038888.0
Change In Accrued Expense,905113.0,3628837.0
Change In Payable,10868917.0,-28108357.0
Change In Prepaid Assets,-540380.0,6066999.0
Change In Inventory,10206491.0,4297985.0
Change In Receivables,-26342898.0,37875166.0
Other Non Cash Items,604877.0,423435.0
Provisionand Write Offof Assets,-6897686.0,1295582.0
Depreciation And Amortization,7347891.0,5649076.0
Amortization Cash Flow,398579.0,305812.0
Depreciation,6949312.0,5343264.0
Pension And Employee Benefit Expense,3402765.0,3215351.0
Net Income From Continuing Operations,55920314.0,75161726.0
