,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,-201465755.2,6633117.528956
Tax Rate For Calcs,0.2,0.050762
Normalized EBITDA,2564237369.0,2123369605.0
Total Unusual Items,-1007328776.0,130670897.0
Total Unusual Items Excluding Goodwill,-1007328776.0,130670897.0
Net Income From Continuing Operation Net Minority Interest,-526999611.0,433509594.0
Reconciled Depreciation,1458227316.0,1132937708.0
Reconciled Cost Of Revenue,6415066545.0,6140189653.0
EBITDA,1556908593.0,2254040502.0
EBIT,98681277.0,1121102794.0
Net Interest Income,-464428039.0,-588419069.0
Interest Expense,590124818.0,664410585.0
Interest Income,163691760.0,104514865.0
Normalized Income,278863409.8,309471814.528956
Net Income From Continuing And Discontinued Operation,-526999611.0,433509594.0
Total Expenses,6861960603.0,6623875233.0
Rent Expense Supplemental,348329028.0,309541003.0
Total Operating Income As Reported,-27015502.0,1045111278.0
Diluted Average Shares,163546974.0,170851893.0
Basic Average Shares,163546974.0,170851893.0
Diluted EPS,-3.22,2.537341
Basic EPS,-3.22,2.537341
Diluted NI Availto Com Stockholders,-526999611.0,433509594.0
Net Income Common Stockholders,-526999611.0,433509594.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,-526999611.0,433509594.0
Net Income Including Noncontrolling Interests,-526999611.0,433509594.0
Net Income Continuous Operations,-526999611.0,433509594.0
Tax Provision,35556070.0,23182615.0
Pretax Income,-491443541.0,456692209.0
Special Income Charges,-1007328776.0,130670897.0
Other Special Charges,1007328776.0,-130670897.0
Net Non Operating Interest Income Expense,-464428039.0,-588419069.0
Total Other Finance Cost,37994981.0,28523349.0
Interest Expense Non Operating,590124818.0,664410585.0
Interest Income Non Operating,163691760.0,104514865.0
Operating Income,1036251140.0,984817904.0
Operating Expense,446894058.0,483685580.0
Other Operating Expenses,-9159180.0,26311879.0
Depreciation And Amortization In Income Statement,4709050.0,4006755.0
Depreciation Income Statement,4709050.0,4006755.0
Selling General And Administration,315088550.0,279332327.0
Selling And Marketing Expense,184338021.0,176154737.0
General And Administrative Expense,130750529.0,103177590.0
Gross Profit,1483145198.0,1468503484.0
Cost Of Revenue,6415066545.0,6140189653.0
Total Revenue,7844307533.0,7556068990.0
Operating Revenue,7844307533.0,7556068990.0
