,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,30450400.0,-86087769.545988,69590804.537457,-65658668.614265
Tax Rate For Calcs,0.2,0.098197,0.094846,0.080413
Normalized EBITDA,25726922000.0,24581102000.0,24803995000.0,24973440000.0
Total Unusual Items,152252000.0,-876686000.0,733727000.0,-816515000.0
Total Unusual Items Excluding Goodwill,152252000.0,-876686000.0,733727000.0,-816515000.0
Net Income From Continuing Operation Net Minority Interest,14882163000.0,10715292000.0,12536335000.0,12170537000.0
Reconciled Depreciation,10031171000.0,10336290000.0,10482577000.0,9990226000.0
Reconciled Cost Of Revenue,40118986000.0,38567489000.0,37037095000.0,30038291000.0
EBITDA,25879174000.0,23704416000.0,25537722000.0,24156925000.0
EBIT,15848003000.0,13368126000.0,15055145000.0,14166699000.0
Net Interest Income,151081000.0,484172000.0,413914000.0,-94139000.0
Interest Expense,1125361000.0,1233679000.0,1068102000.0,696602000.0
Interest Income,1259186000.0,1696310000.0,1475267000.0,602463000.0
Normalized Income,14760361400.0,11505890230.454012,11872198804.537457,12921393331.385735
Net Income From Continuing And Discontinued Operation,14828030000.0,24688652000.0,13295381000.0,12170537000.0
Total Expenses,63687481000.0,62580399000.0,58801075000.0,51646760000.0
Total Operating Income As Reported,14438264000.0,14425638000.0,13161291000.0,15088441000.0
Diluted Average Shares,5000000000.0,5000000000.0,5000000000.0,5000000000.0
Basic Average Shares,4988738000.0,4986034000.0,4983652000.0,4991503000.0
Diluted EPS,2.97,4.94,2.66,2.43
Basic EPS,2.97,4.95,2.67,2.44
Diluted NI Availto Com Stockholders,14828030000.0,24688652000.0,13295381000.0,12170537000.0
Net Income Common Stockholders,14828030000.0,24688652000.0,13295381000.0,12170537000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,14828030000.0,24688652000.0,13295381000.0,12170537000.0
Minority Interests,-306915000.0,-227591000.0,-124098000.0,-216385000.0
Net Income Including Noncontrolling Interests,15134945000.0,24916243000.0,13419479000.0,12386922000.0
Net Income Discontinuous Operations,-54133000.0,13973360000.0,759046000.0,
Net Income Continuous Operations,15189078000.0,10942883000.0,12660433000.0,12386922000.0
Tax Provision,-466436000.0,1191564000.0,1326610000.0,1083175000.0
Pretax Income,14722642000.0,12134447000.0,13987043000.0,13470097000.0
Other Non Operating Income Expenses,7042000.0,-61263000.0,-110976000.0,-136220000.0
Special Income Charges,-311627000.0,-1449097000.0,652382000.0,-1214874000.0
Other Special Charges,-205104000.0,-15535000.0,-1330019000.0,152802000.0
Write Off,516731000.0,1464632000.0,677637000.0,1062072000.0
Net Non Operating Interest Income Expense,151081000.0,484172000.0,413914000.0,-94139000.0
Total Other Finance Cost,-17256000.0,-21541000.0,-6749000.0,
Interest Expense Non Operating,1125361000.0,1233679000.0,1068102000.0,696602000.0
Interest Income Non Operating,1259186000.0,1696310000.0,1475267000.0,602463000.0
Operating Income,14131194000.0,13313014000.0,12976086000.0,15784786000.0
Operating Expense,23568495000.0,24012910000.0,21763980000.0,21608469000.0
Other Operating Expenses,542082000.0,644871000.0,577674000.0,703754000.0
Depreciation And Amortization In Income Statement,10031171000.0,9525477000.0,9284098000.0,9990226000.0
Depreciation Income Statement,10031171000.0,9525477000.0,9284098000.0,9990226000.0
Selling General And Administration,4534238000.0,3763320000.0,3855960000.0,3778968000.0
Selling And Marketing Expense,2992372000.0,2192046000.0,2288051000.0,2269969000.0
General And Administrative Expense,1541866000.0,1571274000.0,1567909000.0,1508999000.0
Gross Profit,37699689000.0,37325924000.0,34740066000.0,37393255000.0
Cost Of Revenue,40118986000.0,38567489000.0,37037095000.0,30038291000.0
Total Revenue,77818675000.0,75893413000.0,71777161000.0,67431546000.0
Operating Revenue,77818675000.0,75893413000.0,71777161000.0,67431546000.0
