,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,29100000.0,29100000.0,29100000.0,29100000.0,
Share Issued,29100000.0,29100000.0,29100000.0,29100000.0,
Total Debt,3442000.0,6750000.0,348000.0,2122000.0,
Tangible Book Value,208972000.0,246369000.0,247608000.0,182901000.0,
Invested Capital,222200000.0,253151000.0,254343000.0,188947000.0,
Net Tangible Assets,208972000.0,246369000.0,247608000.0,182901000.0,
Capital Lease Obligations,3442000.0,6750000.0,348000.0,2122000.0,
Common Stock Equity,222200000.0,253151000.0,254343000.0,188947000.0,
Total Capitalization,222200000.0,253151000.0,254343000.0,188947000.0,
Total Equity Gross Minority Interest,222200000.0,253151000.0,254343000.0,188947000.0,
Stockholders Equity,222200000.0,253151000.0,254343000.0,188947000.0,
Retained Earnings,-133569000.0,-92379000.0,-73998000.0,-143338000.0,
Capital Stock,291000000.0,291000000.0,291000000.0,291000000.0,
Common Stock,291000000.0,291000000.0,291000000.0,291000000.0,
Total Liabilities Net Minority Interest,772538000.0,641378000.0,643377000.0,542008000.0,
Non Current Pension And Other Postretirement Benefit Plans,20604000.0,17389000.0,16413000.0,13072000.0,
Non Current Accrued Expenses,38982000.0,21039000.0,34092000.0,0.0,
Non Current Deferred Revenue,,,,983000.0,1261000.0
Non Current Deferred Taxes Liabilities,3500000.0,8479000.0,11622000.0,9481000.0,
Long Term Debt And Capital Lease Obligation,3442000.0,6750000.0,348000.0,2122000.0,
Long Term Capital Lease Obligation,3442000.0,6750000.0,348000.0,2122000.0,
Payables,1162000.0,1253000.0,1778000.0,2342000.0,
Other Payable,1162000.0,1253000.0,1778000.0,2342000.0,
Dividends Payable,,,,5987000.0,5991000.0
Total Tax Payable,,,,5033000.0,2517000.0
Accounts Payable,,,,47698000.0,45538000.0
Total Assets,994738000.0,894529000.0,897720000.0,730955000.0,
Investments And Advances,511473000.0,90291000.0,43463000.0,87099000.0,
Investmentin Financial Assets,438652000.0,29137000.0,,20000000.0,20000000.0
Available For Sale Securities,,,,20000000.0,20000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,438652000.0,29137000.0,0.0,0.0,
Goodwill And Other Intangible Assets,13228000.0,6782000.0,6735000.0,6046000.0,
Other Intangible Assets,13228000.0,6782000.0,6735000.0,6046000.0,
Net PPE,11159000.0,11087000.0,4800000.0,7905000.0,
Accumulated Depreciation,-41023000.0,-38463000.0,-34117000.0,-9529000.0,
Gross PPE,52182000.0,49550000.0,38917000.0,17434000.0,
Other Properties,22573000.0,22573000.0,12973000.0,17434000.0,
Machinery Furniture Equipment,19584000.0,17001000.0,16209000.0,15665000.0,
Buildings And Improvements,10025000.0,9976000.0,9735000.0,9662000.0,
Prepaid Assets,18627000.0,18378000.0,32519000.0,35091000.0,
Other Receivables,1162000.0,1253000.0,1778000.0,4328000.0,
Accounts Receivable,,,,115717000.0,98415000.0
Cash Cash Equivalents And Short Term Investments,423482000.0,715822000.0,185096000.0,551430000.0,
Other Short Term Investments,72821000.0,61154000.0,43463000.0,67099000.0,
Cash And Cash Equivalents,350661000.0,654668000.0,141633000.0,484331000.0,
