,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.114027,0.103341,0.103232
Normalized EBITDA,411249405.0,334965472.0,305888429.0
Net Income From Continuing Operation Net Minority Interest,272156844.0,222384355.0,212164631.0
Reconciled Depreciation,7010146.0,6896388.0,6036327.0
Reconciled Cost Of Revenue,118290534.0,95781471.0,90449908.0
EBITDA,411249405.0,334965472.0,305888429.0
EBIT,404239259.0,328069084.0,299852102.0
Net Interest Income,-96071683.0,-80054737.0,-63264094.0
Interest Expense,97055266.0,80054737.0,63264094.0
Interest Income,983583.0,0.0,
Normalized Income,272156844.0,222384355.0,212164631.0
Net Income From Continuing And Discontinued Operation,272156844.0,222384355.0,212164631.0
Total Expenses,366081246.0,295244268.0,225799349.0
Rent Expense Supplemental,4031585.0,4410010.0,4450202.0
Diluted Average Shares,72000000.0,72000000.0,72000000.0
Basic Average Shares,72000000.0,72000000.0,72000000.0
Diluted EPS,3.784722,3.090278,2.946731
Basic EPS,3.784722,3.090278,2.946731
Diluted NI Availto Com Stockholders,272156844.0,222384355.0,212164631.0
Net Income Common Stockholders,272156844.0,222384355.0,212164631.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,272156844.0,222384355.0,212164631.0
Net Income Including Noncontrolling Interests,272156844.0,222384355.0,212164631.0
Net Income Continuous Operations,272156844.0,222384355.0,212164631.0
Tax Provision,35027149.0,25629992.0,24423377.0
Pretax Income,307183993.0,248014347.0,236588008.0
Other Non Operating Income Expenses,-134688.0,-359516.0,1797307.0
Net Non Operating Interest Income Expense,-96071683.0,-80054737.0,-63264094.0
Interest Expense Non Operating,97055266.0,80054737.0,63264094.0
Interest Income Non Operating,983583.0,0.0,
Operating Income,403390364.0,328428600.0,298054795.0
Operating Expense,247790712.0,199462797.0,135349441.0
Other Operating Expenses,199967348.0,155501271.0,105064852.0
Depreciation And Amortization In Income Statement,6988544.0,6383346.0,6036327.0
Amortization,,3959420.0,3245654.0
Depreciation Income Statement,6988544.0,6383346.0,2790673.0
Selling General And Administration,36803235.0,33168170.0,19798060.0
Selling And Marketing Expense,31608084.0,29008223.0,17215060.0
General And Administrative Expense,5195151.0,4159947.0,2583000.0
Rent And Landing Fees,4031585.0,4410010.0,4450202.0
Gross Profit,651181076.0,527891397.0,433404236.0
Cost Of Revenue,118290534.0,95781471.0,90449908.0
Total Revenue,769471610.0,623672868.0,523854144.0
Operating Revenue,769471610.0,623672868.0,523854144.0
