,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-310707440.0,-50946159.0,-99076321.0,-71268766.0,
Repayment Of Debt,-877443913.0,-671582668.0,-523339179.0,-434433500.0,
Issuance Of Debt,1427568170.0,927398762.0,751629912.0,716972936.0,
Capital Expenditure,-10513409.0,-12204013.0,-10814171.0,-5350338.0,
End Cash Position,28191523.0,34983515.0,52773524.0,100092690.0,
Beginning Cash Position,34983515.0,52773524.0,100092690.0,57712926.0,
Changes In Cash,-6791992.0,-17790009.0,-47319166.0,42379764.0,
Financing Cash Flow,303915448.0,33156150.0,51757155.0,113648530.0,
Interest Paid Cff,-99689665.0,-76814634.0,-56931159.0,-31026960.0,
Cash Dividends Paid,-96320000.0,-82990000.0,-78260000.0,-92450000.0,
Net Issuance Payments Of Debt,550124257.0,255816094.0,228290733.0,282539436.0,
Net Long Term Debt Issuance,550124257.0,255816094.0,228290733.0,282539436.0,
Long Term Debt Payments,-877443913.0,-671582668.0,-523339179.0,-434433500.0,
Long Term Debt Issuance,1427568170.0,927398762.0,751629912.0,716972936.0,
Investing Cash Flow,-10513409.0,-12204013.0,-10814171.0,-5350338.0,
Net Intangibles Purchase And Sale,,,,,0.0
Purchase Of Intangibles,,,,,0.0
Net PPE Purchase And Sale,-10513409.0,-12204013.0,-10814171.0,-5350338.0,
Purchase Of PPE,-10513409.0,-12204013.0,-10814171.0,-5350338.0,
Operating Cash Flow,-300194031.0,-38742146.0,-88262150.0,-65918428.0,
Taxes Refund Paid,-4769731.0,-23016824.0,-10778170.0,-6866365.0,
Change In Working Capital,104175369.0,255795965.0,164626040.0,-68842679.0,
Change In Other Current Assets,,,,,0.0
Change In Accrued Expense,8686223.0,-31587780.0,38299404.0,6114560.0,
Change In Payable,-28459941.0,38807543.0,38351189.0,-47444481.0,
Change In Prepaid Assets,-66243025.0,60717009.0,-33395699.0,-78533651.0,
Change In Inventory,315261550.0,260547695.0,199320652.0,133407022.0,
Change In Receivables,-125069438.0,-72688502.0,-77949506.0,-82386129.0,
Other Non Cash Items,107168419.0,84437253.0,59441477.0,27022359.0,
Provisionand Write Offof Assets,48287462.0,24329466.0,40459000.0,31404486.0,
Depreciation And Amortization,414835240.0,344781365.0,331984375.0,286500441.0,
Amortization Cash Flow,,,,,264321.0
Depreciation,414835240.0,344781365.0,331984375.0,286500441.0,
Pension And Employee Benefit Expense,7628661.0,6380265.0,6133628.0,4476681.0,
Gain Loss On Investment Securities,,,,-480196.0,-2280247.0
Gain Loss On Sale Of PPE,-4381701.0,223561.0,0.0,,
Net Income From Continuing Operations,184781397.0,187097938.0,151558016.0,203746694.0,
