,2025-12-31,2024-12-31
Ordinary Shares Number,1438647561.0,1438647561.0
Share Issued,1438647561.0,1438647561.0
Net Debt,7252106022.0,9477176777.0
Total Debt,7490945457.0,10002289777.0
Tangible Book Value,15834786604.0,12961351883.0
Invested Capital,23342836714.0,22960455842.0
Working Capital,1907739118.0,877821732.0
Net Tangible Assets,15834786604.0,12961351883.0
Capital Lease Obligations,11869839.0,11755363.0
Common Stock Equity,15863761096.0,12969921428.0
Total Capitalization,23006192462.0,22810402328.0
Total Equity Gross Minority Interest,15863761096.0,12969921428.0
Stockholders Equity,15863761096.0,12969921428.0
Retained Earnings,876944549.0,-108692762.0
Additional Paid In Capital,600340937.0,0.0
Capital Stock,14386475610.0,13078614190.0
Common Stock,14386475610.0,13078614190.0
Total Liabilities Net Minority Interest,9839131594.0,12090319073.0
Total Non Current Liabilities Net Minority Interest,7199495343.0,10015087638.0
Non Current Pension And Other Postretirement Benefit Plans,22716158.0,23378897.0
Tradeand Other Payables Non Current,25673180.0,142030478.0
Long Term Debt And Capital Lease Obligation,7151106005.0,9849678263.0
Long Term Capital Lease Obligation,8674639.0,9197363.0
Long Term Debt,7142431366.0,9840480900.0
Current Liabilities,2639636251.0,2075231435.0
Other Current Liabilities,4161981.0,940546.0
Current Deferred Taxes Liabilities,46644148.0,35845104.0
Current Debt And Capital Lease Obligation,339839452.0,152611514.0
Current Capital Lease Obligation,3195200.0,2558000.0
Current Debt,336644252.0,150053514.0
Payables,789378514.0,689896295.0
Other Payable,422294021.0,450353827.0
Accounts Payable,367084493.0,239542468.0
Total Assets,25702892690.0,25060240501.0
Total Non Current Assets,21155517321.0,22107187334.0
Investment Properties,16260306245.0,20411255690.0
Goodwill And Other Intangible Assets,28974492.0,8569545.0
Other Intangible Assets,28974492.0,8569545.0
Net PPE,3694464972.0,550036351.0
Accumulated Depreciation,-54678735.0,-44754720.0
Gross PPE,3749143707.0,594791071.0
Construction In Progress,2831370000.0,352437348.0
Other Properties,23361219.0,20517120.0
Machinery Furniture Equipment,47325897.0,25901978.0
Buildings And Improvements,62730012.0,22595452.0
Land And Improvements,784356579.0,173339173.0
Properties,0.0,0.0
Current Assets,4547375369.0,2953053167.0
Prepaid Assets,63790261.0,129792568.0
Inventory,2415388541.0,869036684.0
Finished Goods,2415388541.0,869036684.0
Other Receivables,8152884.0,8036538.0
Taxes Receivable,115686548.0,150086363.0
Accounts Receivable,1616298938.0,959939887.0
Cash Cash Equivalents And Short Term Investments,328058197.0,836161127.0
Other Short Term Investments,101088601.0,322803490.0
Cash And Cash Equivalents,226969596.0,513357637.0
Cash Equivalents,98000000.0,
Cash Financial,128969596.0,
