,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,102002100.0,102002100.0,102002100.0
Share Issued,102002100.0,102002100.0,102002100.0
Tangible Book Value,1015076238.0,1031396456.0,1047830162.0
Net Tangible Assets,1015076238.0,1031396456.0,1047830162.0
Common Stock Equity,1015076238.0,1031396456.0,1047830162.0
Total Equity Gross Minority Interest,1015076238.0,1031396456.0,1047830162.0
Stockholders Equity,1015076238.0,1031396456.0,1047830162.0
Total Liabilities Net Minority Interest,9809060.0,14300869.0,9294066.0
Payables,5147177.0,5750942.0,4517009.0
Other Payable,3590020.0,3632915.0,3515645.0
Total Tax Payable,1557157.0,2118027.0,1001364.0
Total Assets,1024885298.0,1045697325.0,1057124228.0
Investments And Advances,39336353.0,49087439.0,42284397.0
Investmentin Financial Assets,39336353.0,49087439.0,42284397.0
Available For Sale Securities,39336353.0,49087439.0,42284397.0
Investment Properties,958957035.0,978647190.0,998337345.0
Receivables,162516.0,153849.0,153849.0
Cash And Cash Equivalents,26429394.0,17808847.0,16348637.0
Cash Financial,26429394.0,17808847.0,16348637.0
Cash Cash Equivalents And Federal Funds Sold,26429394.0,17808847.0,16348637.0
