,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,116742456.0,-28906217.0,74753249.0,126596438.0,
Issuance Of Capital Stock,,0.0,265000000.0,0.0,
Capital Expenditure,-5388541.0,-6656884.0,-5128193.0,-5738555.0,
End Cash Position,84918484.0,67784373.0,57719509.0,79119376.0,
Other Cash Adjustment Outside Changein Cash,,,,,1.0
Beginning Cash Position,67784373.0,57719509.0,79119375.0,85343023.0,
Changes In Cash,17134111.0,10064864.0,-21399866.0,-6223647.0,
Financing Cash Flow,-3675786.0,-3305997.0,247607374.0,-1581400.0,
Net Common Stock Issuance,,0.0,265000000.0,0.0,
Common Stock Issuance,,0.0,265000000.0,0.0,
Investing Cash Flow,-101321100.0,35620194.0,-348888682.0,-136977240.0,
Net Other Investing Changes,-74614432.0,156757561.0,-365619827.0,-116557663.0,
Net Investment Purchase And Sale,-21318127.0,-114480483.0,21859338.0,-14681022.0,
Sale Of Investment,78681873.0,67258321.0,,,
Purchase Of Investment,-100000000.0,-181738804.0,,,
Net Intangibles Purchase And Sale,-3369261.0,-5193457.0,,,
Purchase Of Intangibles,-3369261.0,-5193457.0,,,
Net PPE Purchase And Sale,-2019280.0,-1463427.0,-5128193.0,-5738555.0,
Purchase Of PPE,-2019280.0,-1463427.0,-5128193.0,-5738555.0,
Operating Cash Flow,122130997.0,-22249333.0,79881442.0,132334993.0,
Taxes Refund Paid,-10459858.0,-13469574.0,-5614593.0,-4936921.0,
Change In Working Capital,128215947.0,-53340706.0,1542434.0,119295355.0,
Change In Other Current Liabilities,,,,4451595.0,182732.0
Change In Other Current Assets,132374081.0,-48885102.0,-10088804.0,,
Change In Accrued Expense,-3891141.0,-6107120.0,26136698.0,34223441.0,
Change In Payable,,,,25094600.0,-9045773.0
Change In Prepaid Assets,-267443.0,1651810.0,-14505587.0,-45622552.0,
Change In Receivables,,,,-83834598.0,-205150.0
Other Non Cash Items,239212.0,326350.0,656129.0,74936.0,
Provisionand Write Offof Assets,11614.0,-244687.0,127725.0,108516.0,
Deferred Tax,11000000.0,9400000.0,10000000.0,4500000.0,
Depreciation And Amortization,8536562.0,7657488.0,5177928.0,4921814.0,
Amortization Cash Flow,3037423.0,2591623.0,,,
Depreciation,5499139.0,5065865.0,5177928.0,4921814.0,
Pension And Employee Benefit Expense,2402095.0,2353986.0,2090233.0,1464000.0,
Gain Loss On Investment Securities,30258380.0,-3652158.0,,-1502439.0,-2675001.0
Net Income From Continuing Operations,-45181301.0,30147605.0,66291668.0,7255779.0,
