,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,36752575.0,46442798.0,38635798.0,56126558.0,
Repayment Of Debt,,,,,-75000000.0
Issuance Of Debt,2000000.0,36992501.0,0.0,,145000000.0
Issuance Of Capital Stock,,,,0.0,145000000.0
Capital Expenditure,-9498569.0,-15199858.0,-18849917.0,-10586631.0,
End Cash Position,70604702.0,61269980.0,47767378.0,59103028.0,
Beginning Cash Position,61269980.0,47767378.0,59103028.0,74501484.0,
Effect Of Exchange Rate Changes,-8345935.0,-30890557.0,-27269180.0,-26324439.0,
Changes In Cash,17680657.0,44393159.0,15933530.0,10925983.0,
Financing Cash Flow,-18874333.0,-3334519.0,-40927915.0,-45966694.0,
Net Other Financing Charges,,,,96000.0,-147570976.0
Interest Paid Cff,-2536977.0,-2215496.0,-689495.0,-3162365.0,
Cash Dividends Paid,,-17937761.0,-18222428.0,-15494642.0,
Common Stock Dividend Paid,0.0,-17937761.0,-18222428.0,-15494642.0,
Net Common Stock Issuance,,,,0.0,145000000.0
Common Stock Issuance,,,,0.0,145000000.0
Net Issuance Payments Of Debt,2000000.0,36992501.0,0.0,0.0,
Net Short Term Debt Issuance,2000000.0,36992501.0,0.0,,-128245357.0
Short Term Debt Payments,,,,,-128245357.0
Short Term Debt Issuance,2000000.0,36992501.0,0.0,,
Net Long Term Debt Issuance,,,,0.0,-75000000.0
Long Term Debt Payments,,,,,-75000000.0
Long Term Debt Issuance,,,,,145000000.0
Investing Cash Flow,-9696154.0,-13914978.0,-624270.0,-9820512.0,
Net Other Investing Changes,-441872.0,311223.0,-52743.0,586479.0,
Net Intangibles Purchase And Sale,-593559.0,-2061922.0,-2049955.0,-1437952.0,
Purchase Of Intangibles,-593559.0,-2061922.0,-2049955.0,-1437952.0,
Net PPE Purchase And Sale,-8660723.0,-12164279.0,1478428.0,-8969039.0,
Sale Of PPE,244287.0,973657.0,18278390.0,179640.0,
Purchase Of PPE,-8905010.0,-13137936.0,-16799962.0,-9148679.0,
Operating Cash Flow,46251144.0,61642656.0,57485715.0,66713189.0,
Taxes Refund Paid,-5703422.0,-11912795.0,-11046968.0,-12797147.0,
Interest Paid Cfo,-45890094.0,-32574012.0,-30320447.0,-24730337.0,
Change In Working Capital,5614354.0,20480298.0,-15844287.0,-23726926.0,
Change In Other Current Liabilities,,,,,-179676396.0
Change In Other Current Assets,5775298.0,80145952.0,-17508026.0,-21254276.0,
Change In Payable,701331640.0,130885140.0,88440550.0,212541175.0,
Change In Inventory,-464349145.0,-246274809.0,-35862492.0,-104906818.0,
Change In Receivables,-237143439.0,55724015.0,-50914319.0,-110107007.0,
Other Non Cash Items,45389114.0,40219807.0,38127169.0,33851632.0,
Provisionand Write Offof Assets,47075034.0,8657455.0,906570.0,3754298.0,
Depreciation And Amortization,27991254.0,29858610.0,34003003.0,42356135.0,
Amortization Cash Flow,3263437.0,3155325.0,2610399.0,2627983.0,
Depreciation,24727817.0,26703285.0,31392604.0,39728152.0,
Pension And Employee Benefit Expense,3372292.0,3231069.0,3384640.0,3819928.0,
Net Foreign Currency Exchange Gain Loss,-80996.0,-17611126.0,6592612.0,-3547028.0,
Gain Loss On Sale Of PPE,-213652.0,-424089.0,-12682154.0,337150.0,
Net Income From Continuing Operations,-38416632.0,25206601.0,45851323.0,52384202.0,
