,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,30000000.0,30000000.0,21237870.0,21237870.0
Share Issued,30000000.0,30000000.0,21237870.0,21237870.0
Total Debt,3343513.0,790271.0,1441978.0,2616991.0
Tangible Book Value,308833648.0,365918306.0,167570239.0,121891144.0
Invested Capital,342143409.0,400909965.0,198197604.0,153458074.0
Net Tangible Assets,308833648.0,365918306.0,167570239.0,121891144.0
Capital Lease Obligations,3343513.0,790271.0,1441978.0,2616991.0
Common Stock Equity,342143409.0,400909965.0,198197604.0,153458074.0
Total Capitalization,342143409.0,400909965.0,198197604.0,153458074.0
Total Equity Gross Minority Interest,342143409.0,400909965.0,198197604.0,153458074.0
Stockholders Equity,342143409.0,400909965.0,198197604.0,153458074.0
Retained Earnings,-41476996.0,28840334.0,10442518.0,-29246711.0
Capital Stock,300000000.0,300000000.0,140000000.0,140000000.0
Common Stock,300000000.0,300000000.0,140000000.0,140000000.0
Total Liabilities Net Minority Interest,309693696.0,342599237.0,375758591.0,414437387.0
Non Current Pension And Other Postretirement Benefit Plans,10465333.0,8868623.0,9062320.0,8031606.0
Non Current Accrued Expenses,1035753.0,620187.0,1136298.0,3415307.0
Non Current Deferred Taxes Liabilities,10346296.0,30408598.0,40186311.0,42653769.0
Long Term Debt And Capital Lease Obligation,1851275.0,149701.0,443771.0,765318.0
Long Term Capital Lease Obligation,1851275.0,149701.0,443771.0,765318.0
Long Term Provisions,2037954.0,,,
Current Debt And Capital Lease Obligation,1492238.0,640570.0,998207.0,1851673.0
Current Capital Lease Obligation,1492238.0,640570.0,998207.0,1851673.0
Payables,12100360.0,14425073.0,12628482.0,27537972.0
Other Payable,4417669.0,5424565.0,3944921.0,10473496.0
Dividends Payable,362849.0,369349.0,369849.0,370349.0
Total Tax Payable,7108387.0,7644760.0,4168963.0,6656611.0
Accounts Payable,211455.0,986399.0,4144749.0,10037516.0
Total Assets,651837105.0,743509202.0,573956195.0,567895461.0
Investments And Advances,151372168.0,146150466.0,93874324.0,90057581.0
Investmentin Financial Assets,37416544.0,47313196.0,50390072.0,50354454.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,37416544.0,47313196.0,50390072.0,50354454.0
Goodwill And Other Intangible Assets,33309761.0,34991659.0,30627365.0,31566930.0
Other Intangible Assets,7796011.0,9477909.0,5113615.0,6053180.0
Goodwill,25513750.0,25513750.0,25513750.0,25513750.0
Net PPE,8598154.0,6649163.0,5110145.0,7935620.0
Accumulated Depreciation,-20332797.0,-18938063.0,-17303312.0,-17941786.0
Gross PPE,28930951.0,25587226.0,22413457.0,25877406.0
Construction In Progress,0.0,2588250.0,0.0,
Other Properties,256800.0,411300.0,411300.0,517800.0
Machinery Furniture Equipment,13356273.0,13548734.0,12963215.0,12836936.0
Buildings And Improvements,15317878.0,9038942.0,9038942.0,12522670.0
Prepaid Assets,4109858.0,3563333.0,7679927.0,3609713.0
Other Receivables,3944195.0,5128202.0,2587475.0,8822881.0
Taxes Receivable,4052895.0,7353354.0,0.0,2289066.0
Accounts Receivable,4619188.0,7206877.0,14900010.0,16450185.0
Cash Cash Equivalents And Short Term Investments,284986032.0,361396953.0,199231920.0,262669792.0
Other Short Term Investments,113955624.0,98837270.0,43484252.0,39703127.0
Cash And Cash Equivalents,171030408.0,262559683.0,155747668.0,222966665.0
