,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,191211.0,-1600000.0,0.0,467011.063321
Tax Rate For Calcs,0.2,0.2,0.10901,0.075877
Normalized EBITDA,93860787.0,95981576.0,140969186.0,154193708.0
Total Unusual Items,956055.0,-8000000.0,0.0,6154810.0
Total Unusual Items Excluding Goodwill,956055.0,-8000000.0,0.0,6154810.0
Net Income From Continuing Operation Net Minority Interest,-18273204.0,-31600315.0,36416938.0,66773852.0
Reconciled Depreciation,38934395.0,40525794.0,34179829.0,33081985.0
Reconciled Cost Of Revenue,94113029.0,90740042.0,77450919.0,73699891.0
EBITDA,94816842.0,87981576.0,140969186.0,160348518.0
EBIT,55882447.0,47455782.0,106789357.0,127266533.0
Net Interest Income,-63812378.0,-63776846.0,-47172070.0,-31784855.0
Interest Expense,66713604.0,68245976.0,52176897.0,32805340.0
Interest Income,2901226.0,4469130.0,5004827.0,1020485.0
Normalized Income,-19038048.0,-25200315.0,36416938.0,61086053.063321
Net Income From Continuing And Discontinued Operation,-18273204.0,-31600315.0,36416938.0,66773852.0
Total Expenses,173563262.0,150992943.0,137422731.0,121820088.0
Total Operating Income As Reported,51926392.0,47455782.0,106789357.0,127266533.0
Diluted Average Shares,93333333.0,93333333.0,93333333.0,93333333.0
Basic Average Shares,93333333.0,93333333.0,93333333.0,93333333.0
Diluted EPS,-0.2,-0.34,0.39,0.72
Basic EPS,-0.2,-0.34,0.39,0.72
Diluted NI Availto Com Stockholders,-18273204.0,-31600315.0,36416938.0,66773852.0
Net Income Common Stockholders,-18273204.0,-31600315.0,36416938.0,66773852.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-18273204.0,-31600315.0,36416938.0,66773852.0
Minority Interests,-5730601.0,-7862065.0,-12242201.0,-20519870.0
Net Income Including Noncontrolling Interests,-12542603.0,-23738250.0,48659139.0,87293722.0
Net Income Continuous Operations,-12542603.0,-23738250.0,48659139.0,87293722.0
Tax Provision,1711446.0,2948056.0,5953321.0,7167471.0
Pretax Income,-10831157.0,-20790194.0,54612460.0,94461193.0
Special Income Charges,956055.0,-8000000.0,0.0,1840443.0
Other Special Charges,-3956055.0,,,
Write Off,9833668.0,1900618.0,11000000.0,4862967.0
Impairment Of Capital Assets,3000000.0,8000000.0,0.0,-1840443.0
Net Non Operating Interest Income Expense,-63812378.0,-63776846.0,-47172070.0,-31784855.0
Interest Expense Non Operating,66713604.0,68245976.0,52176897.0,32805340.0
Interest Income Non Operating,2901226.0,4469130.0,5004827.0,1020485.0
Operating Income,63513722.0,84894582.0,77733256.0,94288140.0
Operating Expense,79450233.0,60252901.0,59971812.0,48120197.0
Other Operating Expenses,14442850.0,3024535.0,12464788.0,8027764.0
Depreciation And Amortization In Income Statement,913912.0,574139.0,479331.0,519636.0
Depreciation Income Statement,913912.0,574139.0,479331.0,519636.0
Selling General And Administration,25389904.0,24510434.0,23624887.0,20432537.0
Selling And Marketing Expense,3439226.0,3881992.0,3131635.0,1640344.0
General And Administrative Expense,21950678.0,20628442.0,20493252.0,18792193.0
Gross Profit,142963955.0,145147483.0,137705068.0,142408337.0
Cost Of Revenue,94113029.0,90740042.0,77450919.0,73699891.0
Total Revenue,237076984.0,235887525.0,215155987.0,216108228.0
Operating Revenue,237076984.0,235887525.0,215155987.0,216108228.0
