,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-449932.6,1786955.4,-7682915.0,-1344033.8
Tax Rate For Calcs,0.2,0.2,0.2,0.2
Normalized EBITDA,-14527950.0,-36280625.0,-60445349.0,-40483966.0
Total Unusual Items,-2249663.0,8934777.0,-38414575.0,-6720169.0
Total Unusual Items Excluding Goodwill,-2249663.0,8934777.0,-38414575.0,-6720169.0
Net Income From Continuing Operation Net Minority Interest,-25352027.0,-40995299.0,-119959261.0,-63389796.0
Reconciled Depreciation,7543622.0,10979684.0,11776143.0,11540844.0
Reconciled Cost Of Revenue,2091406.0,24990053.0,96170406.0,70079447.0
EBITDA,-16777613.0,-27345848.0,-98859924.0,-47204135.0
EBIT,-24321235.0,-38325532.0,-110636067.0,-58744979.0
Net Interest Income,108202.0,-3238066.0,-908244.0,-1956637.0
Interest Expense,657960.0,793068.0,975678.0,1850705.0
Interest Income,1253908.0,1325433.0,2753461.0,1526228.0
Normalized Income,-23552296.6,-48143120.6,-89227601.0,-58013660.8
Net Income From Continuing And Discontinued Operation,-25352027.0,-40995299.0,-119959261.0,-63389796.0
Total Expenses,28393584.0,67013579.0,139509718.0,110586072.0
Rent Expense Supplemental,0.0,223142.0,1927894.0,2514448.0
Total Operating Income As Reported,-23833489.0,-34555101.0,-107950040.0,-58639047.0
Diluted Average Shares,6698604.0,6698604.0,6698603.0,6718697.0
Basic Average Shares,6698604.0,6698604.0,6698603.0,6718697.0
Diluted EPS,-3.78,-6.12,-17.909997,-9.434835
Basic EPS,-3.78,-6.12,-17.909997,-9.434835
Diluted NI Availto Com Stockholders,-25352027.0,-40995299.0,-119959261.0,-63389796.0
Net Income Common Stockholders,-25352027.0,-40995299.0,-119959261.0,-63389796.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-25352027.0,-40995299.0,-119959261.0,-63389796.0
Net Income Including Noncontrolling Interests,-25352027.0,-40995299.0,-119959261.0,-63389796.0
Net Income Continuous Operations,-25352027.0,-40995299.0,-119959261.0,-63389796.0
Tax Provision,372832.0,1876699.0,8347516.0,2794112.0
Pretax Income,-24979195.0,-39118600.0,-111611745.0,-60595684.0
Other Non Operating Income Expenses,1031708.0,1769260.0,11849069.0,2316059.0
Special Income Charges,-2743123.0,8934777.0,-38414575.0,-6720169.0
Other Special Charges,-4709638.0,-4570919.0,444491.0,691317.0
Write Off,-124773.0,3208633.0,1920992.0,4835052.0
Impairment Of Capital Assets,7577534.0,-7572491.0,36049092.0,1193800.0
Net Non Operating Interest Income Expense,108202.0,-3238066.0,-908244.0,-1956637.0
Total Other Finance Cost,487746.0,3770431.0,2686027.0,105932.0
Interest Expense Non Operating,657960.0,793068.0,975678.0,1850705.0
Interest Income Non Operating,1253908.0,1325433.0,2753461.0,1526228.0
Operating Income,-24315790.0,-47971009.0,-87301639.0,-61770556.0
Operating Expense,26302178.0,42023526.0,43339312.0,40506625.0
Other Operating Expenses,1310874.0,5772926.0,5018237.0,1324561.0
Depreciation And Amortization In Income Statement,7543622.0,7639657.0,3284591.0,3520710.0
Depreciation Income Statement,7543622.0,7639657.0,3284591.0,3520710.0
Selling General And Administration,6659410.0,16206143.0,12183439.0,11793490.0
Selling And Marketing Expense,1443381.0,3220443.0,6014351.0,6306403.0
General And Administrative Expense,5216029.0,12985700.0,6169088.0,5487087.0
Gross Profit,1986388.0,-5947483.0,-43962327.0,-21263931.0
Cost Of Revenue,2091406.0,24990053.0,96170406.0,70079447.0
Total Revenue,4077794.0,19042570.0,52208079.0,48815516.0
Operating Revenue,4077794.0,19042570.0,52208079.0,48815516.0
