,2025-12-31,2024-12-31
Ordinary Shares Number,102401332.0,102401332.0
Share Issued,102401332.0,102401332.0
Total Debt,243295000.0,165847000.0
Tangible Book Value,678588000.0,543218000.0
Invested Capital,1385048000.0,1220917000.0
Working Capital,273659000.0,155976000.0
Net Tangible Assets,678588000.0,543218000.0
Capital Lease Obligations,146119000.0,103182000.0
Common Stock Equity,1287872000.0,1158252000.0
Total Capitalization,1330059000.0,1175167000.0
Total Equity Gross Minority Interest,1363954000.0,1222419000.0
Minority Interest,76082000.0,64167000.0
Stockholders Equity,1287872000.0,1158252000.0
Retained Earnings,269672000.0,139244000.0
Additional Paid In Capital,0.0,0.0
Capital Stock,1024013000.0,1024013000.0
Common Stock,1024013000.0,1024013000.0
Total Liabilities Net Minority Interest,507745000.0,372100000.0
Total Non Current Liabilities Net Minority Interest,241809000.0,161800000.0
Non Current Pension And Other Postretirement Benefit Plans,27199000.0,20396000.0
Non Current Deferred Taxes Liabilities,49686000.0,51051000.0
Long Term Debt And Capital Lease Obligation,164924000.0,90353000.0
Long Term Capital Lease Obligation,122737000.0,73438000.0
Long Term Debt,42187000.0,16915000.0
Current Liabilities,265936000.0,210300000.0
Current Debt And Capital Lease Obligation,78371000.0,75494000.0
Current Capital Lease Obligation,23382000.0,29744000.0
Current Debt,54989000.0,45750000.0
Payables,107875000.0,72241000.0
Other Payable,,2880000.0
Accounts Payable,107875000.0,69361000.0
Total Assets,1871699000.0,1594519000.0
Total Non Current Assets,1332104000.0,1228243000.0
Long Term Equity Investment,427236000.0,401893000.0
Investmentsin Associatesat Cost,427236000.0,401893000.0
Goodwill And Other Intangible Assets,609284000.0,615034000.0
Other Intangible Assets,109017000.0,114767000.0
Goodwill,500267000.0,500267000.0
Net PPE,295584000.0,211316000.0
Accumulated Depreciation,-75313000.0,-58211000.0
Gross PPE,370897000.0,269527000.0
Construction In Progress,18302000.0,34233000.0
Other Properties,48263000.0,37866000.0
Machinery Furniture Equipment,23829000.0,18376000.0
Buildings And Improvements,224915000.0,154421000.0
Land And Improvements,55588000.0,24631000.0
Properties,0.0,0.0
Current Assets,539595000.0,366276000.0
Prepaid Assets,21020000.0,13690000.0
Inventory,1618000.0,1701000.0
Other Receivables,37036000.0,33940000.0
Accounts Receivable,140721000.0,115978000.0
Allowance For Doubtful Accounts Receivable,-27797000.0,-23200000.0
Gross Accounts Receivable,168518000.0,139178000.0
Cash Cash Equivalents And Short Term Investments,339200000.0,200967000.0
Cash And Cash Equivalents,339200000.0,200967000.0
Cash Equivalents,260516000.0,87462000.0
Cash Financial,78684000.0,113505000.0
