,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,-42416600.0,0.0,0.0
Tax Rate For Calcs,0.018719,0.2,0.053737,0.011351
Normalized EBITDA,838375000.0,165099000.0,365038000.0,512599000.0
Total Unusual Items,0.0,-212083000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,-212083000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,226226000.0,-259180000.0,171061000.0,294501000.0
Reconciled Depreciation,349262000.0,194406000.0,177962000.0,215466000.0
Reconciled Cost Of Revenue,2831914000.0,1904455000.0,1922056000.0,2412176000.0
EBITDA,838375000.0,-46984000.0,365038000.0,512599000.0
EBIT,489113000.0,-241390000.0,187076000.0,297133000.0
Net Interest Income,-252771000.0,-14072000.0,-10697000.0,-1393000.0
Interest Expense,252771000.0,14072000.0,10697000.0,1393000.0
Normalized Income,226226000.0,-89513600.0,171061000.0,294501000.0
Net Income From Continuing And Discontinued Operation,226226000.0,-259180000.0,171061000.0,294501000.0
Total Expenses,3026843000.0,2091182000.0,2091986000.0,2549503000.0
Rent Expense Supplemental,3231000.0,4855000.0,3242000.0,2279000.0
Total Operating Income As Reported,475096000.0,101454000.0,281528000.0,398968000.0
Diluted Average Shares,258500000.0,258500000.0,258765000.0,259501000.0
Basic Average Shares,258500000.0,258500000.0,258765000.0,259501000.0
Diluted EPS,0.88,-1.0,0.66,1.135
Basic EPS,0.88,-1.0,0.66,1.135
Diluted NI Availto Com Stockholders,226226000.0,-259180000.0,171061000.0,294501000.0
Net Income Common Stockholders,226226000.0,-259180000.0,171061000.0,294501000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,226226000.0,-259180000.0,171061000.0,294501000.0
Minority Interests,-5692000.0,5792000.0,4160000.0,2118000.0
Net Income Including Noncontrolling Interests,231918000.0,-264972000.0,166901000.0,292383000.0
Net Income Continuous Operations,231918000.0,-264972000.0,166901000.0,292383000.0
Tax Provision,4424000.0,9510000.0,9478000.0,3357000.0
Pretax Income,236342000.0,-255462000.0,176379000.0,295740000.0
Other Non Operating Income Expenses,14017000.0,2633000.0,2554000.0,7264000.0
Special Income Charges,0.0,-212083000.0,0.0,
Write Off,0.0,212083000.0,0.0,
Net Non Operating Interest Income Expense,-252771000.0,-14072000.0,-10697000.0,-1393000.0
Interest Expense Non Operating,252771000.0,14072000.0,10697000.0,1393000.0
Operating Income,475096000.0,101454000.0,281528000.0,398968000.0
Operating Expense,194929000.0,186727000.0,169930000.0,137327000.0
Other Operating Expenses,1039000.0,1344000.0,1325000.0,1345000.0
Depreciation And Amortization In Income Statement,15824000.0,19464000.0,10856000.0,11606000.0
Depreciation Income Statement,15824000.0,19464000.0,10856000.0,11606000.0
Selling General And Administration,86108000.0,69367000.0,73874000.0,63333000.0
Selling And Marketing Expense,55099000.0,33315000.0,32422000.0,33187000.0
General And Administrative Expense,31009000.0,36052000.0,41452000.0,30146000.0
Rent And Landing Fees,1705000.0,3600000.0,2250000.0,1310000.0
Gross Profit,670025000.0,288181000.0,451458000.0,536295000.0
Cost Of Revenue,2831914000.0,1904455000.0,1922056000.0,2412176000.0
Total Revenue,3501939000.0,2192636000.0,2373514000.0,2948471000.0
Operating Revenue,3501939000.0,2192636000.0,2373514000.0,2948471000.0
