,2023-08-31,2022-08-31,2021-08-31
Ordinary Shares Number,43000000.0,43000000.0,43000000.0
Share Issued,43000000.0,43000000.0,43000000.0
Total Debt,329566294.0,153704641.0,103252911.0
Tangible Book Value,613079528.0,570480398.0,533761555.0
Invested Capital,751777230.0,672797910.0,649948604.0
Working Capital,-34377842.0,50311253.0,81368076.0
Net Tangible Assets,613079528.0,570480398.0,533761555.0
Capital Lease Obligations,282511067.0,131454567.0,68302948.0
Common Stock Equity,704722003.0,650547836.0,614998641.0
Total Capitalization,734128182.0,661171384.0,631030803.0
Total Equity Gross Minority Interest,704722003.0,650547836.0,614998641.0
Stockholders Equity,704722003.0,650547836.0,614998641.0
Retained Earnings,124959603.0,80963888.0,52519345.0
Additional Paid In Capital,100985697.0,100985697.0,100985697.0
Capital Stock,430000000.0,430000000.0,430000000.0
Common Stock,430000000.0,430000000.0,430000000.0
Total Liabilities Net Minority Interest,629078421.0,353135300.0,245621674.0
Total Non Current Liabilities Net Minority Interest,358445344.0,180471774.0,132411518.0
Non Current Pension And Other Postretirement Benefit Plans,59018000.0,49414000.0,53774000.0
Long Term Debt And Capital Lease Obligation,299427344.0,131057774.0,78637518.0
Long Term Capital Lease Obligation,270021165.0,120434226.0,62605356.0
Long Term Debt,29406179.0,10623548.0,16032162.0
Current Liabilities,270633077.0,172663526.0,113210156.0
Current Deferred Taxes Liabilities,4213889.0,3539722.0,4019683.0
Current Debt And Capital Lease Obligation,30138950.0,22646867.0,24615393.0
Current Capital Lease Obligation,12489902.0,11020341.0,5697592.0
Current Debt,17649048.0,11626526.0,18917801.0
Current Provisions,669761.0,669761.0,
Payables,3950955.0,6910546.0,2677540.0
Other Payable,104435.0,3455570.0,688700.0
Accounts Payable,3846520.0,3454976.0,1988840.0
Total Assets,1333800424.0,1003683136.0,860620315.0
Total Non Current Assets,1097545189.0,780708357.0,666042083.0
Goodwill And Other Intangible Assets,91642475.0,80067438.0,81237086.0
Other Intangible Assets,8837023.0,7774851.0,8944499.0
Goodwill,82805452.0,72292587.0,72292587.0
Net PPE,1005902714.0,700640919.0,584804997.0
Accumulated Depreciation,-208568608.0,-174434405.0,-163392738.0
Gross PPE,1214471322.0,875075324.0,748197735.0
Construction In Progress,108022511.0,132548515.0,192690876.0
Other Properties,287947376.0,126073110.0,66034708.0
Machinery Furniture Equipment,192574196.0,141749913.0,109161230.0
Buildings And Improvements,409163429.0,317412611.0,267607246.0
Land And Improvements,216763810.0,157291175.0,112703675.0
Properties,0.0,0.0,0.0
Current Assets,236255235.0,222974779.0,194578232.0
Other Current Assets,,1120901.0,1085281.0
Prepaid Assets,22334271.0,30925938.0,30266787.0
Inventory,2147336.0,4157429.0,3618733.0
Finished Goods,2147336.0,,
Other Receivables,953380.0,26425858.0,-147773.0
Taxes Receivable,19919948.0,7989913.0,3968008.0
Accounts Receivable,22200577.0,22705762.0,19373208.0
Allowance For Doubtful Accounts Receivable,-19473731.0,-13956925.0,-15340990.0
Gross Accounts Receivable,41674308.0,36662687.0,34714198.0
Cash Cash Equivalents And Short Term Investments,168699723.0,169685730.0,137499269.0
Cash And Cash Equivalents,168699723.0,169685730.0,137499269.0
Cash Equivalents,95000000.0,105000000.0,85000000.0
Cash Financial,73699723.0,64685730.0,52499269.0
