,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,103603866.0,106793742.0,43039638.0,33836592.0,
Repayment Of Debt,-102495018.0,-48452324.0,-74861891.0,-3536045.0,
Issuance Of Debt,136738056.0,110096804.0,72111748.0,54126875.0,
Issuance Of Capital Stock,,,,0.0,200000000.0
Capital Expenditure,-43766799.0,-42105932.0,-86850792.0,-91850533.0,
End Cash Position,37503024.0,68578573.0,24323125.0,40169514.0,
Other Cash Adjustment Outside Changein Cash,,-1852167.0,,,
Beginning Cash Position,68578573.0,24323125.0,40169514.0,119751811.0,
Effect Of Exchange Rate Changes,-665672.0,-587509.0,-963728.0,740123.0,
Changes In Cash,-30409877.0,46695124.0,-14882661.0,-80322420.0,
Financing Cash Flow,-128097935.0,-66437666.0,-119793864.0,-59863641.0,
Net Other Financing Charges,,,-30600000.0,11026327.0,-1881942.0
Interest Paid Cff,-86231746.0,-87520464.0,-83408550.0,-60222656.0,
Cash Dividends Paid,,,-5469385.0,-2776181.0,-11250000.0
Common Stock Dividend Paid,,,-5469385.0,-2776181.0,
Net Common Stock Issuance,,,,0.0,200000000.0
Common Stock Issuance,,,,0.0,200000000.0
Net Issuance Payments Of Debt,25876563.0,59273523.0,54614291.0,34891775.0,
Net Short Term Debt Issuance,-8366475.0,-2370957.0,57364434.0,-15699055.0,
Short Term Debt Payments,,,,,-826958.0
Net Long Term Debt Issuance,34243038.0,61644480.0,-2750143.0,50590830.0,
Long Term Debt Payments,-102495018.0,-48452324.0,-74861891.0,-3536045.0,
Long Term Debt Issuance,136738056.0,110096804.0,72111748.0,54126875.0,
Investing Cash Flow,-49682607.0,-35766884.0,-24979227.0,-146145904.0,
Net Other Investing Changes,7001056.0,3332848.0,444283.0,,
Net Investment Purchase And Sale,0.0,3006200.0,90097286.0,,
Sale Of Investment,0.0,3006200.0,90097286.0,,
Net Business Purchase And Sale,-12916864.0,0.0,-28670004.0,-57357850.0,
Sale Of Business,,,90097286.0,0.0,
Purchase Of Business,-12916864.0,0.0,-28670004.0,-57357850.0,
Net Intangibles Purchase And Sale,-5246979.0,-2317922.0,-7777771.0,-1312487.0,
Purchase Of Intangibles,-5246979.0,-2317922.0,-7777771.0,-1312487.0,
Net PPE Purchase And Sale,-38519820.0,-39788010.0,-79073021.0,-87475567.0,
Sale Of PPE,,,444283.0,3062479.0,2996388.0
Purchase Of PPE,-38519820.0,-39788010.0,-79073021.0,-90538046.0,
Operating Cash Flow,147370665.0,148899674.0,129890430.0,125687125.0,
Taxes Refund Paid,-9617166.0,-19641466.0,-17187936.0,-10781842.0,
Change In Working Capital,-68382492.0,-4004501.0,-46031079.0,5172168.0,
Change In Other Current Assets,-4405993.0,-30461810.0,19402989.0,12463861.0,
Change In Accrued Expense,-5294704.0,-9345599.0,26004094.0,,
Change In Payable,-4207233.0,25893742.0,-18437275.0,3339018.0,
Change In Prepaid Assets,-19227668.0,-16116278.0,-13113226.0,46066805.0,
Change In Inventory,83483.0,1279813.0,3629950.0,2213599.0,
Change In Receivables,-35330377.0,24745631.0,-63517611.0,-58911115.0,
Other Non Cash Items,52522039.0,-4607508.0,75488708.0,52255721.0,
Provisionand Write Offof Assets,32836227.0,20978404.0,31159375.0,10164414.0,
Depreciation And Amortization,86776411.0,82604716.0,79252438.0,82241694.0,
Amortization Cash Flow,8728171.0,7069287.0,6062413.0,4713181.0,
Depreciation,78048240.0,75535429.0,73190025.0,77528513.0,
Pension And Employee Benefit Expense,20072550.0,17528336.0,12740931.0,15859568.0,
Gain Loss On Investment Securities,1688665.0,291545.0,2041036.0,-3811154.0,
Net Foreign Currency Exchange Gain Loss,,,,940088.0,44077.0
Gain Loss On Sale Of PPE,0.0,155136.0,-5340.0,2232447.0,
Net Income From Continuing Operations,26961696.0,96168322.0,-9900470.0,4615552.0,
