,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,26500000.0,26500000.0,26500000.0
Share Issued,26500000.0,26500000.0,26500000.0
Total Debt,15212248.0,15543391.0,12439234.0
Tangible Book Value,340088332.0,340538497.0,294391021.0
Invested Capital,351688423.0,349703266.0,300307170.0
Working Capital,338553184.0,324033944.0,252509919.0
Net Tangible Assets,340088332.0,340538497.0,294391021.0
Capital Lease Obligations,15212248.0,15543391.0,12439234.0
Common Stock Equity,351688423.0,349703266.0,300307170.0
Total Capitalization,351688423.0,349703266.0,300307170.0
Total Equity Gross Minority Interest,354891065.0,351576007.0,301662237.0
Minority Interest,3202642.0,1872741.0,1355067.0
Stockholders Equity,351688423.0,349703266.0,300307170.0
Retained Earnings,86688423.0,84703266.0,86330859.0
Capital Stock,265000000.0,265000000.0,200000000.0
Common Stock,265000000.0,265000000.0,200000000.0
Total Liabilities Net Minority Interest,239689786.0,204097856.0,148840707.0
Total Non Current Liabilities Net Minority Interest,77704674.0,61146107.0,25114001.0
Non Current Pension And Other Postretirement Benefit Plans,29854418.0,21593726.0,14822720.0
Non Current Deferred Revenue,38530040.0,29225207.0,1884058.0
Long Term Debt And Capital Lease Obligation,9320216.0,10327174.0,8407223.0
Long Term Capital Lease Obligation,9320216.0,10327174.0,8407223.0
Current Liabilities,161985112.0,142951749.0,123726706.0
Current Deferred Taxes Liabilities,12808795.0,12609385.0,11174891.0
Current Debt And Capital Lease Obligation,5892032.0,5216217.0,4032011.0
Current Capital Lease Obligation,5892032.0,5216217.0,4032011.0
Pensionand Other Post Retirement Benefit Plans Current,29695706.0,19206514.0,13086177.0
Payables,16010919.0,15437045.0,14602104.0
Total Tax Payable,9353822.0,8309522.0,5689422.0
Accounts Payable,6657097.0,7127523.0,8912682.0
Total Assets,594580851.0,555673863.0,450502944.0
Total Non Current Assets,94042555.0,88688170.0,74266319.0
Other Non Current Assets,4782507.0,6670422.0,3621757.0
Non Current Prepaid Assets,12885408.0,4751780.0,3234813.0
Goodwill And Other Intangible Assets,11600091.0,9164769.0,5916149.0
Other Intangible Assets,11600091.0,9164769.0,5916149.0
Net PPE,51344235.0,56713254.0,51493600.0
Accumulated Depreciation,-41335655.0,-34391266.0,-28138277.0
Gross PPE,92679890.0,91104520.0,79631877.0
Other Properties,19823802.0,20017927.0,16120018.0
Machinery Furniture Equipment,38125142.0,36492168.0,29371880.0
Buildings And Improvements,20771263.0,20634742.0,18727796.0
Land And Improvements,13959683.0,13959683.0,15412183.0
Properties,0.0,0.0,0.0
Current Assets,500538296.0,466985693.0,376236625.0
Other Current Assets,34000462.0,32859120.0,25049849.0
Restricted Cash,,0.0,3462361.0
Prepaid Assets,65239034.0,63203923.0,50627600.0
Other Receivables,3943405.0,5603791.0,3865994.0
Accounts Receivable,185424180.0,156462652.0,76606182.0
Allowance For Doubtful Accounts Receivable,-21148551.0,-8522879.0,-3345173.0
Gross Accounts Receivable,206572731.0,164985531.0,79951355.0
Cash Cash Equivalents And Short Term Investments,211931215.0,208856207.0,216624639.0
Other Short Term Investments,1983529.0,,
Cash And Cash Equivalents,209947686.0,208856207.0,216624639.0
Cash Equivalents,183000000.0,190000000.0,200000000.0
Cash Financial,26947686.0,18856207.0,16624639.0
