,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,44930208.0,44330174.0,55624560.0,56348938.0
Repurchase Of Capital Stock,-643563.0,-6920027.0,0.0,
Capital Expenditure,-15455797.0,-46030527.0,-13437930.0,
End Cash Position,6409575.0,3775047.0,10350422.0,28346642.0
Beginning Cash Position,3775047.0,10350422.0,28346642.0,7351826.0
Changes In Cash,2634528.0,-6575375.0,-17996220.0,20994816.0
Financing Cash Flow,-32840087.0,-34921442.0,-18636780.0,-12994168.0
Cash Dividends Paid,-11908359.0,-9600000.0,-4800000.0,
Net Common Stock Issuance,-643563.0,-6920027.0,0.0,
Common Stock Payments,-643563.0,-6920027.0,0.0,
Investing Cash Flow,-24911390.0,-62014634.0,-68421930.0,-22359954.0
Interest Received Cfi,1880266.0,3367320.0,,
Net Investment Purchase And Sale,-11564859.0,-19355554.0,-55000000.0,
Sale Of Investment,114355554.0,167929274.0,40000000.0,
Purchase Of Investment,-125920413.0,-187284828.0,-95000000.0,
Net Intangibles Purchase And Sale,-77233.0,-3711406.0,-72928.0,
Purchase Of Intangibles,-77233.0,-3711406.0,-72928.0,
Net PPE Purchase And Sale,-15149564.0,-42314994.0,-13349002.0,
Sale Of PPE,229000.0,4127.0,16000.0,
Purchase Of PPE,-15378564.0,-42319121.0,-13365002.0,
Operating Cash Flow,60386005.0,90360701.0,69062490.0,56348938.0
Taxes Refund Paid,-1454355.0,-1772831.0,-887923.0,
Change In Working Capital,-28508939.0,14134350.0,758825.0,
Change In Other Current Assets,300000.0,225000.0,588751.0,
Change In Payable,-15495260.0,19450244.0,3655074.0,
Change In Inventory,-5371363.0,-1860089.0,227194.0,
Change In Receivables,-7942316.0,-3680805.0,-3712194.0,
Other Non Cash Items,2467654.0,793781.0,1169100.0,
Provisionand Write Offof Assets,440595.0,-383396.0,1109414.0,
Depreciation And Amortization,32184173.0,27361516.0,21484626.0,
Amortization Cash Flow,341702.0,51652.0,37754.0,
Depreciation,31842471.0,27309864.0,21446872.0,
Pension And Employee Benefit Expense,1802983.0,1648558.0,1235489.0,
Gain Loss On Investment Securities,-4176196.0,-4061655.0,,
Gain Loss On Sale Of PPE,14646.0,417.0,142792.0,
Net Income From Continuing Operations,58206587.0,53039860.0,44443602.0,
