,2025-12-31,2024-12-31
Free Cash Flow,459770811.0,323303690.0
Repurchase Of Capital Stock,-274469857.0,
Issuance Of Debt,185000000.0,0.0
Issuance Of Capital Stock,11974600.0,118463328.0
Capital Expenditure,-50650635.0,-80010830.0
End Cash Position,67113805.0,95685143.0
Beginning Cash Position,95685143.0,43567586.0
Changes In Cash,-28571338.0,52117557.0
Financing Cash Flow,-401970382.0,-175975489.0
Cash Dividends Paid,-320333882.0,-291663234.0
Net Common Stock Issuance,-262495257.0,118463328.0
Common Stock Payments,-274469857.0,
Common Stock Issuance,11974600.0,118463328.0
Net Issuance Payments Of Debt,185000000.0,0.0
Net Long Term Debt Issuance,185000000.0,0.0
Long Term Debt Issuance,185000000.0,0.0
Investing Cash Flow,-137022402.0,-175221474.0
Net Investment Purchase And Sale,12008603.0,-20666054.0
Sale Of Investment,12008603.0,5000000.0
Purchase Of Investment,0.0,-25666054.0
Net Investment Properties Purchase And Sale,0.0,-74544590.0
Purchase Of Investment Properties,0.0,-74544590.0
Net Business Purchase And Sale,-98380370.0,0.0
Purchase Of Business,-98380370.0,0.0
Net Intangibles Purchase And Sale,-36858389.0,-8523218.0
Purchase Of Intangibles,-36858389.0,-8523218.0
Net PPE Purchase And Sale,-13792246.0,-71487612.0
Purchase Of PPE,-13792246.0,-71487612.0
Operating Cash Flow,510421446.0,403314520.0
Taxes Refund Paid,-11473749.0,-11354471.0
Interest Paid Cfo,-683085.0,-1446809.0
Dividend Received Cfo,5121394.0,2222614.0
Change In Working Capital,428051659.0,-73184176.0
Change In Other Current Assets,29317136.0,54115880.0
Change In Accrued Expense,-9031458.0,36545819.0
Change In Prepaid Assets,-4983558.0,3505632.0
Change In Receivables,412749539.0,-167351507.0
Other Non Cash Items,-323538249.0,-342991726.0
Stock Based Compensation,56465816.0,0.0
Provisionand Write Offof Assets,-14928.0,-1327318.0
Depreciation And Amortization,19647751.0,20071951.0
Amortization Cash Flow,6989667.0,7025985.0
Depreciation,12658084.0,13045966.0
Pension And Employee Benefit Expense,4311456.0,3602124.0
Gain Loss On Investment Securities,42131485.0,69674696.0
Net Income From Continuing Operations,410603944.0,455680603.0
