,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,3078001.135804,-6408600.0,-36626000.0,695026.135721
Tax Rate For Calcs,0.024079,0.2,0.2,0.124068
Normalized EBITDA,271787000.0,144051000.0,149456000.0,345505000.0
Total Unusual Items,127829000.0,-32043000.0,-183130000.0,5602000.0
Total Unusual Items Excluding Goodwill,127829000.0,-32043000.0,-183130000.0,5602000.0
Net Income From Continuing Operation Net Minority Interest,180687000.0,-71859000.0,-210351000.0,173920000.0
Reconciled Depreciation,161146000.0,137039000.0,139408000.0,131561000.0
Reconciled Cost Of Revenue,1060592000.0,1095053000.0,1077545000.0,1032616000.0
EBITDA,399616000.0,112008000.0,-33674000.0,351107000.0
EBIT,238470000.0,-25031000.0,-173082000.0,219546000.0
Net Interest Income,-55898000.0,-47815000.0,-42967000.0,-28981000.0
Interest Expense,53579000.0,46163000.0,42967000.0,25176000.0
Normalized Income,55936001.135804,-46224600.0,-63847000.0,169013026.135721
Net Income From Continuing And Discontinued Operation,180687000.0,-71859000.0,-210351000.0,173920000.0
Total Expenses,1386890000.0,1365146000.0,1330403000.0,1285364000.0
Rent Expense Supplemental,3318000.0,4054000.0,1180000.0,3341000.0
Total Operating Income As Reported,238470000.0,-25031000.0,-270544000.0,184750000.0
Diluted Average Shares,99680000.0,99864000.0,90120000.0,99768750.0
Basic Average Shares,99680000.0,99864000.0,90120000.0,99768750.0
Diluted EPS,1.81,-0.72,-2.33,1.744
Basic EPS,1.81,-0.72,-2.33,1.744
Diluted NI Availto Com Stockholders,180687000.0,-71859000.0,-210351000.0,173920000.0
Net Income Common Stockholders,180687000.0,-71859000.0,-210351000.0,173920000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,180687000.0,-71859000.0,-210351000.0,173920000.0
Minority Interests,248000.0,7393000.0,27168000.0,3665000.0
Net Income Including Noncontrolling Interests,180439000.0,-79252000.0,-237519000.0,170255000.0
Net Income Continuous Operations,180439000.0,-79252000.0,-237519000.0,170255000.0
Tax Provision,4452000.0,8058000.0,21470000.0,24115000.0
Pretax Income,184891000.0,-71194000.0,-216049000.0,194370000.0
Other Non Operating Income Expenses,14737000.0,24162000.0,25378000.0,15914000.0
Special Income Charges,125950000.0,-32043000.0,-183130000.0,-1045000.0
Other Special Charges,-121648000.0,-19027000.0,-59938000.0,1045000.0
Write Off,,51070000.0,106188000.0,0.0
Impairment Of Capital Assets,-4302000.0,51070000.0,136880000.0,0.0
Net Non Operating Interest Income Expense,-55898000.0,-47815000.0,-42967000.0,-28981000.0
Total Other Finance Cost,2319000.0,1652000.0,6681000.0,3805000.0
Interest Expense Non Operating,53579000.0,46163000.0,42967000.0,25176000.0
Operating Income,103485000.0,-16349000.0,-15535000.0,199594000.0
Operating Expense,326298000.0,270093000.0,252858000.0,252748000.0
Other Operating Expenses,14141000.0,-358000.0,16539000.0,13008000.0
Depreciation And Amortization In Income Statement,42874000.0,33522000.0,31756000.0,27563000.0
Amortization,537000.0,332000.0,,
Depreciation Income Statement,42337000.0,33190000.0,31756000.0,27563000.0
Selling General And Administration,107813000.0,103376000.0,82819000.0,88434000.0
Selling And Marketing Expense,88496000.0,88580000.0,72200000.0,66505000.0
General And Administrative Expense,19317000.0,14796000.0,10619000.0,21929000.0
Rent And Landing Fees,3318000.0,4054000.0,766000.0,511000.0
Gross Profit,429783000.0,253744000.0,237323000.0,452342000.0
Cost Of Revenue,1060592000.0,1095053000.0,1077545000.0,1032616000.0
Total Revenue,1490375000.0,1348797000.0,1314868000.0,1484958000.0
Operating Revenue,1490375000.0,1348797000.0,1314868000.0,1484958000.0
