,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,140000000.0,140000000.0,140000000.0,140000000.0
Share Issued,140000000.0,140000000.0,140000000.0,140000000.0
Net Debt,1162981218.0,470708967.0,3132732.0,
Total Debt,1263907479.0,657122945.0,366229263.0,253397000.0
Tangible Book Value,3064728135.0,3240843821.0,3197454749.0,3205593835.0
Invested Capital,4329675675.0,3898872723.0,3563684012.0,3458990835.0
Working Capital,763417229.0,900748662.0,854262467.0,736831137.0
Net Tangible Assets,3064728135.0,3240843821.0,3197454749.0,3205593835.0
Common Stock Equity,3065768196.0,3241749778.0,3197454749.0,3205593835.0
Total Capitalization,4234372130.0,3851879113.0,3558619698.0,3378990835.0
Total Equity Gross Minority Interest,3065768196.0,3241749778.0,3197454749.0,3205593835.0
Stockholders Equity,3065768196.0,3241749778.0,3197454749.0,3205593835.0
Retained Earnings,965768196.0,1141749778.0,1097454749.0,1105593835.0
Capital Stock,1400000000.0,1400000000.0,1400000000.0,1400000000.0
Common Stock,1400000000.0,1400000000.0,1400000000.0,1400000000.0
Total Liabilities Net Minority Interest,1693351050.0,1084326647.0,814346951.0,666219811.0
Total Non Current Liabilities Net Minority Interest,1261771582.0,720270640.0,479109519.0,292916688.0
Non Current Pension And Other Postretirement Benefit Plans,89209000.0,106197155.0,116804570.0,119519688.0
Long Term Debt And Capital Lease Obligation,1168603934.0,610129335.0,361164949.0,173397000.0
Long Term Debt,1168603934.0,610129335.0,361164949.0,173397000.0
Long Term Provisions,3958648.0,3944150.0,1140000.0,
Current Liabilities,431579468.0,364056007.0,335237432.0,373303123.0
Other Current Liabilities,2823503.0,3383912.0,3974399.0,4378618.0
Current Deferred Taxes Liabilities,20793047.0,27265331.0,19995347.0,18333938.0
Current Debt And Capital Lease Obligation,95303545.0,46993610.0,5064314.0,80000000.0
Current Debt,95303545.0,46993610.0,5064314.0,80000000.0
Pensionand Other Post Retirement Benefit Plans Current,7018620.0,2700000.0,4544500.0,3302500.0
Current Provisions,,1437916.0,,
Payables,238732021.0,205559129.0,235857704.0,213360883.0
Dividends Payable,159430142.0,128738188.0,159375577.0,160845204.0
Total Tax Payable,7253442.0,2550467.0,4888879.0,4192545.0
Accounts Payable,72048437.0,74270474.0,76482127.0,48323134.0
Total Assets,4759119246.0,4326076425.0,4011801700.0,3871813646.0
Total Non Current Assets,3564122549.0,3061271756.0,2822301801.0,2761679386.0
Other Non Current Assets,,-1.0,,
Investment Properties,0.0,5476376.0,5437625.0,5437625.0
Goodwill And Other Intangible Assets,1040061.0,905957.0,0.0,
Other Intangible Assets,1040061.0,905957.0,,
Net PPE,3563082488.0,3054889424.0,2816864176.0,2756241761.0
Accumulated Depreciation,-4777492484.0,-4581519194.0,-4369006215.0,-4178252361.0
Gross PPE,8340574972.0,7636408618.0,2816864176.0,6934494122.0
Construction In Progress,1178094723.0,502324595.0,225661766.0,65766566.0
Other Properties,,,2816864176.0,
Machinery Furniture Equipment,5417328103.0,5394090331.0,5242846995.0,5146035158.0
Buildings And Improvements,1608251165.0,1606664657.0,1604772157.0,1600740758.0
Land And Improvements,136900981.0,133329035.0,121951640.0,121951640.0
Properties,0.0,0.0,0.0,0.0
Current Assets,1194996697.0,1264804669.0,1189499899.0,1110134260.0
Other Current Assets,,,41966676.0,
Prepaid Assets,21196046.0,34358167.0,37653395.0,34628360.0
Inventory,918795785.0,892956391.0,686961483.0,669301241.0
Inventories Adjustments Allowances,-99344203.0,-93510993.0,-55055406.0,-54056963.0
Work In Process,652021207.0,661232261.0,428159407.0,370488598.0
Raw Materials,366118781.0,325235123.0,371682613.0,352869606.0
Other Receivables,2200904.0,15243815.0,8699613.0,7868780.0
Accounts Receivable,151877701.0,135832318.0,97475209.0,78122596.0
Allowance For Doubtful Accounts Receivable,-179144.0,-60998.0,-340097.0,-410587.0
Gross Accounts Receivable,152056845.0,135893316.0,97815306.0,78533183.0
Cash Cash Equivalents And Short Term Investments,100926261.0,186413978.0,363096531.0,320213283.0
Cash And Cash Equivalents,100926261.0,186413978.0,363096531.0,320213283.0
Cash Equivalents,0.0,80000000.0,220000000.0,200000000.0
Cash Financial,100926261.0,106413978.0,143096531.0,120213283.0
