,2025-12-31,2024-12-31,2023-12-31,2022-03-31
Free Cash Flow,-617906165.0,1110994726.0,1067769718.0,805841141.0
Repayment Of Debt,-3597184165.0,-1147071895.0,-762978583.0,-248497701.0
Issuance Of Debt,4717345591.0,482920060.0,334347043.0,0.0
Capital Expenditure,-105140425.0,-225281784.0,-316563082.0,-306607697.0
End Cash Position,243999879.0,256211534.0,188141687.0,147768710.0
Beginning Cash Position,256211534.0,188141687.0,144067171.0,467591552.0
Effect Of Exchange Rate Changes,13274824.0,-21653947.0,-18686862.0,-12866958.0
Changes In Cash,-25486479.0,89723794.0,62761378.0,-306955884.0
Financing Cash Flow,568808062.0,-1344492151.0,-1170311688.0,-1037684238.0
Net Other Financing Charges,-7965573.0,,,
Interest Paid Cff,-276219284.0,-358451796.0,-334632304.0,-288965565.0
Net Issuance Payments Of Debt,1120161426.0,-664151835.0,-428631540.0,-248497701.0
Net Long Term Debt Issuance,1120161426.0,-664151835.0,-428631540.0,-248497701.0
Long Term Debt Payments,-3597184165.0,-1147071895.0,-762978583.0,-248497701.0
Long Term Debt Issuance,4717345591.0,482920060.0,334347043.0,0.0
Investing Cash Flow,-81528801.0,97939435.0,-151259734.0,-381720484.0
Net Other Investing Changes,,,4190498.0,
Dividends Received Cfi,0.0,-3333000.0,0.0,
Net Investment Purchase And Sale,,0.0,174000000.0,0.0
Sale Of Investment,,0.0,174000000.0,0.0
Net Business Purchase And Sale,23611624.0,326554219.0,-12887150.0,-75112787.0
Sale Of Business,25493300.0,331435895.0,0.0,0.0
Purchase Of Business,-1881676.0,-4881676.0,-12887150.0,-75112787.0
Net Intangibles Purchase And Sale,-3242620.0,-10260747.0,-77674351.0,-58150675.0
Sale Of Intangibles,,,,0.0
Purchase Of Intangibles,-3242620.0,-10260747.0,-77674351.0,-58150675.0
Net PPE Purchase And Sale,-101897805.0,-215021037.0,-238888731.0,-248457022.0
Purchase Of PPE,-101897805.0,-215021037.0,-238888731.0,-248457022.0
Operating Cash Flow,-512765740.0,1336276510.0,1384332800.0,1112448838.0
Taxes Refund Paid,-143666327.0,-47950123.0,-32675457.0,-45523040.0
Change In Working Capital,-947959211.0,666198937.0,864945871.0,-63058941.0
Change In Payable,-943027637.0,492711191.0,166572492.0,490954826.0
Change In Prepaid Assets,13226500.0,91488098.0,491608993.0,55173039.0
Change In Inventory,-18158074.0,81999648.0,206764386.0,-609186806.0
Other Non Cash Items,264208336.0,93801438.0,363117210.0,203222165.0
Provisionand Write Offof Assets,100279218.0,80019864.0,36139149.0,33903027.0
Deferred Tax,51112309.0,60602389.0,48766587.0,66748794.0
Depreciation And Amortization,424795212.0,535031667.0,572293139.0,742925991.0
Amortization Cash Flow,12470863.0,16476791.0,14895033.0,11968092.0
Depreciation,412324349.0,518554876.0,557398106.0,730957899.0
Pension And Employee Benefit Expense,15657730.0,19708017.0,22336936.0,25160104.0
Gain Loss On Investment Securities,,,33000000.0,2429344.0
Gain Loss On Sale Of PPE,78007038.0,41505595.0,229291039.0,17132216.0
Gain Loss On Sale Of Business,,1307461.0,0.0,0.0
Net Income From Continuing Operations,-496741735.0,-197463334.0,-1112807484.0,38029952.0
