,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,1142592000.0,619577000.0,-1765662000.0
Repayment Of Debt,-7652658000.0,-1427773000.0,-3650568000.0
Issuance Of Debt,10727743000.0,3193562000.0,3447680000.0
Issuance Of Capital Stock,,0.0,3129836000.0
Capital Expenditure,-1838131000.0,-2376335000.0,-4048366000.0
End Cash Position,2458449000.0,744187000.0,432282000.0
Beginning Cash Position,744187000.0,432282000.0,0.0
Changes In Cash,1714262000.0,311905000.0,432282000.0
Financing Cash Flow,1465758000.0,498428000.0,1886063000.0
Interest Paid Cff,-919085000.0,-858811000.0,-869655000.0
Cash Dividends Paid,-473404000.0,-237498000.0,-6827280.0
Common Stock Dividend Paid,,-237498000.0,0.0
Net Common Stock Issuance,,0.0,3129836000.0
Common Stock Issuance,,0.0,3129836000.0
Net Issuance Payments Of Debt,3075085000.0,1765789000.0,-202888000.0
Net Long Term Debt Issuance,3075085000.0,1765789000.0,-202888000.0
Long Term Debt Payments,-7652658000.0,-1427773000.0,-3650568000.0
Long Term Debt Issuance,10727743000.0,3193562000.0,3447680000.0
Investing Cash Flow,-2732219000.0,-3182435000.0,-3736485000.0
Net Other Investing Changes,93749000.0,,122030000.0
Dividends Received Cfi,4254000.0,3534000.0,0.0
Net Investment Purchase And Sale,88987000.0,-100368000.0,0.0
Sale Of Investment,88987000.0,0.0,
Purchase Of Investment,0.0,-100368000.0,0.0
Net Business Purchase And Sale,-1081078000.0,-709266000.0,189829000.0
Sale Of Business,,0.0,189829000.0
Purchase Of Business,-1081078000.0,-709266000.0,0.0
Net Intangibles Purchase And Sale,-253000.0,-1225000.0,0.0
Purchase Of Intangibles,-253000.0,-1225000.0,0.0
Net PPE Purchase And Sale,-1837878000.0,-2375110000.0,-4048344000.0
Sale Of PPE,,0.0,22000.0
Purchase Of PPE,-1837878000.0,-2375110000.0,-4048366000.0
Operating Cash Flow,2980723000.0,2995912000.0,2282704000.0
Taxes Refund Paid,-157388000.0,-73814000.0,-26884000.0
Change In Working Capital,-195237000.0,-68357000.0,216920000.0
Change In Other Current Assets,-246063000.0,171277000.0,721940000.0
Change In Payable,-106473000.0,72444000.0,41539000.0
Change In Prepaid Assets,-150140000.0,6654000.0,20174000.0
Change In Inventory,-84560000.0,-184463000.0,-147617000.0
Change In Receivables,391999000.0,-134269000.0,-419116000.0
Other Non Cash Items,753615000.0,796415000.0,727235000.0
Stock Based Compensation,40381000.0,110647000.0,0.0
Provisionand Write Offof Assets,-6900000.0,1401000.0,0.0
Deferred Tax,2103000.0,30448000.0,0.0
Depreciation And Amortization,1547120000.0,1268631000.0,797464000.0
Amortization Cash Flow,1145000.0,913000.0,199000.0
Depreciation,1545975000.0,1267718000.0,797265000.0
Pension And Employee Benefit Expense,53436000.0,51504000.0,42934000.0
Gain Loss On Investment Securities,-95103000.0,-3534000.0,1093000.0
Net Income From Continuing Operations,1044928000.0,970846000.0,529379000.0
