,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,30000000.0,30000000.0,30000000.0,19655172.0,
Share Issued,30000000.0,30000000.0,30000000.0,19655172.0,
Net Debt,,,,16339917.0,9727382.0
Total Debt,18789085.0,723637.0,1074205.0,16748823.0,
Tangible Book Value,174848124.0,181491213.0,194547791.0,-32119211.0,
Invested Capital,355157893.0,358297467.0,365855602.0,155937423.0,
Working Capital,112226613.0,138008560.0,176649471.0,-44154218.0,
Net Tangible Assets,174848124.0,181491213.0,194547791.0,-32119211.0,
Capital Lease Obligations,14078668.0,723637.0,1074205.0,0.0,
Common Stock Equity,350447476.0,358297467.0,365855602.0,139188600.0,
Total Capitalization,350447476.0,358297467.0,365855602.0,139188600.0,
Total Equity Gross Minority Interest,350447476.0,358297467.0,365855602.0,139188600.0,
Stockholders Equity,350447476.0,358297467.0,365855602.0,139188600.0,
Retained Earnings,44484312.0,52794038.0,56987486.0,60911933.0,
Capital Stock,300000000.0,300000000.0,300000000.0,75000000.0,
Common Stock,300000000.0,300000000.0,300000000.0,75000000.0,
Total Liabilities Net Minority Interest,69577102.0,70111511.0,29228723.0,45386106.0,
Total Non Current Liabilities Net Minority Interest,16690497.0,7974833.0,1033542.0,506075.0,
Non Current Pension And Other Postretirement Benefit Plans,1084654.0,622542.0,306892.0,506075.0,
Non Current Deferred Taxes Liabilities,2839596.0,7098991.0,,,
Long Term Debt And Capital Lease Obligation,12766247.0,253300.0,726650.0,0.0,
Long Term Capital Lease Obligation,12766247.0,253300.0,726650.0,0.0,
Current Liabilities,52886605.0,62136678.0,28195181.0,44880031.0,
Other Current Liabilities,361849.0,54694.0,141288.0,142315.0,
Current Deferred Taxes Liabilities,11796281.0,9323702.0,15972729.0,15995179.0,
Current Debt And Capital Lease Obligation,6022838.0,470337.0,347555.0,16748823.0,
Current Capital Lease Obligation,1312421.0,470337.0,347555.0,0.0,
Current Debt,4710417.0,0.0,0.0,16748823.0,
Pensionand Other Post Retirement Benefit Plans Current,1274139.0,719620.0,146515.0,37936.0,
Current Provisions,,,,250949.0,1105537.0
Payables,31917807.0,50056608.0,11263606.0,8458604.0,
Other Payable,6656098.0,6600515.0,6584192.0,2743021.0,
Dividends Payable,1358957.0,1358957.0,1358957.0,1359072.0,
Accounts Payable,23902752.0,42097136.0,3320457.0,4356511.0,
Total Assets,420024578.0,428408978.0,395084325.0,184574706.0,
Total Non Current Assets,254911360.0,228263740.0,190239673.0,183848893.0,
Investmentin Financial Assets,4112097.0,3652362.0,7017049.0,,
Available For Sale Securities,4112097.0,3652362.0,7017049.0,,
Long Term Equity Investment,,,7017049.0,1425600.0,1425600.0
Investments In Other Ventures Under Equity Method,,,7017049.0,1425600.0,1425600.0
Goodwill And Other Intangible Assets,175599352.0,176806254.0,171307811.0,171307811.0,
Other Intangible Assets,175599352.0,176806254.0,171307811.0,171307811.0,
Net PPE,75199911.0,47805124.0,11914813.0,11115482.0,
Accumulated Depreciation,-43512708.0,-37348159.0,-32877525.0,-32287760.0,
Gross PPE,118712619.0,85153283.0,44792338.0,43403242.0,
Construction In Progress,3416737.0,3086975.0,,,
Machinery Furniture Equipment,34367850.0,27200015.0,2201255.0,2239136.0,
Buildings And Improvements,69640532.0,54866293.0,42591083.0,41164106.0,
Land And Improvements,11287500.0,0.0,,,171307811.0
Properties,0.0,0.0,0.0,0.0,
Current Assets,165113218.0,200145238.0,204844652.0,725813.0,
Prepaid Assets,3826638.0,1340949.0,367265.0,6585.0,
Inventory,13698819.0,15569288.0,0.0,,
Finished Goods,13698819.0,15569288.0,,,
Raw Materials,,15569288.0,0.0,,
Other Receivables,1353468.0,434127.0,1373023.0,100131.0,
Taxes Receivable,2291160.0,3427116.0,814721.0,86191.0,
Accounts Receivable,44829738.0,17404862.0,94000.0,124000.0,
Allowance For Doubtful Accounts Receivable,-655611.0,-4000.0,-4000.0,-1357021.0,
Gross Accounts Receivable,45485349.0,17408862.0,98000.0,1481021.0,
Cash Cash Equivalents And Short Term Investments,99113395.0,161968896.0,203377629.0,408906.0,
Other Short Term Investments,76157211.0,51955340.0,140000000.0,,
Cash And Cash Equivalents,22956184.0,110013556.0,63377629.0,408906.0,
Cash Equivalents,20000000.0,106742361.0,61000000.0,0.0,
Cash Financial,2956184.0,3271195.0,2377629.0,408906.0,
