,2025-12-31,2024-12-31
Free Cash Flow,-760129959.0,-141761015.0
Repayment Of Debt,-458546137.0,-44217777.0
Issuance Of Debt,677296500.0,217254081.0
Issuance Of Capital Stock,128571430.0,0.0
Capital Expenditure,,-8220.0
End Cash Position,158173087.0,39787638.0
Beginning Cash Position,39787638.0,24199911.0
Changes In Cash,118385449.0,15587727.0
Financing Cash Flow,1063774373.0,126384878.0
Net Other Financing Charges,735428580.0,-28619290.0
Cash Dividends Paid,-15000000.0,-15000000.0
Net Common Stock Issuance,128571430.0,0.0
Common Stock Issuance,128571430.0,0.0
Net Issuance Payments Of Debt,218750363.0,173036304.0
Net Long Term Debt Issuance,218750363.0,173036304.0
Long Term Debt Payments,-458546137.0,-44217777.0
Long Term Debt Issuance,677296500.0,217254081.0
Investing Cash Flow,-185258965.0,30955644.0
Net Investment Purchase And Sale,-181550638.0,47857301.0
Sale Of Investment,143931545.0,88500000.0
Purchase Of Investment,-325482183.0,-40642699.0
Net Investment Properties Purchase And Sale,1591033.0,-8743437.0
Sale Of Investment Properties,6000000.0,0.0
Purchase Of Investment Properties,-4408967.0,-8743437.0
Net Business Purchase And Sale,-5299360.0,-8150000.0
Purchase Of Business,-5299360.0,-8150000.0
Net Intangibles Purchase And Sale,0.0,-8220.0
Purchase Of Intangibles,0.0,-8220.0
Operating Cash Flow,-760129959.0,-141752795.0
Interest Paid Cfo,-49588273.0,-21273087.0
Change In Working Capital,-949419899.0,-269051106.0
Change In Other Current Assets,-418103477.0,-168608549.0
Change In Accrued Expense,90346555.0,29225290.0
Change In Payable,9705906.0,14057055.0
Change In Prepaid Assets,-17298081.0,-2247600.0
Change In Inventory,-154156766.0,98628291.0
Change In Receivables,-459914036.0,-240105593.0
Other Non Cash Items,24127235.0,24864143.0
Provisionand Write Offof Assets,1301091.0,3481048.0
Depreciation And Amortization,6711175.0,5162007.0
Amortization Cash Flow,167688.0,167083.0
Depreciation,6543487.0,4994924.0
Pension And Employee Benefit Expense,1065065.0,615353.0
Gain Loss On Investment Securities,-82623354.0,-49840866.0
Gain Loss On Sale Of PPE,40084.0,0.0
Net Income From Continuing Operations,296115568.0,169467453.0
