,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,540000000.0,540000000.0,540000000.0
Share Issued,540000000.0,540000000.0,540000000.0
Total Debt,376353810.0,393731657.0,402254418.0
Tangible Book Value,736683940.0,655705025.0,626292850.0
Invested Capital,794729588.0,713373032.0,683013354.0
Working Capital,232397268.0,187506949.0,120828785.0
Net Tangible Assets,736683940.0,655705025.0,626292850.0
Capital Lease Obligations,376353810.0,393731657.0,402254418.0
Common Stock Equity,794729588.0,713373032.0,683013354.0
Total Capitalization,794729588.0,713373032.0,683013354.0
Total Equity Gross Minority Interest,794729588.0,713373032.0,683013354.0
Stockholders Equity,794729588.0,713373032.0,683013354.0
Other Equity Interest,,,66096830.0
Retained Earnings,255962700.0,173970022.0,143438669.0
Capital Stock,540000000.0,540000000.0,473903170.0
Common Stock,540000000.0,540000000.0,473903170.0
Total Liabilities Net Minority Interest,464272544.0,483904154.0,474029300.0
Total Non Current Liabilities Net Minority Interest,378097281.0,395588632.0,388994081.0
Non Current Pension And Other Postretirement Benefit Plans,7965917.0,5621768.0,3919993.0
Non Current Deferred Taxes Liabilities,6952791.0,8789489.0,5805761.0
Long Term Debt And Capital Lease Obligation,363178573.0,381177375.0,379268327.0
Long Term Capital Lease Obligation,363178573.0,381177375.0,379268327.0
Current Liabilities,86175263.0,88315522.0,85035219.0
Current Deferred Taxes Liabilities,,7479048.0,919583.0
Current Debt And Capital Lease Obligation,13175237.0,12554282.0,22986091.0
Current Capital Lease Obligation,13175237.0,12554282.0,22986091.0
Pensionand Other Post Retirement Benefit Plans Current,14091702.0,12598450.0,9664067.0
Payables,38665375.0,40609057.0,27929469.0
Other Payable,112706.0,280561.0,1490643.0
Dividends Payable,102313.0,289015.0,0.0
Total Tax Payable,8708374.0,7705177.0,4036526.0
Accounts Payable,29741982.0,32334304.0,22402300.0
Total Assets,1259002132.0,1197277186.0,1157042654.0
Total Non Current Assets,940429601.0,921454715.0,951178650.0
Non Current Prepaid Assets,52454595.0,9430802.0,
Goodwill And Other Intangible Assets,58045648.0,57668007.0,56720504.0
Other Intangible Assets,58045648.0,57668007.0,56720504.0
Net PPE,829929358.0,854355906.0,894458146.0
Accumulated Depreciation,-402922608.0,-351545626.0,-300155122.0
Gross PPE,1232851966.0,1205901532.0,1194613268.0
Construction In Progress,22087700.0,3760342.0,7490252.0
Other Properties,203756283.0,203756283.0,203756283.0
Machinery Furniture Equipment,526213865.0,515643557.0,505401574.0
Buildings And Improvements,255992095.0,252489433.0,247713242.0
Land And Improvements,224802023.0,230251917.0,230251917.0
Properties,0.0,0.0,0.0
Current Assets,318572531.0,275822471.0,205864004.0
Other Current Assets,78787.0,85754.0,
Restricted Cash,3447914.0,3447914.0,2625640.0
Prepaid Assets,6954431.0,6704058.0,12698650.0
Inventory,62006494.0,56935999.0,55968172.0
Inventories Adjustments Allowances,-12418859.0,-12753021.0,-16613831.0
Finished Goods,5578609.0,8629557.0,7641724.0
Raw Materials,68846744.0,61059463.0,64940279.0
Other Receivables,5423644.0,3764906.0,23017538.0
Accounts Receivable,21397214.0,8409070.0,5210534.0
Allowance For Doubtful Accounts Receivable,-391816.0,-667824.0,-884367.0
Gross Accounts Receivable,21789030.0,9076894.0,6094901.0
Cash Cash Equivalents And Short Term Investments,219264047.0,196474770.0,106343470.0
Other Short Term Investments,156163613.0,74060069.0,
Cash And Cash Equivalents,63100434.0,122414701.0,106343470.0
Cash Equivalents,59566291.0,108161974.0,82967570.0
Cash Financial,3534143.0,14252727.0,23375900.0
