,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,6871332.0,20395528.0,25650448.0,35152383.0
Repayment Of Debt,-19038863.0,-4594750.0,,
Issuance Of Debt,23644767.0,4724843.0,,
Capital Expenditure,-18139506.0,-14885108.0,,
End Cash Position,7198792.0,8525491.0,15528531.0,27571678.0
Other Cash Adjustment Outside Changein Cash,,-84567352.0,,
Beginning Cash Position,8525491.0,15528531.0,27571678.0,8800172.0
Changes In Cash,-1326699.0,-7003040.0,-12043147.0,18771506.0
Financing Cash Flow,-9975361.0,-39398568.0,-12121457.0,-4501547.0
Cash Dividends Paid,-12500000.0,-37500000.0,,
Net Issuance Payments Of Debt,4605904.0,130093.0,,
Net Short Term Debt Issuance,3998377.0,991250.0,,
Short Term Debt Payments,-15381504.0,-594750.0,,
Short Term Debt Issuance,19379881.0,1586000.0,,
Net Long Term Debt Issuance,607527.0,-861157.0,,
Long Term Debt Payments,-3657359.0,-4000000.0,,
Long Term Debt Issuance,4264886.0,3138843.0,,
Investing Cash Flow,-16362176.0,-2885108.0,-25572138.0,-11879330.0
Net Business Purchase And Sale,0.0,12000000.0,,
Sale Of Business,0.0,12000000.0,,
Net Intangibles Purchase And Sale,-7696.0,-15065.0,,
Purchase Of Intangibles,-7696.0,-15065.0,,
Net PPE Purchase And Sale,-16354480.0,-14870043.0,,
Sale Of PPE,1777330.0,0.0,,
Purchase Of PPE,-18131810.0,-14870043.0,,
Operating Cash Flow,25010838.0,35280636.0,25650448.0,35152383.0
Taxes Refund Paid,-5918345.0,-7537035.0,,
Change In Working Capital,-26181235.0,-4542477.0,,
Change In Accrued Expense,-6963368.0,7299408.0,,
Change In Payable,-2862874.0,-701918.0,,
Change In Prepaid Assets,10382561.0,119878.0,,
Change In Inventory,5447626.0,-16699885.0,,
Change In Receivables,-32185180.0,5440040.0,,
Other Non Cash Items,1347528.0,485719.0,,
Depreciation And Amortization,13230588.0,12948311.0,,
Amortization Cash Flow,408535.0,327076.0,,
Depreciation,12822053.0,12621235.0,,
Pension And Employee Benefit Expense,2840913.0,2890249.0,,
Gain Loss On Sale Of PPE,-1300294.0,0.0,,
Gain Loss On Sale Of Business,0.0,-9646962.0,,
Net Income From Continuing Operations,39775156.0,45419816.0,,
