,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,123355037.0,121407642.0,84792043.0
Repayment Of Debt,-194834783.0,-41624394.0,-39222049.0
Issuance Of Debt,470987379.0,101584532.0,18960373.0
Capital Expenditure,-35562952.0,-16797819.0,-28415797.0
End Cash Position,305710999.0,144203173.0,136166214.0
Beginning Cash Position,144203173.0,136166214.0,67821386.0
Changes In Cash,161507826.0,8036959.0,68344828.0
Financing Cash Flow,241004029.0,55981912.0,-23092528.0
Net Other Financing Charges,45000.0,3195159.0,300000.0
Cash Dividends Paid,-16092554.0,,
Net Issuance Payments Of Debt,276152596.0,59960138.0,-20261676.0
Net Long Term Debt Issuance,276152596.0,59960138.0,-20261676.0
Long Term Debt Payments,-194834783.0,-41624394.0,-39222049.0
Long Term Debt Issuance,470987379.0,101584532.0,18960373.0
Investing Cash Flow,-238414192.0,-186150414.0,-21770484.0
Net Other Investing Changes,-227851240.0,-105343595.0,-14725662.0
Dividends Received Cfi,,0.0,1370975.0
Net Investment Purchase And Sale,25000000.0,-64644000.0,20000000.0
Sale Of Investment,179500000.0,130276000.0,103000000.0
Purchase Of Investment,-154500000.0,-194920000.0,-83000000.0
Net Business Purchase And Sale,0.0,-65000.0,0.0
Purchase Of Business,0.0,-65000.0,0.0
Net Intangibles Purchase And Sale,-30077239.0,-15516311.0,-25632852.0
Purchase Of Intangibles,-30077239.0,-15516311.0,-25632852.0
Net PPE Purchase And Sale,-5485713.0,-1281508.0,-2782945.0
Purchase Of PPE,-5485713.0,-1281508.0,-2782945.0
Operating Cash Flow,158917989.0,138205461.0,113207840.0
Taxes Refund Paid,-6139532.0,-5838768.0,-6164800.0
Interest Paid Cfo,-49150972.0,-40098678.0,-28778906.0
Change In Working Capital,38355778.0,25391630.0,-3257283.0
Change In Other Current Liabilities,-2340074.0,-4473216.0,-5055254.0
Change In Other Current Assets,3289397.0,686266.0,-1691691.0
Change In Payable,-8666769.0,-19557846.0,-30804839.0
Change In Prepaid Assets,35918396.0,15704639.0,-8605605.0
Change In Inventory,10231.0,-659216.0,-1272565.0
Change In Receivables,10144597.0,33691003.0,44172671.0
Other Non Cash Items,40600392.0,50958313.0,43095589.0
Stock Based Compensation,824090.0,4762665.0,0.0
Provisionand Write Offof Assets,564788.0,525000.0,919327.0
Depreciation And Amortization,46191517.0,50265504.0,44712088.0
Amortization Cash Flow,35465046.0,44810366.0,39521654.0
Depreciation,10726471.0,5455138.0,5190434.0
Pension And Employee Benefit Expense,5097202.0,4549943.0,3243920.0
Gain Loss On Investment Securities,,-7382459.0,-4215185.0
Gain Loss On Sale Of PPE,358482.0,78113.0,-637.0
Net Income From Continuing Operations,82377370.0,47429106.0,63256712.0
