,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-218223.809285,-4094305.064777,-17244704.753206,-8852754.892426,
Tax Rate For Calcs,0.025298,0.026998,0.08868,0.068491,
Normalized EBITDA,7903145000.0,7605448000.0,6955146000.0,6341431000.0,
Total Unusual Items,-8626000.0,-151654000.0,-194461000.0,-129254000.0,
Total Unusual Items Excluding Goodwill,-8626000.0,-151654000.0,-194461000.0,-129254000.0,
Net Income From Continuing Operation Net Minority Interest,3466423000.0,3106848000.0,2231977000.0,1656940000.0,
Reconciled Depreciation,3780463000.0,3664224000.0,3647264000.0,3850550000.0,
Reconciled Cost Of Revenue,8900205000.0,8312421000.0,7509193000.0,6336078000.0,
EBITDA,7894519000.0,7453794000.0,6760685000.0,6212177000.0,
EBIT,4114056000.0,3789570000.0,3113421000.0,2361627000.0,
Net Interest Income,-472346000.0,-440601000.0,-526308000.0,-560987000.0,
Interest Expense,557662000.0,596517000.0,664253000.0,582857000.0,
Interest Income,202614000.0,174739000.0,5567000.0,0.0,
Normalized Income,3474830776.190715,3254407694.935223,2409193295.246794,1777341245.107574,
Net Income From Continuing And Discontinued Operation,3466423000.0,3106848000.0,2231977000.0,1656940000.0,
Total Expenses,15754677000.0,14511509000.0,13599796000.0,13277745000.0,
Rent Expense Supplemental,858503000.0,864637000.0,802583000.0,780168000.0,
Total Operating Income As Reported,3847018000.0,3530417000.0,2977256000.0,2328016000.0,
Diluted Average Shares,770000000.0,770000000.0,770000000.0,770000000.0,
Basic Average Shares,770000000.0,770000000.0,770000000.0,770000000.0,
Diluted EPS,4.5,4.03,2.9,2.15,
Basic EPS,4.51,4.03,2.9,2.15,
Diluted NI Availto Com Stockholders,3466423000.0,3106848000.0,2231977000.0,1656940000.0,
Net Income Common Stockholders,3466423000.0,3106848000.0,2231977000.0,1656940000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3466423000.0,3106848000.0,2231977000.0,1656940000.0,
Net Income Including Noncontrolling Interests,3466423000.0,3106848000.0,2231977000.0,1656940000.0,
Net Income Continuous Operations,3466423000.0,3106848000.0,2231977000.0,1656940000.0,
Tax Provision,89971000.0,86205000.0,217191000.0,121830000.0,
Pretax Income,3556394000.0,3193053000.0,2449168000.0,1778770000.0,
Other Non Operating Income Expenses,32388000.0,46579000.0,-23001000.0,1115000.0,
Special Income Charges,-8626000.0,-151654000.0,-194461000.0,-129254000.0,
Other Special Charges,825000.0,5338000.0,8832000.0,17600000.0,
Write Off,7801000.0,146316000.0,185629000.0,111654000.0,
Net Non Operating Interest Income Expense,-472346000.0,-440601000.0,-526308000.0,-560987000.0,
Total Other Finance Cost,117298000.0,18823000.0,-132378000.0,-21870000.0,
Interest Expense Non Operating,557662000.0,596517000.0,664253000.0,582857000.0,
Interest Income Non Operating,202614000.0,174739000.0,5567000.0,0.0,
Operating Income,3887028000.0,3694938000.0,3162885000.0,2439670000.0,
Operating Expense,6854472000.0,6199088000.0,6090603000.0,6941667000.0,
Other Operating Expenses,253560000.0,249852000.0,236729000.0,234285000.0,
Depreciation And Amortization In Income Statement,3780463000.0,3664224000.0,3647264000.0,3850550000.0,
Amortization,479704000.0,361863000.0,361547000.0,365526000.0,
Depreciation Income Statement,3300759000.0,3302361000.0,3285717000.0,3485024000.0,
Selling General And Administration,1287682000.0,985394000.0,948291000.0,1477684000.0,
Selling And Marketing Expense,893015000.0,796992000.0,719569000.0,748604000.0,
General And Administrative Expense,394667000.0,188402000.0,228722000.0,729080000.0,
Rent And Landing Fees,,,,,16361000.0
Gross Profit,10741500000.0,9894026000.0,9253488000.0,9381337000.0,
Cost Of Revenue,8900205000.0,8312421000.0,7509193000.0,6336078000.0,
Total Revenue,19641705000.0,18206447000.0,16762681000.0,15717415000.0,
Operating Revenue,19641705000.0,18206447000.0,16762681000.0,15717415000.0,
