,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-8649393.0,-11488054.0,-9086214.0,3441357.0,
Repurchase Of Capital Stock,,,,0.0,-275000000.0
Capital Expenditure,-1150231.0,-2998844.0,-258461.0,-197690.0,
End Cash Position,3156878.0,6622551.0,7248120.0,19598658.0,
Beginning Cash Position,6622551.0,7248120.0,19598658.0,15708438.0,
Changes In Cash,-3465673.0,-625569.0,-12350538.0,3890220.0,
Financing Cash Flow,-8371777.0,-1436242.0,-12393834.0,-1375536.0,
Cash Dividends Paid,-6875000.0,,-11000000.0,,-24750000.0
Common Stock Dividend Paid,-6875000.0,0.0,-11000000.0,0.0,
Net Common Stock Issuance,,,,0.0,-275000000.0
Common Stock Payments,,,,0.0,-275000000.0
Investing Cash Flow,12405266.0,9299883.0,8871049.0,1626709.0,
Dividends Received Cfi,10020369.0,12264614.0,9981432.0,18896945.0,
Net Investment Purchase And Sale,3535128.0,-25887.0,-851922.0,-17074720.0,
Sale Of Investment,3535128.0,0.0,15178812.0,0.0,
Purchase Of Investment,0.0,-25887.0,-16030734.0,-17074720.0,
Net Business Purchase And Sale,,,,0.0,200014808.0
Sale Of Business,,,,0.0,200014808.0
Net PPE Purchase And Sale,-1150231.0,-2938844.0,-258461.0,-195516.0,
Sale Of PPE,0.0,60000.0,0.0,2174.0,
Purchase Of PPE,-1150231.0,-2998844.0,-258461.0,-197690.0,
Operating Cash Flow,-7499162.0,-8489210.0,-8827753.0,3639047.0,
Taxes Refund Paid,-3142817.0,-2781764.0,-5442176.0,-3964010.0,
Change In Working Capital,-1686063.0,-1084457.0,-380891.0,9298639.0,
Change In Payable,-1356615.0,3813099.0,-3622349.0,2863269.0,
Change In Inventory,-1053369.0,-5710580.0,3407039.0,5742713.0,
Change In Receivables,723921.0,813024.0,-165581.0,692657.0,
Other Non Cash Items,86605.0,135780.0,191158.0,109880.0,
Provisionand Write Offof Assets,,,,0.0,17905931.0
Depreciation And Amortization,3037228.0,2553510.0,2587809.0,2464707.0,
Amortization Cash Flow,,,,,0.0
Depreciation,3037228.0,2553510.0,2587809.0,2464707.0,
Pension And Employee Benefit Expense,651114.0,909903.0,671342.0,404490.0,
Gain Loss On Investment Securities,-10020369.0,-7932713.0,-6550324.0,-15287025.0,
Gain Loss On Sale Of PPE,0.0,-60000.0,0.0,-2174.0,
Gain Loss On Sale Of Business,,,,0.0,-125701957.0
Net Income From Continuing Operations,7303827.0,17690831.0,7985170.0,-28430088.0,
