,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-76267.545348,150659.553886,-111827.505341,0.0,
Tax Rate For Calcs,0.058612,0.074012,0.054936,0.053713,
Normalized EBITDA,147992707.0,116365347.0,114153026.0,95427018.0,
Total Unusual Items,-1301230.0,2035606.0,-2035606.0,0.0,
Total Unusual Items Excluding Goodwill,-1301230.0,2035606.0,-2035606.0,0.0,
Net Income From Continuing Operation Net Minority Interest,135255793.0,106603556.0,103007847.0,87635484.0,
Reconciled Depreciation,2687660.0,2414152.0,2226642.0,2083680.0,
Reconciled Cost Of Revenue,372503877.0,320680567.0,157766254.0,205723997.0,
EBITDA,146691477.0,118400953.0,112117420.0,95427018.0,
EBIT,144003817.0,115986801.0,109890778.0,93343338.0,
Net Interest Income,-610924.0,-1249271.0,-1245461.0,-1021832.0,
Interest Expense,610924.0,1249271.0,1245461.0,1021832.0,
Normalized Income,136480755.454652,104718609.553886,104931625.494659,87635484.0,
Net Income From Continuing And Discontinued Operation,135255793.0,106603556.0,103007847.0,87635484.0,
Total Expenses,391773843.0,333891480.0,170957419.0,216327318.0,
Rent Expense Supplemental,,,,,762455.0
Total Operating Income As Reported,131091091.0,94787929.0,102861051.0,66092630.0,
Diluted Average Shares,50000000.0,50000000.0,50000000.0,49999999.0,
Basic Average Shares,50000000.0,50000000.0,50000000.0,49999999.0,
Diluted EPS,2.705,2.132,2.06,1.7475,
Basic EPS,2.705,2.132,2.06,1.7475,
Diluted NI Availto Com Stockholders,135255793.0,106603556.0,103007847.0,87635484.0,
Net Income Common Stockholders,135255793.0,106603556.0,103007847.0,87635484.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,135255793.0,106603556.0,103007847.0,87635484.0,
Minority Interests,267428.0,357996.0,331040.0,272856.0,
Net Income Including Noncontrolling Interests,134988365.0,106245560.0,102676807.0,87362628.0,
Net Income Continuous Operations,134988365.0,106245560.0,102676807.0,87362628.0,
Tax Provision,8404528.0,8491970.0,5968510.0,4958878.0,
Pretax Income,143392893.0,114737530.0,108645317.0,92321506.0,
Other Non Operating Income Expenses,262892.0,1714266.0,592016.0,645631.0,
Special Income Charges,-1301230.0,2035606.0,-2035606.0,0.0,
Other Special Charges,1301230.0,,,,
Write Off,0.0,-2035606.0,2035606.0,,
Impairment Of Capital Assets,,,2035606.0,0.0,
Net Non Operating Interest Income Expense,-610924.0,-1249271.0,-1245461.0,-1021832.0,
Interest Expense Non Operating,610924.0,1249271.0,1245461.0,1021832.0,
Operating Income,130913725.0,95614780.0,102861051.0,66092630.0,
Operating Expense,19269966.0,13210913.0,13191165.0,10603321.0,
Other Operating Expenses,1506579.0,-826851.0,1500000.0,1000000.0,
Depreciation And Amortization In Income Statement,1816282.0,1542774.0,1355264.0,1212302.0,
Amortization,246696.0,246694.0,246690.0,246691.0,
Depreciation Income Statement,1569586.0,1296080.0,1108574.0,965611.0,
Selling General And Administration,8409573.0,9015987.0,6110758.0,4487481.0,
Selling And Marketing Expense,738735.0,3444580.0,0.0,,
General And Administrative Expense,7670838.0,5571407.0,6110758.0,4487481.0,
Gross Profit,150183691.0,108825693.0,116052216.0,76695951.0,
Cost Of Revenue,372503877.0,320680567.0,157766254.0,205723997.0,
Total Revenue,522687568.0,429506260.0,273818470.0,282419948.0,
Operating Revenue,522687568.0,429506260.0,273818470.0,282419948.0,
