,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,-339460.198961,0.0
Tax Rate For Calcs,0.063097,0.086644
Normalized EBITDA,237708000.0,215948000.0
Total Unusual Items,-5380000.0,0.0
Total Unusual Items Excluding Goodwill,-5380000.0,0.0
Net Income From Continuing Operation Net Minority Interest,130428000.0,120082000.0
Reconciled Depreciation,54150000.0,44831000.0
Reconciled Cost Of Revenue,295103000.0,234001000.0
EBITDA,232328000.0,215948000.0
EBIT,178178000.0,171117000.0
Net Interest Income,-1218000.0,-5528000.0
Interest Expense,8597000.0,8948000.0
Interest Income,7379000.0,3664000.0
Normalized Income,135468539.801039,120082000.0
Net Income From Continuing And Discontinued Operation,130428000.0,120082000.0
Total Expenses,409770000.0,299253000.0
Rent Expense Supplemental,4217000.0,2474000.0
Total Operating Income As Reported,170799000.0,367697000.0
Diluted Average Shares,102401000.0,102401332.0
Basic Average Shares,102401000.0,102401332.0
Diluted EPS,1.27,1.172661
Basic EPS,1.27,1.172661
Diluted NI Availto Com Stockholders,130428000.0,120082000.0
Net Income Common Stockholders,130428000.0,120082000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,130428000.0,120082000.0
Minority Interests,-28453000.0,-28036000.0
Net Income Including Noncontrolling Interests,158881000.0,148118000.0
Net Income Continuous Operations,158881000.0,148118000.0
Tax Provision,10700000.0,14051000.0
Pretax Income,169581000.0,162169000.0
Special Income Charges,-5380000.0,0.0
Other Special Charges,5380000.0,
Net Non Operating Interest Income Expense,-1218000.0,-5528000.0
Total Other Finance Cost,,244000.0
Interest Expense Non Operating,8597000.0,8948000.0
Interest Income Non Operating,7379000.0,3664000.0
Operating Income,124097000.0,137812000.0
Operating Expense,114667000.0,65252000.0
Other Operating Expenses,17395000.0,4951000.0
Depreciation And Amortization In Income Statement,12426000.0,9996000.0
Amortization,5750000.0,5750000.0
Depreciation Income Statement,6676000.0,4246000.0
Selling General And Administration,34682000.0,23317000.0
Selling And Marketing Expense,20180000.0,13056000.0
General And Administrative Expense,34682000.0,23317000.0
Rent And Landing Fees,2948000.0,1480000.0
Gross Profit,238764000.0,203064000.0
Cost Of Revenue,295103000.0,234001000.0
Total Revenue,533867000.0,437065000.0
Operating Revenue,533867000.0,437065000.0
