,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,549511.6,-204233.4,770162.8,521148.8,
Tax Rate For Calcs,0.2,0.2,0.2,0.2,
Normalized EBITDA,2793206.0,5995180.0,362089.0,1370218.0,
Total Unusual Items,2747558.0,-1021167.0,3850814.0,2605744.0,
Total Unusual Items Excluding Goodwill,2747558.0,-1021167.0,3850814.0,2605744.0,
Net Income From Continuing Operation Net Minority Interest,7361969.0,3023955.0,7249609.0,5695096.0,
Reconciled Depreciation,926353.0,928891.0,926354.0,926353.0,
Reconciled Cost Of Revenue,1062216.0,1069741.0,1223984.0,1597616.0,
EBITDA,5540764.0,4974013.0,4212903.0,3975962.0,
EBIT,4614411.0,4045122.0,3286549.0,3049609.0,
Normalized Income,5163922.6,3840888.6,4168957.8,3610500.8,
Net Income From Continuing And Discontinued Operation,7361969.0,3023955.0,7249609.0,5695096.0,
Total Expenses,2491632.0,2459538.0,2689252.0,2981233.0,
Total Operating Income As Reported,,,,,3339057.0
Diluted Average Shares,,11800000.0,11800000.0,11800000.0,11800000.0
Basic Average Shares,,11800000.0,11800000.0,11800000.0,11800000.0
Diluted EPS,,0.256267,0.614374,0.482635,0.363679
Basic EPS,,0.256267,0.614374,0.482635,0.363679
Diluted NI Availto Com Stockholders,7361969.0,3023955.0,7249609.0,5695096.0,
Net Income Common Stockholders,7361969.0,3023955.0,7249609.0,5695096.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,7361969.0,3023955.0,7249609.0,5695096.0,
Net Income Including Noncontrolling Interests,7361969.0,3023955.0,7249609.0,5695096.0,
Net Income Continuous Operations,7361969.0,3023955.0,7249609.0,5695096.0,
Pretax Income,7361969.0,3023955.0,7249609.0,5695096.0,
Other Non Operating Income Expenses,,,112246.0,39743.0,
Special Income Charges,2747558.0,-1021167.0,3850814.0,2605744.0,
Impairment Of Capital Assets,-2747558.0,1021167.0,-3850814.0,-2605744.0,
Operating Income,4614411.0,4045122.0,3286549.0,3049609.0,
Operating Expense,1429416.0,1389797.0,1465268.0,1383617.0,
Other Operating Expenses,426063.0,384062.0,441481.0,400108.0,
Depreciation And Amortization In Income Statement,926353.0,928891.0,926354.0,926353.0,
Depreciation Income Statement,926353.0,928891.0,926354.0,926353.0,
Selling General And Administration,55000.0,54904.0,75433.0,35095.0,
General And Administrative Expense,55000.0,54904.0,75433.0,35095.0,
Gross Profit,6043827.0,5434919.0,4751817.0,4433226.0,
Cost Of Revenue,1062216.0,1069741.0,1223984.0,1597616.0,
Total Revenue,7106043.0,6504660.0,5975801.0,6030842.0,
Operating Revenue,7106043.0,6504660.0,5975801.0,6030842.0,
