,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-850413.151832,1750271.2,1140121.795433,406853.021386
Tax Rate For Calcs,0.153615,0.2,0.145959,0.133872
Normalized EBITDA,264406641.0,254160069.0,220953633.0,204824114.0
Total Unusual Items,-5536011.0,8751356.0,7811237.0,3039122.0
Total Unusual Items Excluding Goodwill,-5536011.0,8751356.0,7811237.0,3039122.0
Net Income From Continuing Operation Net Minority Interest,24676360.0,25429968.0,21791819.0,22826074.0
Reconciled Depreciation,142513397.0,137942019.0,130030284.0,121218085.0
Reconciled Cost Of Revenue,1179803714.0,1251575066.0,1266121917.0,1282085589.0
EBITDA,258870630.0,262911425.0,228764870.0,207863236.0
EBIT,116357233.0,124969406.0,98734586.0,86645151.0
Net Interest Income,-98963584.0,-92048845.0,-83059483.0,-68861421.0
Interest Expense,87479655.0,81618760.0,73403080.0,60384217.0
Normalized Income,29361957.848168,18428883.2,15120703.795433,20193805.021386
Net Income From Continuing And Discontinued Operation,24676360.0,25429968.0,21791819.0,22826074.0
Total Expenses,1653125229.0,1722921893.0,1726216521.0,1721502455.0
Rent Expense Supplemental,9707006.0,9233294.0,12581175.0,3375153.0
Total Operating Income As Reported,125354292.0,111627111.0,87369774.0,79993540.0
Diluted Average Shares,45000000.0,45000000.0,45000000.0,45000000.0
Basic Average Shares,45000000.0,45000000.0,45000000.0,45000000.0
Diluted EPS,0.55,0.57,0.48,0.51
Basic EPS,0.55,0.57,0.48,0.51
Diluted NI Availto Com Stockholders,24676360.0,25429968.0,21791819.0,22826074.0
Net Income Common Stockholders,24676360.0,25429968.0,21791819.0,22826074.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,24676360.0,25429968.0,21791819.0,22826074.0
Minority Interests,234805.0,234750.0,157679.0,80741.0
Net Income Including Noncontrolling Interests,24441555.0,25195218.0,21634140.0,22745333.0
Net Income Continuous Operations,24441555.0,25195218.0,21634140.0,22745333.0
Tax Provision,4436023.0,18155428.0,3697366.0,3515601.0
Pretax Income,28877578.0,43350646.0,25331506.0,26260934.0
Other Non Operating Income Expenses,6299221.0,14386355.0,13392340.0,14984912.0
Special Income Charges,838712.0,4168922.0,2802963.0,752794.0
Other Special Charges,-5346134.0,-4905003.0,771025.0,-752794.0
Write Off,,0.0,-3573988.0,0.0
Impairment Of Capital Assets,4507422.0,736081.0,0.0,
Net Non Operating Interest Income Expense,-98963584.0,-92048845.0,-83059483.0,-68861421.0
Total Other Finance Cost,11483929.0,10430085.0,9656403.0,8477204.0
Interest Expense Non Operating,87479655.0,81618760.0,73403080.0,60384217.0
Operating Income,127079082.0,112290799.0,87188541.0,77177530.0
Operating Expense,473321515.0,471346827.0,460094604.0,439416866.0
Other Operating Expenses,9249857.0,10089699.0,9457552.0,10660158.0
Depreciation And Amortization In Income Statement,108966896.0,113513318.0,110187457.0,107285199.0
Amortization,335930.0,396940.0,710375.0,1184368.0
Depreciation Income Statement,108630966.0,113116378.0,109477082.0,106100831.0
Selling General And Administration,131776638.0,120438105.0,115048707.0,105844468.0
Selling And Marketing Expense,99072085.0,90386165.0,86177082.0,81024750.0
General And Administrative Expense,32704553.0,30051940.0,28871625.0,24819718.0
Rent And Landing Fees,9707006.0,9233294.0,12581175.0,3375153.0
Gross Profit,600400597.0,583637626.0,547283145.0,516594396.0
Cost Of Revenue,1179803714.0,1251575066.0,1266121917.0,1282085589.0
Total Revenue,1780204311.0,1835212692.0,1813405062.0,1798679985.0
Operating Revenue,1780204311.0,1835212692.0,1813405062.0,1798679985.0
