,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-291761000.0,1254060000.0,1603385000.0,1988241000.0,
Repurchase Of Capital Stock,,,,0.0,-181200000.0
Repayment Of Debt,-150608000.0,-180097000.0,0.0,,
Issuance Of Debt,180694000.0,206102000.0,14068000.0,500000000.0,
Capital Expenditure,-191092000.0,-255196000.0,-111952000.0,-133895000.0,
End Cash Position,1748973000.0,1127133000.0,2588169000.0,543976000.0,
Beginning Cash Position,1127133000.0,2588169000.0,543976000.0,1607556000.0,
Effect Of Exchange Rate Changes,3019000.0,-35952000.0,-18327000.0,-20440000.0,
Changes In Cash,618821000.0,-1425084000.0,2062520000.0,-1043140000.0,
Financing Cash Flow,-1298466000.0,-807470000.0,-688976000.0,41248000.0,
Net Other Financing Charges,1182000.0,-663000.0,,,
Interest Paid Cff,-67036000.0,-66111000.0,-70032000.0,-15635000.0,
Cash Dividends Paid,-1190409000.0,-713998000.0,-594881000.0,-475200000.0,
Common Stock Dividend Paid,-1190409000.0,-713998000.0,-594881000.0,-475200000.0,
Net Common Stock Issuance,,,,0.0,-181200000.0
Common Stock Payments,,,,0.0,-181200000.0
Net Issuance Payments Of Debt,30086000.0,26005000.0,14068000.0,553883000.0,
Net Short Term Debt Issuance,-150608000.0,-180097000.0,0.0,53883000.0,
Short Term Debt Payments,-150608000.0,-180097000.0,0.0,,
Net Long Term Debt Issuance,180694000.0,206102000.0,14068000.0,500000000.0,
Long Term Debt Issuance,180694000.0,206102000.0,14068000.0,500000000.0,
Investing Cash Flow,2017956000.0,-2126870000.0,1036159000.0,-3206524000.0,
Net Other Investing Changes,,,,15250004.0,-16487138.0
Dividends Received Cfi,4000000.0,0.0,,,
Net Investment Purchase And Sale,2205000000.0,-1559099000.0,1563194000.0,-2700800000.0,
Sale Of Investment,,,1850800000.0,,
Purchase Of Investment,,,-287606000.0,-2700800000.0,0.0
Net Business Purchase And Sale,-375000.0,-312575000.0,-415083000.0,-371829000.0,
Purchase Of Business,-375000.0,-312575000.0,-415083000.0,-371829000.0,
Net PPE Purchase And Sale,-190669000.0,-255196000.0,-111952000.0,-133895000.0,
Sale Of PPE,423000.0,0.0,,0.0,191787.0
Purchase Of PPE,-191092000.0,-255196000.0,-111952000.0,-133895000.0,
Operating Cash Flow,-100669000.0,1509256000.0,1715337000.0,2122136000.0,
Taxes Refund Paid,-131424000.0,-129571000.0,-112837000.0,-65171000.0,
Interest Received Cfo,120975000.0,107643000.0,148170000.0,36842000.0,
Interest Paid Cfo,,,,-15635241.0,0.0
Change In Working Capital,-1995131000.0,-508625000.0,-168350000.0,748725000.0,
Change In Other Current Assets,-383244000.0,-572981000.0,-368703000.0,935065000.0,
Change In Payable,432536000.0,652766000.0,535458000.0,423356000.0,
Change In Prepaid Assets,-306343000.0,-216457000.0,-155533000.0,191835000.0,
Change In Inventory,-180375000.0,-16849000.0,93018000.0,50367000.0,
Change In Receivables,-1557705000.0,-355104000.0,-272590000.0,-851898000.0,
Other Non Cash Items,-14138000.0,-31122000.0,-69372000.0,-37896000.0,
Stock Based Compensation,10012000.0,9599000.0,9976000.0,28475000.0,
Provisionand Write Offof Assets,-67549000.0,8612000.0,-11122000.0,1604000.0,
Depreciation And Amortization,345980000.0,287004000.0,282272000.0,232083000.0,
Amortization Cash Flow,82875000.0,78647000.0,,,
Depreciation,263105000.0,208357000.0,282272000.0,232083000.0,
Pension And Employee Benefit Expense,134550000.0,133334000.0,95533000.0,68034000.0,
Gain Loss On Investment Securities,-19828000.0,-3177000.0,38385000.0,-4879000.0,
Gain Loss On Sale Of PPE,1589000.0,0.0,,0.0,-162142.0
Net Income From Continuing Operations,1644761000.0,1641774000.0,1404726000.0,1171499000.0,
