,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-3803398.6,38919.8,1651158.0,17903.0
Tax Rate For Calcs,0.2,0.2,0.2,0.2
Normalized EBITDA,638443.0,-525662.0,11766302.0,8475705.0
Total Unusual Items,-19016993.0,194599.0,8255790.0,89515.0
Total Unusual Items Excluding Goodwill,-19016993.0,194599.0,8255790.0,89515.0
Net Income From Continuing Operation Net Minority Interest,-30801789.0,-12693428.0,5127534.0,-6442845.0
Reconciled Depreciation,10556841.0,10866843.0,10439347.0,11964352.0
Reconciled Cost Of Revenue,60022623.0,56038530.0,43288914.0,47010650.0
EBITDA,-18378550.0,-331063.0,20022092.0,8565220.0
EBIT,-28935391.0,-11197906.0,9582745.0,-3399132.0
Net Interest Income,-1345249.0,-279703.0,-208761.0,-122511.0
Interest Expense,1345249.0,279703.0,208761.0,122511.0
Normalized Income,-15588194.6,-12849107.2,-1477098.0,-6514457.0
Net Income From Continuing And Discontinued Operation,-30801789.0,-12693428.0,5127534.0,-6442845.0
Total Expenses,74007555.0,69542537.0,58012365.0,62584807.0
Total Operating Income As Reported,-11627852.0,-3844488.0,-4714518.0,-4740797.0
Diluted Average Shares,31666667.0,31666667.0,31666667.0,31666667.0
Basic Average Shares,31666667.0,31666667.0,31666667.0,31666667.0
Diluted EPS,-0.97,-0.4,0.16,-0.2
Basic EPS,-0.97,-0.4,0.16,-0.2
Diluted NI Availto Com Stockholders,-30801789.0,-12693428.0,5127534.0,-6442845.0
Net Income Common Stockholders,-30801789.0,-12693428.0,5127534.0,-6442845.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-30801789.0,-12693428.0,5127534.0,-6442845.0
Net Income Including Noncontrolling Interests,-30801789.0,-12693428.0,5127534.0,-6442845.0
Net Income Continuous Operations,-30801789.0,-12693428.0,5127534.0,-6442845.0
Tax Provision,521149.0,1215819.0,4246450.0,2921202.0
Pretax Income,-30280640.0,-11477609.0,9373984.0,-3521643.0
Other Non Operating Income Expenses,606420.0,-9683446.0,2712473.0,613908.0
Special Income Charges,-18974522.0,0.0,8109386.0,0.0
Other Special Charges,-108825.0,,-8109386.0,
Impairment Of Capital Assets,19083347.0,0.0,,
Net Non Operating Interest Income Expense,-1345249.0,-279703.0,-208761.0,-122511.0
Interest Expense Non Operating,1345249.0,279703.0,208761.0,122511.0
Operating Income,-13424806.0,-6220292.0,-6120152.0,-7847800.0
Operating Expense,13984932.0,13504007.0,14723451.0,15574157.0
Other Operating Expenses,4628048.0,2730914.0,1742775.0,3442560.0
Depreciation And Amortization In Income Statement,711222.0,718756.0,701957.0,810976.0
Depreciation Income Statement,711222.0,718756.0,701957.0,810976.0
Selling General And Administration,3340488.0,2533384.0,2632657.0,1803079.0
Selling And Marketing Expense,701394.0,616842.0,638924.0,924428.0
General And Administrative Expense,2639094.0,1916542.0,1993733.0,878651.0
Gross Profit,560126.0,7283715.0,8603299.0,7726357.0
Cost Of Revenue,60022623.0,56038530.0,43288914.0,47010650.0
Total Revenue,60582749.0,63322248.0,51892213.0,54737007.0
Operating Revenue,60582749.0,63322248.0,51892213.0,54737007.0
