,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,600000000.0,600000000.0,600000000.0,477300600.0
Share Issued,600000000.0,600000000.0,600000000.0,477300600.0
Net Debt,153740841.0,142494029.0,134266880.0,231545114.0
Total Debt,297042423.0,248641860.0,233575291.0,278936721.0
Tangible Book Value,-284857557.0,-266611671.0,-169317646.0,-247790802.0
Invested Capital,610031049.0,639121953.0,657161837.0,494649483.0
Working Capital,-65474123.0,60180762.0,132551741.0,-5255462.0
Net Tangible Assets,-284857557.0,-266611671.0,-169317646.0,-247790802.0
Capital Lease Obligations,84169691.0,65650552.0,41569491.0,10119774.0
Common Stock Equity,397158317.0,456130645.0,465156037.0,225832536.0
Total Capitalization,433143831.0,602885383.0,629145297.0,320330150.0
Total Equity Gross Minority Interest,406377269.0,465642743.0,478102177.0,236019788.0
Minority Interest,9218952.0,9512098.0,12946140.0,10187252.0
Stockholders Equity,397158317.0,456130645.0,465156037.0,225832536.0
Retained Earnings,-58154215.0,818113.0,-39913752.0,-416709.0
Capital Stock,600000000.0,600000000.0,600000000.0,300000000.0
Common Stock,600000000.0,600000000.0,600000000.0,300000000.0
Total Liabilities Net Minority Interest,1104267457.0,1009901565.0,876296229.0,737049017.0
Total Non Current Liabilities Net Minority Interest,736491573.0,786922870.0,693220541.0,455461238.0
Other Non Current Liabilities,608692941.0,554360496.0,463651326.0,317513811.0
Non Current Pension And Other Postretirement Benefit Plans,27802496.0,30967434.0,36539072.0,37371043.0
Tradeand Other Payables Non Current,1784250.0,5352750.0,,
Long Term Debt And Capital Lease Obligation,98211886.0,196242190.0,193030143.0,100576384.0
Long Term Capital Lease Obligation,62226372.0,49487452.0,29040883.0,6078770.0
Long Term Debt,35985514.0,146754738.0,163989260.0,94497614.0
Current Liabilities,367775884.0,222978695.0,183075688.0,281587779.0
Other Current Liabilities,31092207.0,38669758.0,23521813.0,12232440.0
Current Deferred Taxes Liabilities,5978019.0,7081107.0,5093791.0,6890949.0
Current Debt And Capital Lease Obligation,198830537.0,52399670.0,40545148.0,178360337.0
Current Capital Lease Obligation,21943319.0,16163100.0,12528608.0,4041004.0
Current Debt,176887218.0,36236570.0,28016540.0,174319333.0
Pensionand Other Post Retirement Benefit Plans Current,,21363639.0,17393896.0,19245410.0
Payables,86624159.0,68414222.0,65526060.0,65272466.0
Other Payable,21906948.0,19849652.0,21102891.0,9516115.0
Dividends Payable,15525985.0,15592527.0,15622264.0,15653265.0
Total Tax Payable,2839009.0,3942130.0,5100937.0,
Accounts Payable,46352217.0,29029913.0,23699968.0,65272466.0
Total Assets,1510644726.0,1475544308.0,1354398406.0,973068805.0
Total Non Current Assets,1208342965.0,1192384851.0,1038770977.0,696736488.0
Other Non Current Assets,2202178.0,3303268.0,4404357.0,
Investmentin Financial Assets,2042704.0,2042704.0,2042704.0,2042704.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,2042704.0,2042704.0,2042704.0,2042704.0
Investment Properties,245957183.0,200971898.0,194461685.0,38317753.0
Goodwill And Other Intangible Assets,682015874.0,722742316.0,634473683.0,473623338.0
Other Intangible Assets,603770165.0,644496607.0,556227974.0,393244455.0
Goodwill,78245709.0,78245709.0,78245709.0,79770427.0
Net PPE,276125026.0,263324665.0,203388548.0,182752693.0
Accumulated Depreciation,-223097210.0,-214450757.0,-212280166.0,-211126426.0
Gross PPE,499222236.0,477775422.0,415668714.0,393879119.0
Construction In Progress,3019858.0,5702457.0,1572368.0,11286.0
Other Properties,9589265.0,9661995.0,8341896.0,291601820.0
Machinery Furniture Equipment,406067634.0,371061916.0,329132256.0,36537528.0
Buildings And Improvements,39575613.0,40461904.0,35401522.0,20219456.0
Land And Improvements,40969866.0,50887150.0,41220672.0,45520315.0
Properties,0.0,0.0,0.0,0.0
Current Assets,302301761.0,283159457.0,315627429.0,276332317.0
Other Current Assets,,,,-13938658.0
Prepaid Assets,18275885.0,19901446.0,23622886.0,66637316.0
Inventory,3878085.0,4158686.0,8817262.0,7734516.0
Other Receivables,14002526.0,7907582.0,22528861.0,1084503.0
Taxes Receivable,,0.0,990019.0,
Accounts Receivable,121756407.0,141387491.0,120738346.0,152674126.0
Allowance For Doubtful Accounts Receivable,-21023376.0,-19933055.0,-14472986.0,-11329863.0
Gross Accounts Receivable,142779783.0,161320546.0,135211332.0,165150881.0
Cash Cash Equivalents And Short Term Investments,144388858.0,109804252.0,138930055.0,48201856.0
Other Short Term Investments,85256967.0,69306973.0,81191135.0,10930023.0
Cash And Cash Equivalents,59131891.0,40497279.0,57738920.0,37271833.0
Cash Equivalents,25150000.0,0.0,20000000.0,0.0
Cash Financial,33981891.0,40497279.0,37738920.0,37271833.0
