,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,22363119.342035,0.0,0.0
Tax Rate For Calcs,0.265381,0.06111,0.215263,0.167169
Total Unusual Items,0.0,365949388.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,365949388.0,0.0,
Net Income From Continuing Operation Net Minority Interest,140044427.0,474811642.0,124429494.0,76052381.0
Reconciled Depreciation,3239070.0,3340087.0,2713931.0,2822173.0
EBIT,,,160239546.0,92525250.0
Net Interest Income,,,-1677423.0,-1207363.0
Interest Expense,,,1677423.0,1207363.0
Interest Income,-64481435.0,-51483659.0,-37720190.0,2160538.0
Normalized Income,140044427.0,131225373.342035,124429494.0,76052381.0
Net Income From Continuing And Discontinued Operation,140044427.0,474811642.0,124429494.0,76052381.0
Total Expenses,-292132329.0,-461141148.0,23335918.0,118355134.0
Rent Expense Supplemental,1363222.0,907976.0,792007.0,1190256.0
Diluted Average Shares,167310000.0,128700000.0,89100000.0,128699999.0
Basic Average Shares,167310000.0,128700000.0,89100000.0,128699999.0
Diluted EPS,0.84,5.33,1.4,0.588462
Basic EPS,0.84,5.33,1.4,0.588462
Diluted NI Availto Com Stockholders,140044427.0,474811642.0,124429494.0,76052381.0
Net Income Common Stockholders,140044427.0,474811642.0,124429494.0,76052381.0
Net Income,140044427.0,474811642.0,124429494.0,76052381.0
Net Income Including Noncontrolling Interests,140044427.0,474811642.0,124429494.0,76052381.0
Net Income Continuous Operations,140044427.0,474811642.0,124429494.0,76052381.0
Tax Provision,50591024.0,30904231.0,34132629.0,15265506.0
Pretax Income,190635451.0,505715873.0,158562123.0,91317887.0
Other Income Expense,7173199.0,5101330.0,1136263.0,0.0
Special Income Charges,0.0,365949388.0,0.0,
Other Special Charges,0.0,-365949388.0,0.0,
Net Non Operating Interest Income Expense,,,-1677423.0,-1207363.0
Interest Expense Non Operating,,,1677423.0,1207363.0
Other Operating Expenses,13514833.0,9855377.0,-1899514.0,12973856.0
Depreciation And Amortization In Income Statement,3239070.0,3340087.0,2713931.0,2822173.0
Depreciation Income Statement,3239070.0,3340087.0,2713931.0,2822173.0
Selling General And Administration,14932853.0,14109953.0,14668715.0,14308359.0
Selling And Marketing Expense,2844858.0,1463538.0,775513.0,903673.0
General And Administrative Expense,12087995.0,12646415.0,13893202.0,13404686.0
Rent And Landing Fees,1363222.0,907976.0,792007.0,1190256.0
Total Revenue,-101496878.0,44574725.0,181898041.0,209673021.0
Operating Revenue,-101496878.0,44574725.0,181898041.0,209673021.0
Net Policyholder Benefits And Claims,1443479249.0,997762650.0,683345430.0,612725413.0
