,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,722260.21346,27229.703001
Tax Rate For Calcs,0.042403,0.066329
Normalized EBITDA,1025546032.0,545470436.0
Total Unusual Items,17033402.0,410524.0
Total Unusual Items Excluding Goodwill,17033402.0,410524.0
Net Income From Continuing Operation Net Minority Interest,983389202.0,498610200.0
Reconciled Depreciation,13972450.0,10670284.0
Reconciled Cost Of Revenue,1544872170.0,983835644.0
EBITDA,1042579434.0,545880960.0
EBIT,1028606984.0,535210676.0
Net Interest Income,-66834555.0,-23612703.0
Interest Expense,1673136.0,1178588.0
Interest Income,13809081.0,16354730.0
Normalized Income,967078060.21346,498226905.703001
Net Income From Continuing And Discontinued Operation,983389202.0,498610200.0
Total Expenses,1830440533.0,1270306846.0
Total Operating Income As Reported,1093768403.0,557644791.0
Diluted Average Shares,2903226919.0,1438647561.0
Basic Average Shares,2903226919.0,1438647561.0
Diluted EPS,0.7,0.346583
Basic EPS,0.7,0.346583
Diluted NI Availto Com Stockholders,983389202.0,498610200.0
Net Income Common Stockholders,983389202.0,498610200.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,983389202.0,498610200.0
Net Income Including Noncontrolling Interests,983389202.0,498610200.0
Net Income Continuous Operations,983389202.0,498610200.0
Tax Provision,43544646.0,35421888.0
Pretax Income,1026933848.0,534032088.0
Other Non Operating Income Expenses,3948615.0,3650671.0
Net Non Operating Interest Income Expense,-66834555.0,-23612703.0
Total Other Finance Cost,78970500.0,38788845.0
Interest Expense Non Operating,1673136.0,1178588.0
Interest Income Non Operating,13809081.0,16354730.0
Operating Income,1072786386.0,553583596.0
Operating Expense,285568363.0,286471202.0
Other Operating Expenses,20837896.0,83661710.0
Depreciation And Amortization In Income Statement,13972450.0,10670284.0
Amortization,3341769.0,2687191.0
Depreciation Income Statement,10630681.0,7983093.0
Selling General And Administration,206061851.0,134694677.0
Selling And Marketing Expense,92141692.0,63551372.0
General And Administrative Expense,113920159.0,71143305.0
Gross Profit,1358354749.0,840054798.0
Cost Of Revenue,1544872170.0,983835644.0
Total Revenue,2903226919.0,1823890442.0
Operating Revenue,2903226919.0,1823890442.0
