,2025-12-31,2024-12-31,2023-12-31
Free Cash Flow,143065699.0,98537385.0,156072915.0
Capital Expenditure,-33418545.0,-21386374.0,-31466918.0
End Cash Position,59985767.0,39636361.0,35574662.0
Beginning Cash Position,39636361.0,35574662.0,115334919.0
Changes In Cash,20349406.0,4061699.0,-79760257.0
Financing Cash Flow,-122976997.0,-69619305.0,-184615140.0
Cash Dividends Paid,-100000000.0,-48000000.0,-170000000.0
Common Stock Dividend Paid,-100000000.0,-48000000.0,-170000000.0
Investing Cash Flow,-33157841.0,-46242755.0,-82684950.0
Net Investment Purchase And Sale,190813.0,-29344848.0,-54901677.0
Sale Of Investment,15190813.0,14491402.0,9461991.0
Purchase Of Investment,-15000000.0,-43836250.0,-64363668.0
Net Business Purchase And Sale,0.0,-500000.0,0.0
Purchase Of Business,0.0,-500000.0,0.0
Net Intangibles Purchase And Sale,-918649.0,-2418036.0,-388611.0
Purchase Of Intangibles,-918649.0,-2418036.0,-388611.0
Net PPE Purchase And Sale,-32430005.0,-13979871.0,-27394662.0
Sale Of PPE,69891.0,4988467.0,3683645.0
Purchase Of PPE,-32499896.0,-18968338.0,-31078307.0
Operating Cash Flow,176484244.0,119923759.0,187539833.0
Interest Paid Cfo,-14317427.0,-12599525.0,-12262045.0
Change In Working Capital,-166970548.0,-156828660.0,-140678162.0
Change In Other Current Assets,-128744417.0,-146314931.0,-105731435.0
Change In Accrued Expense,40704073.0,5793656.0,9234584.0
Change In Payable,19836210.0,-9739095.0,18713457.0
Change In Prepaid Assets,-7116139.0,28195052.0,2860757.0
Change In Receivables,-91650275.0,-34763342.0,-65755525.0
Other Non Cash Items,95711586.0,83445056.0,114660232.0
Provisionand Write Offof Assets,5906943.0,0.0,
Depreciation And Amortization,38335283.0,41765592.0,34739833.0
Amortization Cash Flow,3193489.0,2434508.0,1079322.0
Depreciation,35141794.0,39331084.0,33660511.0
Pension And Employee Benefit Expense,42494754.0,43477598.0,41124183.0
Gain Loss On Investment Securities,239804.0,517887.0,-719448.0
Gain Loss On Sale Of PPE,937029.0,-1003735.0,-2864407.0
Net Income From Continuing Operations,165760157.0,142401209.0,182042614.0
