,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,-841745.4,18807.6,7377903.876776,
Tax Rate For Calcs,0.113596,0.2,0.2,0.237277,
Normalized EBITDA,16717125.0,-112253810.0,-13717297.0,-3534144.0,
Total Unusual Items,0.0,-4208727.0,94038.0,31094046.0,
Total Unusual Items Excluding Goodwill,0.0,-4208727.0,94038.0,31094046.0,
Net Income From Continuing Operation Net Minority Interest,1649572.0,-139607265.0,-30672775.0,10711721.0,
Reconciled Depreciation,11086420.0,12245723.0,12581516.0,13273668.0,
Reconciled Cost Of Revenue,75174338.0,114550071.0,48379785.0,62102314.0,
EBITDA,16717125.0,-116462537.0,-13623259.0,27559902.0,
EBIT,5630705.0,-128708260.0,-26204775.0,14286234.0,
Net Interest Income,-3847610.0,-2290240.0,-921071.0,-1371422.0,
Interest Expense,4049305.0,2248569.0,1431713.0,1348283.0,
Interest Income,361748.0,,,,300179.0
Normalized Income,1649572.0,-136240283.4,-30748005.4,-13004421.123224,
Net Income From Continuing And Discontinued Operation,2899572.0,-153276957.0,-32100266.0,10711721.0,
Total Expenses,105693147.0,204692258.0,102488706.0,97094134.0,
Rent Expense Supplemental,172507.0,1251554.0,805557.0,442152.0,
Total Operating Income As Reported,,-63007481.0,348950.0,-18965609.0,11806308.0
Diluted Average Shares,50000000.0,50000000.0,50000000.0,50000000.0,
Basic Average Shares,50000000.0,50000000.0,50000000.0,50000000.0,
Diluted EPS,0.06,-3.06,-0.64,0.21,
Basic EPS,0.06,-3.06,-0.64,0.21,
Diluted NI Availto Com Stockholders,2899572.0,-153276957.0,-32100266.0,10711721.0,
Net Income Common Stockholders,2899572.0,-153276957.0,-32100266.0,10711721.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2899572.0,-153276957.0,-32100266.0,10711721.0,
Minority Interests,247812.0,222793.0,236067.0,843649.0,
Net Income Including Noncontrolling Interests,2651760.0,-153499750.0,-32336333.0,9868072.0,
Net Income Discontinuous Operations,1250000.0,-13669692.0,-1427491.0,,
Net Income Continuous Operations,1401760.0,-139830058.0,-30908842.0,9868072.0,
Tax Provision,179640.0,8873229.0,3272354.0,3069879.0,
Pretax Income,1581400.0,-130956829.0,-27636488.0,12937951.0,
Other Non Operating Income Expenses,1094200.0,292028.0,82159.0,257971.0,
Special Income Charges,0.0,-4208727.0,-119606.0,25396769.0,
Other Special Charges,,,119606.0,-25396769.0,
Impairment Of Capital Assets,0.0,4208727.0,0.0,,
Net Non Operating Interest Income Expense,-3847610.0,-2290240.0,-921071.0,-1371422.0,
Total Other Finance Cost,160053.0,41671.0,-510642.0,23139.0,
Interest Expense Non Operating,4049305.0,2248569.0,1431713.0,1348283.0,
Interest Income Non Operating,361748.0,,,,300179.0
Operating Income,2153769.0,-125989111.0,-32333960.0,-19200441.0,
Operating Expense,30518809.0,90142187.0,54108921.0,34991820.0,
Other Operating Expenses,4092967.0,69890057.0,34422869.0,10757277.0,
Depreciation And Amortization In Income Statement,1431521.0,1546861.0,1662124.0,2139434.0,
Amortization,520721.0,302184.0,477481.0,1373090.0,
Depreciation Income Statement,910800.0,1244677.0,1184643.0,766344.0,
Selling General And Administration,11570892.0,6078696.0,7990384.0,8685831.0,
Selling And Marketing Expense,2823226.0,2079833.0,2270045.0,3219109.0,
General And Administrative Expense,8747666.0,3998863.0,5720339.0,5466722.0,
Rent And Landing Fees,172507.0,1251554.0,805557.0,442152.0,
Gross Profit,32672578.0,-35846924.0,21774961.0,15791379.0,
Cost Of Revenue,75174338.0,114550071.0,48379785.0,62102314.0,
Total Revenue,107846916.0,78703147.0,70154746.0,77893693.0,
Operating Revenue,107846916.0,78703147.0,70154746.0,77893693.0,
