,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,66000000.0,66000000.0,66000000.0,66000000.0,
Share Issued,66000000.0,66000000.0,66000000.0,66000000.0,
Total Debt,15051000.0,13728000.0,1542000.0,3035000.0,
Tangible Book Value,768281000.0,738370000.0,706114000.0,658313000.0,
Invested Capital,1006972000.0,975676000.0,940276000.0,892718000.0,
Net Tangible Assets,768281000.0,738370000.0,706114000.0,658313000.0,
Capital Lease Obligations,15051000.0,13728000.0,1542000.0,3035000.0,
Common Stock Equity,1006972000.0,975676000.0,940276000.0,892718000.0,
Total Capitalization,1006972000.0,975676000.0,940276000.0,892718000.0,
Total Equity Gross Minority Interest,1006972000.0,975676000.0,940276000.0,892718000.0,
Stockholders Equity,1006972000.0,975676000.0,940276000.0,892718000.0,
Retained Earnings,116486000.0,104413000.0,94451000.0,58956000.0,
Additional Paid In Capital,87286000.0,87286000.0,87286000.0,197286000.0,
Capital Stock,660000000.0,660000000.0,660000000.0,550000000.0,
Common Stock,660000000.0,660000000.0,660000000.0,550000000.0,
Total Liabilities Net Minority Interest,2043825000.0,2112798000.0,1872354000.0,1640816000.0,
Non Current Pension And Other Postretirement Benefit Plans,7807000.0,6534000.0,6830000.0,5576000.0,
Non Current Accrued Expenses,14157000.0,11560000.0,6890000.0,14614000.0,
Non Current Deferred Revenue,,,,1406000.0,632000.0
Long Term Debt And Capital Lease Obligation,15051000.0,13728000.0,1542000.0,3035000.0,
Long Term Capital Lease Obligation,15051000.0,13728000.0,1542000.0,3035000.0,
Payables,14556000.0,37341000.0,66847000.0,52716000.0,
Other Payable,,,,33979000.0,984000.0
Total Tax Payable,14556000.0,37341000.0,66847000.0,52716000.0,
Accounts Payable,,,,51376000.0,34389000.0
Total Assets,3050797000.0,3088474000.0,2812630000.0,2533534000.0,
Investments And Advances,888606000.0,837056000.0,794408000.0,643322000.0,
Investmentin Financial Assets,815848000.0,775901000.0,750924000.0,603619000.0,
Held To Maturity Securities,,,,510549000.0,466815000.0
Available For Sale Securities,558630000.0,514100000.0,503782000.0,414469000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,257218000.0,261801000.0,247142000.0,189150000.0,
Goodwill And Other Intangible Assets,238691000.0,237306000.0,234162000.0,234405000.0,
Other Intangible Assets,6436000.0,5051000.0,1907000.0,2150000.0,
Goodwill,232255000.0,232255000.0,232255000.0,232255000.0,
Net PPE,21655000.0,20315000.0,4196000.0,6420000.0,
Accumulated Depreciation,-17941000.0,-16542000.0,-15525000.0,-14528000.0,
Gross PPE,39596000.0,36857000.0,19721000.0,20948000.0,
Other Properties,14826000.0,14072000.0,1987000.0,3519000.0,
Machinery Furniture Equipment,19074000.0,18344000.0,17658000.0,17353000.0,
Buildings And Improvements,5696000.0,4441000.0,76000.0,76000.0,
Prepaid Assets,10289000.0,9946000.0,7723000.0,10315000.0,
Receivables Adjustments Allowances,-4000.0,-4000.0,-3000.0,0.0,
Other Receivables,21846000.0,10706000.0,8135000.0,2807000.0,
Accounts Receivable,,0.0,9952000.0,5903000.0,20286000.0
Cash Cash Equivalents And Short Term Investments,124438000.0,230937000.0,161100000.0,294455000.0,
Other Short Term Investments,72758000.0,61155000.0,43484000.0,39703000.0,
Cash And Cash Equivalents,51680000.0,169782000.0,117616000.0,254752000.0,
