,2025-12-31,2024-12-31
Free Cash Flow,-21073967.0,-44496979.0
Repayment Of Debt,-74300595.0,-70184112.0
Issuance Of Debt,0.0,102805234.0
Issuance Of Capital Stock,192500000.0,0.0
Capital Expenditure,-32114889.0,-33675632.0
End Cash Position,135302399.0,49976430.0
Beginning Cash Position,49976430.0,69705549.0
Changes In Cash,85325969.0,-19729119.0
Financing Cash Flow,106358197.0,21578539.0
Cash Dividends Paid,,-8000000.0
Common Stock Dividend Paid,0.0,-8000000.0
Net Common Stock Issuance,192500000.0,0.0
Common Stock Issuance,192500000.0,0.0
Net Issuance Payments Of Debt,-74300595.0,32621122.0
Net Short Term Debt Issuance,-61142696.0,37884278.0
Short Term Debt Payments,-61142696.0,-64920956.0
Short Term Debt Issuance,0.0,102805234.0
Net Long Term Debt Issuance,-13157899.0,-5263156.0
Long Term Debt Payments,-13157899.0,-5263156.0
Investing Cash Flow,-32073150.0,-30486311.0
Net Intangibles Purchase And Sale,-13589524.0,-206159.0
Purchase Of Intangibles,-13589524.0,-206159.0
Net PPE Purchase And Sale,-18483626.0,-30280152.0
Sale Of PPE,41739.0,3189321.0
Purchase Of PPE,-18525365.0,-33469473.0
Operating Cash Flow,11040922.0,-10821347.0
Taxes Refund Paid,-3040526.0,-1950844.0
Interest Paid Cfo,-2825349.0,-4738161.0
Change In Working Capital,-22097395.0,-94745553.0
Change In Payable,-33073101.0,63918475.0
Change In Prepaid Assets,2198320.0,-35750548.0
Change In Inventory,-4057937.0,-107179810.0
Change In Receivables,12835323.0,-15733670.0
Other Non Cash Items,769229.0,3762455.0
Provisionand Write Offof Assets,9066576.0,3714282.0
Depreciation And Amortization,19048447.0,6631591.0
Amortization Cash Flow,1430313.0,432776.0
Depreciation,17618134.0,6198815.0
Pension And Employee Benefit Expense,2144150.0,1562950.0
Gain Loss On Sale Of PPE,-21753.0,74617.0
Net Income From Continuing Operations,8932016.0,75066078.0
