,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,35357145.0,35357145.0,35357145.0,35357145.0,
Share Issued,35357145.0,35357145.0,35357145.0,35357145.0,
Net Debt,137442712.0,211976578.0,323133441.0,261610965.0,
Total Debt,168754825.0,262658965.0,381089120.0,387464721.0,
Tangible Book Value,334456205.0,286948956.0,304176723.0,430807771.0,
Invested Capital,488695814.0,536882343.0,663766611.0,792811818.0,
Working Capital,14050183.0,-33072760.0,-99187625.0,8414958.0,
Net Tangible Assets,334456205.0,286948956.0,304176723.0,430807771.0,
Capital Lease Obligations,15902100.0,15371530.0,24158238.0,28324243.0,
Common Stock Equity,335843089.0,289594908.0,306835729.0,433671340.0,
Total Capitalization,364466117.0,334282408.0,306835729.0,445750102.0,
Total Equity Gross Minority Interest,335843089.0,289594908.0,306835729.0,433671340.0,
Stockholders Equity,335843089.0,289594908.0,306835729.0,433671340.0,
Retained Earnings,285976562.0,242339560.0,90788021.0,190257853.0,
Capital Stock,353571450.0,353571450.0,353571450.0,353571450.0,
Common Stock,353571450.0,353571450.0,353571450.0,353571450.0,
Total Liabilities Net Minority Interest,385937879.0,490581147.0,644793133.0,576295958.0,
Total Non Current Liabilities Net Minority Interest,66194424.0,83897537.0,44606794.0,71354916.0,
Non Current Pension And Other Postretirement Benefit Plans,27366700.0,26873500.0,27250200.0,36286100.0,
Non Current Deferred Taxes Liabilities,1758400.0,2468060.0,0.0,177550.0,
Long Term Debt And Capital Lease Obligation,37069324.0,54555977.0,17356594.0,34891266.0,
Long Term Capital Lease Obligation,8446296.0,9868477.0,17356594.0,22812504.0,
Long Term Debt,28623028.0,44687500.0,0.0,12078762.0,
Current Liabilities,319743455.0,406683610.0,600186339.0,504941042.0,
Other Current Liabilities,20360730.0,23309599.0,31064687.0,20137757.0,
Current Deferred Taxes Liabilities,10614348.0,12007302.0,16389651.0,17434010.0,
Current Debt And Capital Lease Obligation,131685501.0,208102988.0,363732526.0,352573455.0,
Current Capital Lease Obligation,7455804.0,5503053.0,6801644.0,5511739.0,
Current Debt,124229697.0,202599935.0,356930882.0,347061716.0,
Pensionand Other Post Retirement Benefit Plans Current,13486000.0,11462796.0,7014192.0,8698733.0,
Current Provisions,4500000.0,611008.0,9502802.0,,
Payables,66737149.0,72836474.0,72599838.0,75357725.0,
Other Payable,,,,220190.0,394484.0
Total Tax Payable,1445614.0,1315432.0,1814928.0,6673717.0,
Accounts Payable,65291535.0,71521042.0,70784910.0,68463818.0,
Total Assets,721780968.0,780176055.0,951628862.0,1009967298.0,
Total Non Current Assets,387987330.0,406565205.0,450630148.0,496611298.0,
Non Current Deferred Taxes Assets,1109619.0,1006018.0,1038490.0,0.0,
Investment Properties,45134328.0,45134328.0,45134328.0,0.0,
Goodwill And Other Intangible Assets,1386884.0,2645952.0,2659006.0,2863569.0,
Other Intangible Assets,1386884.0,2645952.0,2659006.0,2863569.0,
Net PPE,340356499.0,357778907.0,401798324.0,493747729.0,
Accumulated Depreciation,-413235107.0,-375193375.0,-360777622.0,-348315869.0,
Gross PPE,753591606.0,732972282.0,762575946.0,842063598.0,
Construction In Progress,6569703.0,5809572.0,3876849.0,15296883.0,
Other Properties,1596249.0,1596249.0,1596249.0,1596249.0,
Machinery Furniture Equipment,412518975.0,400819347.0,421065736.0,427643900.0,
Buildings And Improvements,329901279.0,321844347.0,332109641.0,347811382.0,
Land And Improvements,3005400.0,2902767.0,3927471.0,49715184.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,333793638.0,373610850.0,500998714.0,513356000.0,
Hedging Assets Current,,,0.0,80317.0,0.0
Assets Held For Sale Current,,0.0,2954779.0,5272034.0,10080000.0
Prepaid Assets,16978379.0,19933758.0,17120302.0,13562717.0,
Inventory,179106243.0,200221284.0,224007607.0,246469148.0,
Inventories Adjustments Allowances,-12978466.0,-12491861.0,-18337400.0,-16114078.0,
Other Inventories,19371852.0,25629533.0,30789454.0,29344569.0,
Finished Goods,49708829.0,51603179.0,59494035.0,81425475.0,
Work In Process,2890291.0,1012971.0,1491370.0,1731043.0,
Raw Materials,120113737.0,134467462.0,150570148.0,150082139.0,
Other Receivables,8701370.0,15152251.0,14562537.0,25593920.0,
Accounts Receivable,113597633.0,102992700.0,131393164.0,124848351.0,
Allowance For Doubtful Accounts Receivable,-14502695.0,-13700224.0,-14888232.0,-10338726.0,
Gross Accounts Receivable,128100328.0,116692924.0,146281396.0,135187077.0,
Cash Cash Equivalents And Short Term Investments,15410013.0,35310857.0,110960325.0,97529513.0,
Other Short Term Investments,,,77162884.0,,
Cash And Cash Equivalents,15410013.0,35310857.0,33797441.0,97529513.0,
Cash Financial,15410013.0,35310857.0,33797441.0,97529513.0,
