,2025-12-31,2024-12-31
Ordinary Shares Number,300000000.0,300000000.0
Share Issued,300000000.0,300000000.0
Net Debt,1202555671.0,1027238300.0
Total Debt,1314172112.0,1149016412.0
Tangible Book Value,1014400880.0,876293825.0
Invested Capital,2390811327.0,2025310237.0
Working Capital,145086178.0,420053159.0
Net Tangible Assets,1014400880.0,876293825.0
Capital Lease Obligations,10930100.0,0.0
Common Stock Equity,1087569315.0,876293825.0
Total Capitalization,2062705992.0,1860310237.0
Total Equity Gross Minority Interest,1106219135.0,912685687.0
Minority Interest,18649820.0,36391862.0
Stockholders Equity,1087569315.0,876293825.0
Retained Earnings,710020589.0,447231690.0
Capital Stock,300000000.0,300000000.0
Common Stock,300000000.0,300000000.0
Total Liabilities Net Minority Interest,1993493063.0,1787312294.0
Total Non Current Liabilities Net Minority Interest,1081571094.0,1032141305.0
Non Current Pension And Other Postretirement Benefit Plans,7455105.0,6355884.0
Non Current Deferred Revenue,93140922.0,41769009.0
Long Term Debt And Capital Lease Obligation,980975067.0,984016412.0
Long Term Capital Lease Obligation,5838390.0,0.0
Long Term Debt,975136677.0,984016412.0
Current Liabilities,911921969.0,755170989.0
Current Deferred Taxes Liabilities,7980302.0,15890929.0
Current Debt And Capital Lease Obligation,333197045.0,165000000.0
Current Capital Lease Obligation,5091710.0,0.0
Current Debt,328105335.0,165000000.0
Current Provisions,2883871.0,33896677.0
Payables,314768906.0,365672355.0
Other Payable,69877367.0,178083810.0
Total Tax Payable,2759013.0,5474925.0
Accounts Payable,242132526.0,182113620.0
Total Assets,3099712198.0,2699997981.0
Total Non Current Assets,2042704051.0,1524773833.0
Investmentin Financial Assets,181476251.0,209363889.0
Available For Sale Securities,112991089.0,164504498.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,68485162.0,44859391.0
Long Term Equity Investment,173734999.0,160000000.0
Investmentsin Associatesat Cost,173734999.0,160000000.0
Investment Properties,1576014441.0,1131182929.0
Goodwill And Other Intangible Assets,73168435.0,0.0
Other Intangible Assets,73168435.0,
Net PPE,34106947.0,24227015.0
Accumulated Depreciation,-4959528.0,-3826799.0
Gross PPE,39066475.0,28053814.0
Other Properties,2094327.0,
Machinery Furniture Equipment,7432482.0,4327939.0
Buildings And Improvements,10028416.0,5314625.0
Land And Improvements,19511250.0,18411250.0
Properties,0.0,0.0
Current Assets,1057008147.0,1175224148.0
Other Current Assets,260425.0,879020.0
Restricted Cash,218921301.0,42613453.0
Prepaid Assets,88951282.0,51455570.0
Inventory,376718318.0,723915374.0
Finished Goods,376718318.0,723915374.0
Other Receivables,126025921.0,109488027.0
Taxes Receivable,81105283.0,51331849.0
Accounts Receivable,59334276.0,73762743.0
Allowance For Doubtful Accounts Receivable,-3055712.0,-7034517.0
Gross Accounts Receivable,62389988.0,80797260.0
Cash Cash Equivalents And Short Term Investments,100686341.0,121778112.0
Cash And Cash Equivalents,100686341.0,121778112.0
Cash Equivalents,0.0,40000000.0
Cash Financial,100686341.0,81778112.0
