,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,141008848.0,141008848.0,141008848.0,141008848.0
Share Issued,141008848.0,141008848.0,141008848.0,141008848.0
Net Debt,557382954.0,629476872.0,710388331.0,714073041.0
Total Debt,600612414.0,751490490.0,752324736.0,753121118.0
Tangible Book Value,1023965373.0,1045723564.0,1045608726.0,1069697376.0
Invested Capital,587500000.0,737500000.0,737500000.0,737500000.0
Net Tangible Assets,1023965373.0,1045723564.0,1045608726.0,1069697376.0
Common Stock Equity,1023965373.0,1045723564.0,1045608726.0,1069697376.0
Total Capitalization,1611465373.0,1783223564.0,1783108726.0,1807197376.0
Total Equity Gross Minority Interest,1023965373.0,1045723564.0,1045608726.0,1069697376.0
Stockholders Equity,1023965373.0,1045723564.0,1045608726.0,1069697376.0
Total Liabilities Net Minority Interest,664788238.0,813791403.0,814971112.0,813568960.0
Derivative Product Liabilities,4516549.0,0.0,,
Long Term Debt And Capital Lease Obligation,600612414.0,751490490.0,752324736.0,753121118.0
Payables,32095999.0,39981520.0,32019138.0,19789087.0
Other Payable,6918355.0,5917440.0,6886432.0,7239243.0
Total Tax Payable,3036922.0,4093273.0,0.0,
Accounts Payable,22140722.0,29970807.0,25132706.0,12549844.0
Total Assets,1688753611.0,1859514967.0,1860579838.0,1883266336.0
Investment Properties,1512848699.0,1608996237.0,1688339039.0,1703538613.0
Net PPE,120089997.0,130287550.0,133031169.0,141475645.0
Accumulated Depreciation,-68885234.0,-58533097.0,-48226240.0,-38305845.0
Gross PPE,188975231.0,188820647.0,181257409.0,179781490.0
Prepaid Assets,359181.0,329141.0,432866.0,1671035.0
Receivables,21838688.0,11812287.0,5683255.0,7979262.0
Cash And Cash Equivalents,30117046.0,108023128.0,27111669.0,23426959.0
Cash Financial,30117046.0,28023128.0,27111669.0,23426959.0
Cash Cash Equivalents And Federal Funds Sold,30117046.0,108023128.0,27111669.0,23426959.0
