,2025-12-31,2024-12-31
Ordinary Shares Number,42857143.0,42857143.0
Share Issued,42857143.0,42857143.0
Net Debt,487778345.0,389262944.0
Total Debt,655366974.0,441561147.0
Tangible Book Value,1857448789.0,740228333.0
Invested Capital,2503503151.0,1169549533.0
Working Capital,1116019410.0,590672905.0
Net Tangible Assets,1857448789.0,740228333.0
Capital Lease Obligations,9415542.0,12510565.0
Common Stock Equity,1857551719.0,740498951.0
Total Capitalization,2275476206.0,1018310254.0
Total Equity Gross Minority Interest,1857551719.0,740498951.0
Stockholders Equity,1857551719.0,740498951.0
Retained Earnings,651080026.0,400094239.0
Additional Paid In Capital,735428580.0,0.0
Capital Stock,428571430.0,300000000.0
Common Stock,428571430.0,300000000.0
Total Liabilities Net Minority Interest,951209332.0,623283920.0
Total Non Current Liabilities Net Minority Interest,427208578.0,288771939.0
Non Current Pension And Other Postretirement Benefit Plans,2940407.0,1548036.0
Long Term Debt And Capital Lease Obligation,424268171.0,287223903.0
Long Term Capital Lease Obligation,6343684.0,9412600.0
Long Term Debt,417924487.0,277811303.0
Current Liabilities,524000754.0,334511981.0
Current Debt And Capital Lease Obligation,231098803.0,154337244.0
Current Capital Lease Obligation,3071858.0,3097965.0
Current Debt,228026945.0,151239279.0
Current Provisions,7081646.0,3835836.0
Payables,117805600.0,86353460.0
Other Payable,6590533.0,4390892.0
Dividends Payable,30000000.0,15000000.0
Total Tax Payable,18869184.0,13686898.0
Accounts Payable,62345883.0,53275670.0
Total Assets,2808761051.0,1363782871.0
Total Non Current Assets,1168740887.0,438597985.0
Investmentin Financial Assets,1087831697.0,322483719.0
Available For Sale Securities,8708400.0,6154450.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1079123297.0,316329269.0
Long Term Equity Investment,11387096.0,8450000.0
Investmentsin Associatesat Cost,11387096.0,8450000.0
Investment Properties,15303273.0,38626527.0
Goodwill And Other Intangible Assets,102930.0,270618.0
Other Intangible Assets,102930.0,270618.0
Net PPE,20329380.0,21797831.0
Accumulated Depreciation,-10946736.0,-5041347.0
Gross PPE,31276116.0,26839178.0
Construction In Progress,1095851.0,0.0
Other Properties,17590924.0,15563544.0
Machinery Furniture Equipment,12589341.0,11275634.0
Current Assets,1640020164.0,925184886.0
Restricted Cash,19958074.0,14616006.0
Prepaid Assets,10028735.0,10981037.0
Inventory,1048658180.0,452026363.0
Finished Goods,1048658180.0,452026363.0
Other Receivables,97001263.0,6989412.0
Taxes Receivable,15981658.0,25738293.0
Accounts Receivable,290219167.0,375046137.0
Allowance For Doubtful Accounts Receivable,-952462.0,-3481048.0
Gross Accounts Receivable,291171629.0,378527185.0
Cash Cash Equivalents And Short Term Investments,158173087.0,39787638.0
Cash And Cash Equivalents,158173087.0,39787638.0
Cash Financial,158173087.0,39787638.0
