,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,882929905.0,523259999.0,523259846.0,523259846.0,
Share Issued,882929905.0,523259999.0,523259846.0,523259846.0,
Net Debt,4076800000.0,7780136000.0,6720443000.0,6158914000.0,
Total Debt,4622960000.0,8107856000.0,6988526000.0,6322318000.0,
Tangible Book Value,9343432000.0,5263930000.0,6402584000.0,6650502000.0,
Invested Capital,13895852000.0,13299414000.0,13305768000.0,12895832000.0,
Working Capital,133929000.0,-7574983000.0,-6776976000.0,-6914211000.0,
Net Tangible Assets,9343432000.0,5263930000.0,6402584000.0,6650502000.0,
Capital Lease Obligations,73263000.0,75353000.0,89006000.0,81263000.0,
Common Stock Equity,9346155000.0,5266911000.0,6406248000.0,6654777000.0,
Total Capitalization,13360586000.0,5266911000.0,6406248000.0,6731694000.0,
Total Equity Gross Minority Interest,9346155000.0,5266911000.0,6406248000.0,6654777000.0,
Stockholders Equity,9346155000.0,5266911000.0,6406248000.0,6654777000.0,
Retained Earnings,2401000.0,22776000.0,-4938621000.0,-4690092000.0,
Additional Paid In Capital,502919000.0,0.0,,,
Capital Stock,8829299000.0,5232599000.0,11333333000.0,11333333000.0,
Common Stock,8829299000.0,5232599000.0,11333333000.0,11333333000.0,
Total Liabilities Net Minority Interest,6335756000.0,9823749000.0,8743415000.0,8536054000.0,
Total Non Current Liabilities Net Minority Interest,4188224000.0,244110000.0,74424000.0,143573000.0,
Derivative Product Liabilities,,0.0,,,
Non Current Pension And Other Postretirement Benefit Plans,49597000.0,45483000.0,41630000.0,40841000.0,
Tradeand Other Payables Non Current,113199000.0,174944000.0,,,
Non Current Deferred Revenue,,,,,85596000.0
Long Term Debt And Capital Lease Obligation,4025428000.0,23683000.0,32794000.0,102732000.0,
Long Term Capital Lease Obligation,10997000.0,23683000.0,32794000.0,25815000.0,
Long Term Debt,4014431000.0,0.0,0.0,76917000.0,
Current Liabilities,2147532000.0,9579639000.0,8668991000.0,8392481000.0,
Current Deferred Taxes Liabilities,68500000.0,48209000.0,250738000.0,215458000.0,
Current Debt And Capital Lease Obligation,597532000.0,8084173000.0,6955732000.0,6219586000.0,
Current Capital Lease Obligation,62266000.0,51670000.0,56212000.0,55448000.0,
Current Debt,535266000.0,8032503000.0,6899520000.0,6164138000.0,
Current Provisions,30229000.0,43967000.0,24812000.0,163253000.0,
Payables,526437000.0,430808000.0,415826000.0,452967000.0,
Other Payable,27996000.0,24243000.0,21006000.0,23032000.0,
Total Tax Payable,61745000.0,65476000.0,0.0,,
Accounts Payable,436696000.0,341089000.0,394820000.0,429935000.0,
Total Assets,15681911000.0,15090660000.0,15149663000.0,15190831000.0,
Total Non Current Assets,13400450000.0,13086004000.0,13257648000.0,13712561000.0,
Long Term Equity Investment,2571208000.0,2711806000.0,2837368000.0,2586740000.0,
Investmentsin Joint Venturesat Cost,,2456361000.0,2552079000.0,2540950000.0,
Investmentsin Associatesat Cost,,255445000.0,285289000.0,45790000.0,
Investment Properties,5037544000.0,5082566000.0,5101537000.0,5304970000.0,
Goodwill And Other Intangible Assets,2723000.0,2981000.0,3664000.0,4275000.0,
Other Intangible Assets,2723000.0,2981000.0,3664000.0,4275000.0,
Net PPE,5147387000.0,5039080000.0,4972003000.0,5122215000.0,
Accumulated Depreciation,-2457119000.0,-2459574000.0,-2259843000.0,-2066363000.0,
Gross PPE,7604506000.0,7498654000.0,7231846000.0,7188578000.0,
Construction In Progress,1381879000.0,1980234000.0,1722408000.0,1679141000.0,
Other Properties,3915162000.0,3214004000.0,3212050000.0,3214552000.0,
Machinery Furniture Equipment,383152000.0,380390000.0,377743000.0,376628000.0,
Buildings And Improvements,1789030000.0,1788743000.0,1784362000.0,1782974000.0,
Land And Improvements,135283000.0,135283000.0,135283000.0,135283000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,2281461000.0,2004656000.0,1892015000.0,1478270000.0,
Other Current Assets,9285000.0,104906000.0,13082000.0,6627000.0,
Restricted Cash,4421000.0,3707000.0,3354000.0,6333000.0,
Prepaid Assets,119493000.0,107256000.0,78356000.0,31753000.0,
Inventory,813988000.0,835611000.0,839341000.0,820802000.0,
Finished Goods,813988000.0,835611000.0,839341000.0,820802000.0,
Other Receivables,208765000.0,260770000.0,375135000.0,178491000.0,
Taxes Receivable,132326000.0,,,,
Accounts Receivable,435054000.0,378567000.0,372051000.0,336369000.0,
Allowance For Doubtful Accounts Receivable,-369014000.0,-358097000.0,-358553000.0,-334362000.0,
Gross Accounts Receivable,804068000.0,736664000.0,730604000.0,670731000.0,
Cash Cash Equivalents And Short Term Investments,558129000.0,313839000.0,210696000.0,97895000.0,
Other Short Term Investments,85232000.0,61472000.0,31619000.0,15754000.0,
Cash And Cash Equivalents,472897000.0,252367000.0,179077000.0,82141000.0,
Cash Equivalents,,,,0.0,41537000.0
Cash Financial,472897000.0,252367000.0,179077000.0,82141000.0,
