,2025-12-31,2024-12-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,5556456.90122,148520.285662,-2392249.250259,-195511.034088
Tax Rate For Calcs,0.049501,0.046254,0.084493,0.10766
Normalized EBITDA,523761000.0,630985000.0,489934000.0,342997000.0
Total Unusual Items,112249000.0,3211000.0,-28313000.0,-1816000.0
Total Unusual Items Excluding Goodwill,112249000.0,3211000.0,-28313000.0,-1816000.0
Net Income From Continuing Operation Net Minority Interest,487988000.0,493320000.0,308771000.0,207291000.0
Reconciled Depreciation,119222000.0,114867000.0,120028000.0,104339000.0
Reconciled Cost Of Revenue,2065456000.0,1815927000.0,1825304000.0,1513697000.0
EBITDA,636010000.0,634196000.0,461621000.0,341181000.0
EBIT,516788000.0,519329000.0,341593000.0,236842000.0
Net Interest Income,29799000.0,38882000.0,8230000.0,-2296000.0
Interest Expense,3386000.0,2634000.0,2476000.0,2568000.0
Interest Income,34000000.0,49687000.0,18499000.0,4400000.0
Normalized Income,381295456.90122,490257520.285662,334691750.749741,208911488.965912
Net Income From Continuing And Discontinued Operation,477389000.0,483687000.0,308771000.0,207291000.0
Total Expenses,2628046000.0,2383050000.0,2288421000.0,1932915000.0
Total Operating Income As Reported,483603000.0,477813000.0,371011000.0,236210000.0
Diluted Average Shares,31993000.0,32000000.0,32000000.0,32000000.0
Basic Average Shares,31993000.0,32000000.0,32000000.0,32000000.0
Diluted EPS,14.92,15.12,9.65,6.48
Basic EPS,14.92,15.12,9.65,6.48
Diluted NI Availto Com Stockholders,477389000.0,483687000.0,308771000.0,207291000.0
Net Income Common Stockholders,477389000.0,483687000.0,308771000.0,207291000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,477389000.0,483687000.0,308771000.0,207291000.0
Minority Interests,0.0,524000.0,-1693000.0,-1761000.0
Net Income Including Noncontrolling Interests,477389000.0,483163000.0,310464000.0,209052000.0
Net Income Discontinuous Operations,-10599000.0,-9633000.0,,
Net Income Continuous Operations,487988000.0,492796000.0,310464000.0,209052000.0
Tax Provision,25414000.0,23899000.0,28653000.0,25222000.0
Pretax Income,513402000.0,516695000.0,339117000.0,234274000.0
Special Income Charges,112249000.0,3211000.0,11419000.0,-1202000.0
Other Special Charges,-107417000.0,,,
Write Off,-4832000.0,-3211000.0,-11419000.0,1202000.0
Net Non Operating Interest Income Expense,29799000.0,38882000.0,8230000.0,-2296000.0
Total Other Finance Cost,815000.0,8171000.0,7793000.0,4128000.0
Interest Expense Non Operating,3386000.0,2634000.0,2476000.0,2568000.0
Interest Income Non Operating,34000000.0,49687000.0,18499000.0,4400000.0
Operating Income,371354000.0,474602000.0,359592000.0,237412000.0
Operating Expense,562590000.0,567123000.0,463117000.0,419218000.0
Other Operating Expenses,,3995000.0,2823000.0,14039000.0
Depreciation And Amortization In Income Statement,40979000.0,39913000.0,47040000.0,45041000.0
Amortization,,31000.0,2557000.0,2673000.0
Depreciation Income Statement,40979000.0,39913000.0,44483000.0,42368000.0
Selling General And Administration,229914000.0,252237000.0,148146000.0,115494000.0
Selling And Marketing Expense,184541000.0,213496000.0,117432000.0,82594000.0
General And Administrative Expense,45373000.0,38741000.0,30714000.0,32900000.0
Gross Profit,933944000.0,1041725000.0,822709000.0,656630000.0
Cost Of Revenue,2065456000.0,1815927000.0,1825304000.0,1513697000.0
Total Revenue,2999400000.0,2857652000.0,2648013000.0,2170327000.0
Operating Revenue,2999400000.0,2857652000.0,2648013000.0,2170327000.0
