,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-17245600.0,-9853200.0,-27829400.0,-26399418.59696,
Tax Rate For Calcs,0.2,0.2,0.2,0.209053,
Normalized EBITDA,-2662484000.0,2256000.0,871617000.0,1753373000.0,
Total Unusual Items,2021828000.0,315018000.0,143571000.0,129796000.0,
Total Unusual Items Excluding Goodwill,-86228000.0,-49266000.0,-139147000.0,-126281000.0,
Net Income From Continuing Operation Net Minority Interest,-1790401000.0,-75365000.0,201628000.0,666346000.0,
Reconciled Depreciation,429508000.0,280593000.0,225721000.0,231824000.0,
Reconciled Cost Of Revenue,2403365000.0,2939578000.0,3202483000.0,3018573000.0,
EBITDA,-640656000.0,317274000.0,1015188000.0,1883169000.0,
EBIT,-1070164000.0,36681000.0,789467000.0,1651345000.0,
Net Interest Income,-204397000.0,-127844000.0,-123021000.0,-171670000.0,
Interest Expense,335857000.0,355325000.0,313592000.0,278669000.0,
Interest Income,,,,152403000.0,22698000.0
Normalized Income,386637400.0,328331800.0,595663600.0,1022304581.40304,
Net Income From Continuing And Discontinued Operation,-1765250000.0,-27929000.0,201628000.0,666346000.0,
Total Expenses,2911016000.0,3373285000.0,3645706000.0,3511714000.0,
Rent Expense Supplemental,1891000.0,1851000.0,2078000.0,6563000.0,
Total Operating Income As Reported,-3359250000.0,-321016000.0,413887000.0,1320783000.0,
Diluted Average Shares,667723000.0,668914000.0,668914000.0,668914000.0,
Basic Average Shares,667723000.0,668914000.0,668914000.0,668914000.0,
Diluted EPS,-2.64,-0.04,0.3,1.0,
Basic EPS,-2.64,-0.04,0.3,1.0,
Diluted NI Availto Com Stockholders,-1765250000.0,-27929000.0,201628000.0,666346000.0,
Net Income Common Stockholders,-1765250000.0,-27929000.0,201628000.0,666346000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-1765250000.0,-27929000.0,201628000.0,666346000.0,
Minority Interests,-299082000.0,249703000.0,-19230000.0,-419368000.0,
Net Income Including Noncontrolling Interests,-1466168000.0,-277632000.0,220858000.0,1085714000.0,
Net Income Discontinuous Operations,25151000.0,47436000.0,,,
Net Income Continuous Operations,-1491319000.0,-325068000.0,220858000.0,1085714000.0,
Tax Provision,85298000.0,6424000.0,255017000.0,286962000.0,
Pretax Income,-1406021000.0,-318644000.0,475875000.0,1372676000.0,
Other Non Operating Income Expenses,102950000.0,101652000.0,122111000.0,113729000.0,
Special Income Charges,-86228000.0,-49266000.0,-139147000.0,-126281000.0,
Other Special Charges,-2028980000.0,,-30000000.0,-70815000.0,
Write Off,7152000.0,2326000.0,-56853000.0,-58981000.0,
Impairment Of Capital Assets,,0.0,0.0,256077000.0,
Restructuring And Mergern Acquisition,0.0,-317344000.0,-56718000.0,-45343000.0,
Net Non Operating Interest Income Expense,-204397000.0,-127844000.0,-123021000.0,-171670000.0,
Total Other Finance Cost,-131460000.0,-227481000.0,-190571000.0,-106999000.0,
Interest Expense Non Operating,335857000.0,355325000.0,313592000.0,278669000.0,
Interest Income Non Operating,,,,152403000.0,22698000.0
Operating Income,-422294000.0,-349206000.0,-78747000.0,371148000.0,
Operating Expense,507651000.0,433707000.0,443223000.0,493141000.0,
Other Operating Expenses,,-5472000.0,-23906000.0,,
Depreciation And Amortization In Income Statement,44699000.0,44069000.0,37881000.0,48086000.0,
Depreciation Income Statement,44699000.0,44069000.0,37881000.0,48086000.0,
Selling General And Administration,251061000.0,225230000.0,172850000.0,187696000.0,
Selling And Marketing Expense,129256000.0,122739000.0,143214000.0,125758000.0,
General And Administrative Expense,121805000.0,102491000.0,29636000.0,61938000.0,
Rent And Landing Fees,1891000.0,1851000.0,2078000.0,6563000.0,
Gross Profit,85357000.0,84501000.0,364476000.0,864289000.0,
Cost Of Revenue,2403365000.0,2939578000.0,3202483000.0,3018573000.0,
Total Revenue,2488722000.0,3024079000.0,3566959000.0,3882862000.0,
Operating Revenue,2488722000.0,3024079000.0,3566959000.0,3882862000.0,
