,2025-12-31,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.051702,0.081659,0.094283
Normalized EBITDA,278026924.0,250741639.0,220376867.0
Total Unusual Items,,-4776957.0,0.0
Total Unusual Items Excluding Goodwill,,-4776957.0,0.0
Net Income From Continuing Operation Net Minority Interest,200792678.0,170931353.0,142816987.0
Reconciled Depreciation,55173488.0,53176054.0,54810733.0
Reconciled Cost Of Revenue,354024860.0,334452999.0,311923084.0
EBITDA,278026924.0,250741639.0,220376867.0
EBIT,222853436.0,197565585.0,165566134.0
Net Interest Income,-1219750.0,-4158208.0,-2352151.0
Interest Expense,11113475.0,11434948.0,7882296.0
Interest Income,9893725.0,7276740.0,5530145.0
Normalized Income,200792678.0,170931353.0,142816987.0
Net Income From Continuing And Discontinued Operation,200792678.0,170931353.0,142816987.0
Total Expenses,448617419.0,419113946.0,394194388.0
Rent Expense Supplemental,734424.0,741075.0,721283.0
Total Operating Income As Reported,211788526.0,198370588.0,163831202.0
Diluted Average Shares,540000000.0,540000000.0,540000000.0
Basic Average Shares,540000000.0,540000000.0,540000000.0
Diluted EPS,0.37,0.32,0.264476
Basic EPS,0.37,0.32,0.264476
Diluted NI Availto Com Stockholders,200792678.0,170931353.0,142816987.0
Net Income Common Stockholders,200792678.0,170931353.0,142816987.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,200792678.0,170931353.0,142816987.0
Net Income Including Noncontrolling Interests,200792678.0,170931353.0,142816987.0
Net Income Continuous Operations,200792678.0,170931353.0,142816987.0
Tax Provision,10947283.0,15199284.0,14866851.0
Pretax Income,211739961.0,186130637.0,157683838.0
Other Non Operating Income Expenses,1171185.0,-8081743.0,-3859736.0
Special Income Charges,,-4776957.0,0.0
Other Special Charges,,374020.0,
Impairment Of Capital Assets,,4402937.0,0.0
Net Non Operating Interest Income Expense,-1219750.0,-4158208.0,-2352151.0
Interest Expense Non Operating,11113475.0,11434948.0,7882296.0
Interest Income Non Operating,9893725.0,7276740.0,5530145.0
Operating Income,211788526.0,198370588.0,163895725.0
Operating Expense,94592559.0,84660947.0,82271304.0
Other Operating Expenses,1163929.0,1520771.0,2052748.0
Depreciation And Amortization In Income Statement,5876911.0,5169580.0,4667225.0
Amortization,832092.0,630847.0,33509.0
Depreciation Income Statement,5044819.0,4538733.0,4633716.0
Selling General And Administration,37341686.0,29180817.0,41657874.0
Selling And Marketing Expense,24301556.0,16881477.0,26747261.0
General And Administrative Expense,13040130.0,12299340.0,14910613.0
Rent And Landing Fees,43174.0,38076.0,45959.0
Gross Profit,306381085.0,283031535.0,246167029.0
Cost Of Revenue,354024860.0,334452999.0,311923084.0
Total Revenue,660405945.0,617484534.0,558090113.0
Operating Revenue,660405945.0,617484534.0,558090113.0
