,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-8143361.8,292154.434876,-1827066.2,-1434734.0,
Tax Rate For Calcs,0.2,0.020477,0.2,0.2,
Normalized EBITDA,80356990.0,62765344.0,53690359.0,48192433.0,
Total Unusual Items,-40716809.0,14267154.0,-9135331.0,-7173670.0,
Total Unusual Items Excluding Goodwill,-40716809.0,14267154.0,-9135331.0,-7173670.0,
Net Income From Continuing Operation Net Minority Interest,-28361977.0,15138500.0,-11806606.0,-106042.0,
Reconciled Depreciation,22625548.0,20673344.0,18698317.0,17973629.0,
Reconciled Cost Of Revenue,39080520.0,43446148.0,38743601.0,34687179.0,
EBITDA,39640181.0,77032498.0,44555028.0,41018763.0,
EBIT,17014633.0,56359154.0,25856711.0,23045134.0,
Net Interest Income,-44963802.0,-40731407.0,-37740764.0,-22266304.0,
Interest Expense,45272240.0,40904176.0,37254755.0,22042855.0,
Normalized Income,4211470.2,1163500.434876,-4498341.2,5632894.0,
Net Income From Continuing And Discontinued Operation,-28361977.0,15138500.0,-11806606.0,-106042.0,
Total Expenses,71807268.0,77310428.0,77870446.0,65403710.0,
Rent Expense Supplemental,366485.0,384069.0,411541.0,360619.0,
Total Operating Income As Reported,,,,,32889987.0
Diluted Average Shares,,103765995.0,103765995.0,68108652.0,68108652.0
Basic Average Shares,,103765995.0,103765995.0,68108652.0,68108652.0
Diluted EPS,,0.145891,-0.113781,-0.001557,0.448239
Basic EPS,,0.145891,-0.113781,-0.001557,0.448239
Diluted NI Availto Com Stockholders,-28361977.0,15138500.0,-11806606.0,-106042.0,
Net Income Common Stockholders,-28361977.0,15138500.0,-11806606.0,-106042.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-28361977.0,15138500.0,-11806606.0,-106042.0,
Net Income Including Noncontrolling Interests,-28361977.0,15138500.0,-11806606.0,-106042.0,
Net Income Continuous Operations,-28361977.0,15138500.0,-11806606.0,-106042.0,
Tax Provision,104370.0,316478.0,408562.0,1108321.0,
Pretax Income,-28257607.0,15454978.0,-11398044.0,1002279.0,
Special Income Charges,-40716809.0,14267154.0,-9135331.0,-7173670.0,
Other Special Charges,,,,,698360.0
Impairment Of Capital Assets,40716809.0,-14267154.0,9135331.0,7173670.0,
Net Non Operating Interest Income Expense,-44963802.0,-40731407.0,-37740764.0,-22266304.0,
Total Other Finance Cost,-308438.0,-172769.0,486009.0,223449.0,
Interest Expense Non Operating,45272240.0,40904176.0,37254755.0,22042855.0,
Operating Income,52729780.0,42139431.0,35670051.0,30611253.0,
Operating Expense,32726748.0,33864280.0,39126845.0,30716531.0,
Other Operating Expenses,8538014.0,11485303.0,18945024.0,8703277.0,
Depreciation And Amortization In Income Statement,22625548.0,20673344.0,18698317.0,17973629.0,
Depreciation Income Statement,22625548.0,20673344.0,18698317.0,17973629.0,
Selling General And Administration,1563186.0,1705633.0,1483504.0,4039625.0,
Selling And Marketing Expense,1046853.0,1173276.0,966449.0,732762.0,
General And Administrative Expense,516333.0,532357.0,517055.0,3306863.0,
Rent And Landing Fees,,,,360619.0,0.0
Gross Profit,85456528.0,76003711.0,74796896.0,61327784.0,
Cost Of Revenue,39080520.0,43446148.0,38743601.0,34687179.0,
Total Revenue,124537048.0,119449859.0,113540497.0,96014963.0,
Operating Revenue,124537048.0,119449859.0,113540497.0,96014963.0,
