,2025-12-31,2024-12-31,2023-12-31
Ordinary Shares Number,400000000.0,400000000.0,400000000.0
Share Issued,400000000.0,400000000.0,400000000.0
Total Debt,50632003.0,45200524.0,25738615.0
Tangible Book Value,630198681.0,589378267.0,510720882.0
Invested Capital,638894666.0,600349092.0,521708179.0
Working Capital,558959768.0,522779164.0,426208100.0
Net Tangible Assets,630198681.0,589378267.0,510720882.0
Capital Lease Obligations,50632003.0,45200524.0,25738615.0
Common Stock Equity,638894666.0,600349092.0,521708179.0
Total Capitalization,638894666.0,600349092.0,521708179.0
Total Equity Gross Minority Interest,638894666.0,600349092.0,521708179.0
Stockholders Equity,638894666.0,600349092.0,521708179.0
Retained Earnings,132729630.0,82089473.0,14882909.0
Capital Stock,400000000.0,400000000.0,400000000.0
Common Stock,400000000.0,400000000.0,400000000.0
Total Liabilities Net Minority Interest,583014566.0,495034552.0,490758993.0
Total Non Current Liabilities Net Minority Interest,203710721.0,191188232.0,166728426.0
Other Non Current Liabilities,25632044.0,51974351.0,55199950.0
Non Current Pension And Other Postretirement Benefit Plans,130262812.0,109312587.0,96347469.0
Long Term Debt And Capital Lease Obligation,33458126.0,29901294.0,15181007.0
Long Term Capital Lease Obligation,33458126.0,29901294.0,15181007.0
Long Term Provisions,14357739.0,,
Current Liabilities,379303845.0,303846320.0,324030567.0
Other Current Liabilities,42330938.0,25108392.0,47073657.0
Current Deferred Taxes Liabilities,17234797.0,16432224.0,13054365.0
Current Debt And Capital Lease Obligation,17173877.0,15299230.0,10557608.0
Current Capital Lease Obligation,17173877.0,15299230.0,10557608.0
Pensionand Other Post Retirement Benefit Plans Current,111942012.0,93107142.0,84537289.0
Payables,83515561.0,54453719.0,64518458.0
Other Payable,23729643.0,13107289.0,15666555.0
Total Tax Payable,20144257.0,21540979.0,19307357.0
Accounts Payable,39641661.0,19805451.0,29544546.0
Total Assets,1221909232.0,1095383644.0,1012467172.0
Total Non Current Assets,283645619.0,268758160.0,262228505.0
Other Non Current Assets,20504287.0,25766453.0,30539189.0
Non Current Prepaid Assets,,0.0,6900000.0
Investmentin Financial Assets,14428327.0,13573199.0,10000000.0
Held To Maturity Securities,10000000.0,10000000.0,10000000.0
Available For Sale Securities,4428327.0,3573199.0,
Long Term Equity Investment,0.0,500000.0,0.0
Investmentsin Joint Venturesat Cost,0.0,500000.0,0.0
Goodwill And Other Intangible Assets,8695985.0,10970825.0,10987297.0
Other Intangible Assets,8695985.0,10970825.0,10987297.0
Net PPE,240017020.0,217947683.0,203802019.0
Accumulated Depreciation,-152625005.0,-136128095.0,-120628711.0
Gross PPE,392642025.0,354075778.0,324430730.0
Construction In Progress,2107298.0,1504706.0,41646578.0
Other Properties,77415188.0,69467418.0,47685522.0
Machinery Furniture Equipment,159884977.0,130367421.0,125561685.0
Buildings And Improvements,98669337.0,98171008.0,54971720.0
Land And Improvements,54565225.0,54565225.0,54565225.0
Properties,0.0,0.0,0.0
Current Assets,938263613.0,826625484.0,750238667.0
Other Current Assets,148557616.0,145948548.0,129964756.0
Assets Held For Sale Current,,0.0,249913.0
Restricted Cash,4771858.0,4957409.0,5141347.0
Prepaid Assets,66399911.0,56235752.0,72041968.0
Other Receivables,63083939.0,28448087.0,7062443.0
Accounts Receivable,344008347.0,312326767.0,301741762.0
Allowance For Doubtful Accounts Receivable,-63711626.0,-38669526.0,-35876833.0
Gross Accounts Receivable,407719973.0,350996293.0,337618595.0
Cash Cash Equivalents And Short Term Investments,311441942.0,278708921.0,234036478.0
Other Short Term Investments,251456175.0,239072560.0,198461816.0
Cash And Cash Equivalents,59985767.0,39636361.0,35574662.0
Cash Financial,59985767.0,39636361.0,35574662.0
