,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.2,0.26115,0.171881,0.2,
Total Unusual Items,,,,-2448000.0,0.0
Total Unusual Items Excluding Goodwill,,,,-2448000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-13279000.0,12027000.0,25439000.0,-48183000.0,
Reconciled Depreciation,1309000.0,1480000.0,1811000.0,1936000.0,
EBIT,,,,,-121122000.0
Net Interest Income,,,,-173000.0,-284000.0
Interest Expense,,,,,284000.0
Interest Income,97000.0,96000.0,84000.0,1823000.0,
Normalized Income,-13279000.0,12027000.0,25439000.0,-48183000.0,
Net Income From Continuing And Discontinued Operation,-13279000.0,12027000.0,25439000.0,-48183000.0,
Total Expenses,291421000.0,209781000.0,154988000.0,268953000.0,
Rent Expense Supplemental,1047000.0,929000.0,820000.0,763000.0,
Diluted Average Shares,43000000.0,43000000.0,43000000.0,28330000.0,
Basic Average Shares,43000000.0,43000000.0,43000000.0,28330000.0,
Diluted EPS,-0.31,0.28,0.59,-1.7,
Basic EPS,-0.31,0.28,0.59,-1.7,
Diluted NI Availto Com Stockholders,-13279000.0,12027000.0,25439000.0,-48183000.0,
Net Income Common Stockholders,-13279000.0,12027000.0,25439000.0,-48183000.0,
Net Income,-13279000.0,12027000.0,25439000.0,-48183000.0,
Net Income Including Noncontrolling Interests,-13279000.0,12027000.0,25439000.0,-48183000.0,
Net Income Continuous Operations,-13279000.0,12027000.0,25439000.0,-48183000.0,
Tax Provision,6361000.0,4251000.0,5280000.0,3450000.0,
Pretax Income,-6918000.0,16278000.0,30719000.0,-44733000.0,
Other Income Expense,0.0,0.0,0.0,0.0,
Special Income Charges,,,,-2448000.0,0.0
Other Special Charges,,,,0.0,0.0
Restructuring And Mergern Acquisition,,,,2448000.0,0.0
Net Non Operating Interest Income Expense,,,,-173000.0,-284000.0
Total Other Finance Cost,,,,173000.0,284000.0
Interest Expense Non Operating,,,,,284000.0
Other Operating Expenses,-1858000.0,985000.0,-18013000.0,-12974000.0,
Depreciation And Amortization In Income Statement,720000.0,815000.0,987000.0,1223000.0,
Amortization,,,,329000.0,377000.0
Depreciation Income Statement,,,,1608000.0,1543000.0
Selling General And Administration,6316000.0,5584000.0,4831000.0,8998000.0,
Selling And Marketing Expense,,,,950000.0,1515000.0
General And Administrative Expense,6316000.0,5584000.0,4831000.0,8998000.0,
Rent And Landing Fees,1047000.0,929000.0,820000.0,763000.0,
Total Revenue,284503000.0,226059000.0,185707000.0,224220000.0,
Operating Revenue,284503000.0,226059000.0,185707000.0,224220000.0,
Net Policyholder Benefits And Claims,222626000.0,162020000.0,128775000.0,235757000.0,
