,2025-06-30,2024-06-30,2023-06-30,2022-06-30
Free Cash Flow,96858206.0,-1137007.0,31809370.0,24652447.0
Repurchase Of Capital Stock,-234444.0,-12006309.0,-11133250.0,0.0
Repayment Of Debt,-10972593.0,-2150374.0,-2012606.0,-9657023.0
Issuance Of Debt,5000000.0,5000000.0,8245000.0,0.0
Capital Expenditure,-12083369.0,-2707581.0,-1428898.0,-7540005.0
End Cash Position,18562107.0,11957376.0,27595279.0,27221636.0
Beginning Cash Position,11957376.0,27595279.0,27221636.0,13669469.0
Changes In Cash,6604731.0,-15637903.0,373643.0,13552167.0
Financing Cash Flow,-13533437.0,-12357183.0,-7152656.0,-10342859.0
Net Other Financing Charges,-3000000.0,,,109805.0
Interest Paid Cff,-1949563.0,-1063118.0,-721128.0,
Net Common Stock Issuance,-234444.0,-12006309.0,-11133250.0,0.0
Common Stock Payments,-234444.0,-12006309.0,-11133250.0,0.0
Net Issuance Payments Of Debt,-5972593.0,2849626.0,6232394.0,-9657023.0
Net Short Term Debt Issuance,-5972593.0,2849626.0,8245000.0,0.0
Short Term Debt Payments,-10972593.0,-2150374.0,,
Short Term Debt Issuance,5000000.0,5000000.0,8245000.0,0.0
Net Long Term Debt Issuance,,-2150374.0,-2012606.0,-9657023.0
Long Term Debt Payments,,-2150374.0,-2012606.0,-9657023.0
Long Term Debt Issuance,,,6232394.0,
Investing Cash Flow,-88803407.0,-4851294.0,-25711969.0,-8297426.0
Net Other Investing Changes,2169424.0,2231451.0,2005813.0,
Net Investment Purchase And Sale,-76076962.0,-4377676.0,-31977972.0,-6558829.0
Sale Of Investment,85923038.0,41358672.0,20017197.0,13927455.0
Purchase Of Investment,-162000000.0,-45736348.0,-51995169.0,-20486284.0
Net Business Purchase And Sale,-2812500.0,0.0,5548001.0,4854000.0
Sale Of Business,,0.0,5548001.0,4892000.0
Purchase Of Business,-2812500.0,0.0,0.0,-38000.0
Net Intangibles Purchase And Sale,-6140670.0,-1951906.0,-335134.0,-471854.0
Sale Of Intangibles,,,,0.0
Purchase Of Intangibles,-6140670.0,-1951906.0,-335134.0,-471854.0
Net PPE Purchase And Sale,-5942699.0,-753163.0,-952677.0,-6120743.0
Sale Of PPE,0.0,2512.0,141087.0,947408.0
Purchase Of PPE,-5942699.0,-755675.0,-1093764.0,-7068151.0
Operating Cash Flow,108941575.0,1570574.0,33238268.0,32192452.0
Taxes Refund Paid,-1850215.0,-1125499.0,-730105.0,-752608.0
Interest Paid Cfo,-1172943.0,-433686.0,-479349.0,-430311.0
Change In Working Capital,54848870.0,-30206214.0,11684249.0,16657423.0
Change In Other Current Assets,58702937.0,5807057.0,24513097.0,1111542.0
Change In Accrued Expense,1597468.0,20284767.0,14349359.0,1751187.0
Change In Payable,-1944297.0,19276698.0,-7940721.0,9976809.0
Change In Prepaid Assets,-3818901.0,-1998076.0,1352096.0,-8553242.0
Change In Receivables,311663.0,-73576660.0,-20589582.0,12371127.0
Other Non Cash Items,-1056326.0,-1982362.0,-169099.0,689956.0
Stock Based Compensation,13977788.0,646834.0,495250.0,
Provisionand Write Offof Assets,1573359.0,918247.0,777035.0,93423.0
Depreciation And Amortization,4239592.0,2582165.0,2216438.0,1093000.0
Amortization Cash Flow,72160.0,0.0,0.0,296986.0
Depreciation,4167432.0,2582165.0,2216438.0,796014.0
Pension And Employee Benefit Expense,4270301.0,2328962.0,2662614.0,2134709.0
Gain Loss On Investment Securities,-4133425.0,-1124875.0,-6084418.0,-5219171.0
Gain Loss On Sale Of PPE,0.0,267.0,0.0,-494818.0
Net Income From Continuing Operations,40975706.0,33222059.0,25602978.0,20487346.0
