,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,1080000000.0,1080000000.0,1080000000.0,1080000000.0,
Share Issued,1080000000.0,1080000000.0,1080000000.0,1080000000.0,
Net Debt,8374025000.0,4699086000.0,4630472000.0,4844922000.0,
Total Debt,15864500000.0,11442011000.0,10107569000.0,10791653000.0,
Tangible Book Value,22227294000.0,21094608000.0,20291881000.0,19604128000.0,
Invested Capital,38081741000.0,32518366000.0,30372186000.0,30377907000.0,
Working Capital,4880357000.0,3656850000.0,5167107000.0,4472742000.0,
Net Tangible Assets,22227294000.0,21094608000.0,20291881000.0,19604128000.0,
Capital Lease Obligations,10053000.0,18253000.0,27264000.0,17874000.0,
Common Stock Equity,22227294000.0,21094608000.0,20291881000.0,19604128000.0,
Total Capitalization,35204915000.0,29180434000.0,29324246000.0,27418423000.0,
Total Equity Gross Minority Interest,22233086000.0,21100714000.0,20291881000.0,19604128000.0,
Minority Interest,5792000.0,6106000.0,0.0,,
Stockholders Equity,22227294000.0,21094608000.0,20291881000.0,19604128000.0,
Retained Earnings,10098228000.0,8965334000.0,8146462000.0,7599769000.0,
Capital Stock,10800000000.0,10800000000.0,10800000000.0,10800000000.0,
Common Stock,10800000000.0,10800000000.0,10800000000.0,10800000000.0,
Total Liabilities Net Minority Interest,19379875000.0,15839508000.0,13363423000.0,13908725000.0,
Total Non Current Liabilities Net Minority Interest,13019456000.0,8124343000.0,9063992000.0,7841206000.0,
Non Current Pension And Other Postretirement Benefit Plans,41835000.0,38517000.0,31627000.0,26911000.0,
Long Term Debt And Capital Lease Obligation,12977621000.0,8085826000.0,9032365000.0,7814295000.0,
Long Term Debt,12977621000.0,8085826000.0,9032365000.0,7814295000.0,
Current Liabilities,6360419000.0,7715165000.0,4299431000.0,6067519000.0,
Current Deferred Taxes Liabilities,423327000.0,315517000.0,308789000.0,386452000.0,
Current Debt And Capital Lease Obligation,2886879000.0,3356185000.0,1075204000.0,2977358000.0,
Current Capital Lease Obligation,10053000.0,18253000.0,27264000.0,17874000.0,
Current Debt,2876826000.0,3337932000.0,1047940000.0,2959484000.0,
Payables,510929000.0,451197000.0,844015000.0,527924000.0,
Other Payable,189503000.0,188675000.0,187834000.0,186936000.0,
Dividends Payable,8234000.0,8292000.0,8307000.0,35309000.0,
Accounts Payable,313192000.0,254230000.0,647874000.0,305679000.0,
Total Assets,41612961000.0,36940222000.0,33655304000.0,33512853000.0,
Total Non Current Assets,30372185000.0,25568207000.0,24188766000.0,22972592000.0,
Other Non Current Assets,,,,17569000.0,
Non Current Deferred Assets,,,,,0.0
Investmentin Financial Assets,173460000.0,190890000.0,191730000.0,215040000.0,
Available For Sale Securities,173460000.0,190890000.0,191730000.0,215040000.0,
Long Term Equity Investment,2982954000.0,2628356000.0,2603245000.0,1030125000.0,
Investment Properties,26036357000.0,21860265000.0,21290022000.0,21641371000.0,
Net PPE,71384000.0,89614000.0,103769000.0,86056000.0,
Accumulated Depreciation,-192006000.0,-177178000.0,-167108000.0,-160637000.0,
Gross PPE,263390000.0,266792000.0,270877000.0,246693000.0,
Other Properties,35256000.0,37751000.0,42316000.0,28851000.0,
Machinery Furniture Equipment,96876000.0,98244000.0,99507000.0,105027000.0,
Buildings And Improvements,39133000.0,38672000.0,36929000.0,20690000.0,
Land And Improvements,92125000.0,92125000.0,92125000.0,92125000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,11240776000.0,11372015000.0,9466538000.0,10540261000.0,
Prepaid Assets,519193000.0,253895000.0,253895000.0,381555000.0,
Inventory,39618000.0,143867000.0,134046000.0,156354000.0,
Other Inventories,37211000.0,31993000.0,22568000.0,12022000.0,
Finished Goods,2407000.0,111874000.0,111478000.0,144332000.0,
Other Receivables,392992000.0,341327000.0,291710000.0,522934000.0,
Accounts Receivable,2808551000.0,3908254000.0,3337054000.0,3550561000.0,
Allowance For Doubtful Accounts Receivable,-49460000.0,-41920000.0,-27990000.0,-27990000.0,
Gross Accounts Receivable,2858011000.0,3950174000.0,3365044000.0,3578551000.0,
Cash Cash Equivalents And Short Term Investments,7480422000.0,6724672000.0,5449833000.0,5928857000.0,
Cash And Cash Equivalents,7480422000.0,6724672000.0,5449833000.0,5928857000.0,
Cash Financial,7480422000.0,6724672000.0,5449833000.0,5928857000.0,
