,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.144,0.138,0.131501,0.119226,
Net Income From Continuing Operation Net Minority Interest,2431485000.0,1956630000.0,1761607000.0,1507855000.0,
Reconciled Depreciation,184790000.0,176827000.0,183459000.0,154986000.0,
Net Interest Income,-10120000.0,-10378000.0,-13281000.0,-12597000.0,
Interest Expense,10120000.0,10378000.0,13281000.0,12597000.0,
Interest Income,0.0,0.0,0.0,0.0,
Normalized Income,2431485000.0,1956630000.0,1761607000.0,1507855000.0,
Net Income From Continuing And Discontinued Operation,2431485000.0,1956630000.0,1761607000.0,1507855000.0,
Diluted Average Shares,1247325000.0,1248974000.0,1250000000.0,1250000000.0,
Basic Average Shares,1247325000.0,1248974000.0,1250000000.0,1250000000.0,
Diluted EPS,1.68,1.43,1.28,1.096,
Basic EPS,1.68,1.43,1.28,1.096,
Diluted NI Availto Com Stockholders,2096754000.0,1787072000.0,1594179000.0,1365384000.0,
Net Income Common Stockholders,2096754000.0,1787072000.0,1594179000.0,1365384000.0,
Otherunder Preferred Stock Dividend,334731000.0,169558000.0,167428000.0,142471000.0,
Net Income,2431485000.0,1956630000.0,1761607000.0,1507855000.0,
Net Income Including Noncontrolling Interests,2431485000.0,1956630000.0,1761607000.0,1507855000.0,
Net Income Continuous Operations,2431485000.0,1956630000.0,1761607000.0,1507855000.0,
Tax Provision,409035000.0,313242000.0,266727000.0,204110000.0,
Pretax Income,2840520000.0,2269872000.0,2028334000.0,1711965000.0,
Gain On Sale Of Security,3626350000.0,3627553000.0,3448511000.0,2785938000.0,
Operating Expense,1713406000.0,1724216000.0,1643627000.0,1458585000.0,
Other Operating Expenses,39000.0,93000.0,62000.0,25967000.0,
Depreciation And Amortization In Income Statement,184790000.0,176827000.0,183459000.0,154986000.0,
Depreciation Income Statement,184790000.0,176827000.0,183459000.0,154986000.0,
Selling General And Administration,631986000.0,663817000.0,597041000.0,462891000.0,
Selling And Marketing Expense,66177000.0,106129000.0,85063000.0,68014000.0,
General And Administrative Expense,565809000.0,557688000.0,511978000.0,394877000.0,
Insurance And Claims,,,,,14664000.0
Rent And Landing Fees,61049000.0,61119000.0,76365000.0,67504000.0,
Total Revenue,4778483000.0,4163871000.0,3952869000.0,3281043000.0,
Operating Revenue,4778483000.0,4163871000.0,3952869000.0,3281043000.0,
