,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-10295795.4,-8989114.6,0.0,0.0,
Tax Rate For Calcs,0.2,0.2,0.178851,0.049,
Normalized EBITDA,-1750007.0,-581890.0,9422906.0,29591872.0,
Total Unusual Items,-51478977.0,-44945573.0,0.0,,
Total Unusual Items Excluding Goodwill,-51478977.0,-44945573.0,0.0,,
Net Income From Continuing Operation Net Minority Interest,-60182955.0,-53487697.0,7701643.0,28230062.0,
Reconciled Depreciation,364293.0,141681.0,43802.0,33679.0,
EBITDA,-53228984.0,-45527463.0,9422906.0,29591872.0,
EBIT,-53593277.0,-45669144.0,9379104.0,29558193.0,
Net Interest Income,-32490.0,-18873.0,-143405.0,-121077.0,
Interest Expense,32490.0,18873.0,0.0,,
Normalized Income,-18999773.4,-17531238.6,7701643.0,28230062.0,
Net Income From Continuing And Discontinued Operation,-60182955.0,-53487697.0,7701643.0,28230062.0,
Total Expenses,12284484.0,12648437.0,6401065.0,4920765.0,
Rent Expense Supplemental,,17375.0,141947.0,131675.0,130244.0
Diluted Average Shares,15000000.0,15000000.0,15101261.0,15000000.0,
Basic Average Shares,15000000.0,15000000.0,15101261.0,15000000.0,
Diluted EPS,-4.01,-3.57,0.51,1.88,
Basic EPS,-4.01,-3.57,0.51,1.88,
Diluted NI Availto Com Stockholders,-60182955.0,-53487697.0,7701643.0,28230062.0,
Net Income Common Stockholders,-60182955.0,-53487697.0,7701643.0,28230062.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-60182955.0,-53487697.0,7701643.0,28230062.0,
Net Income Including Noncontrolling Interests,-60182955.0,-53487697.0,7701643.0,28230062.0,
Net Income Continuous Operations,-60182955.0,-53487697.0,7701643.0,28230062.0,
Tax Provision,6557188.0,7799680.0,1677461.0,1454538.0,
Pretax Income,-53625767.0,-45688017.0,9379104.0,29684600.0,
Other Non Operating Income Expenses,637164.0,326951.0,324449.0,372268.0,
Net Non Operating Interest Income Expense,-32490.0,-18873.0,-143405.0,-121077.0,
Total Other Finance Cost,,1387.0,143405.0,121077.0,48815.0
Interest Expense Non Operating,32490.0,18873.0,0.0,,
Operating Income,-8042383.0,-3018627.0,8961205.0,29558193.0,
Operating Expense,12284484.0,12648437.0,6401065.0,4920765.0,
Other Operating Expenses,,,,304570.0,-1529119.0
Depreciation And Amortization In Income Statement,364293.0,141681.0,,,
Depreciation Income Statement,364293.0,141681.0,,,
Selling General And Administration,4576411.0,7137501.0,3715412.0,1324137.0,
Selling And Marketing Expense,,0.0,19550.0,19550.0,18975.0
General And Administrative Expense,4576411.0,7137501.0,3695862.0,1304587.0,
Rent And Landing Fees,,17375.0,141947.0,131675.0,130244.0
Total Revenue,4242101.0,9629810.0,15362270.0,34478958.0,
Operating Revenue,4242101.0,9629810.0,15362270.0,34478958.0,
