,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,234620509.0,-195953488.0,-90477292.0,193116433.0,
Repurchase Of Capital Stock,0.0,-1908450.0,-19920054.0,0.0,
Repayment Of Debt,-2285568579.0,-1453139103.0,-1356184891.0,-905483934.0,
Issuance Of Debt,2263823084.0,1703426349.0,1604536480.0,905673031.0,
Issuance Of Capital Stock,0.0,15180303.0,,,
Capital Expenditure,-6114085.0,-14068234.0,-1641818.0,-5028640.0,
End Cash Position,220747122.0,179061534.0,159933114.0,152283200.0,
Beginning Cash Position,179061534.0,159933114.0,152283200.0,21563199.0,
Changes In Cash,41685588.0,19128420.0,7649914.0,130720001.0,
Financing Cash Flow,-279196142.0,188843191.0,94153045.0,-81494067.0,
Interest Paid Cff,-89450647.0,-74584211.0,-53010490.0,-20424526.0,
Cash Dividends Paid,-168000000.0,,-81000000.0,-61000000.0,-47000000.0
Common Stock Dividend Paid,,,,-61000000.0,-47000000.0
Net Common Stock Issuance,0.0,13271853.0,-19920054.0,0.0,
Common Stock Payments,0.0,-1908450.0,-19920054.0,0.0,
Common Stock Issuance,0.0,15180303.0,,,
Net Issuance Payments Of Debt,-21745495.0,250287246.0,248351589.0,189097.0,
Net Short Term Debt Issuance,-21745495.0,250287246.0,248351589.0,189097.0,
Short Term Debt Payments,-2285568579.0,-1453139103.0,-1356184891.0,-905483934.0,
Short Term Debt Issuance,2263823084.0,1703426349.0,1604536480.0,905673031.0,
Net Long Term Debt Issuance,,,,,-1188327.0
Long Term Debt Payments,,,,,-788725438.0
Long Term Debt Issuance,,,,,787537111.0
Investing Cash Flow,80147136.0,12170483.0,2332343.0,14068995.0,
Interest Received Cfi,4009372.0,8310930.0,3974161.0,0.0,
Dividends Received Cfi,,,0.0,1732500.0,271875.0
Net Investment Purchase And Sale,82251849.0,-43507772.0,0.0,0.0,
Sale Of Investment,82251849.0,0.0,,,
Purchase Of Investment,0.0,-43507772.0,0.0,0.0,
Net Business Purchase And Sale,0.0,61435559.0,0.0,17365135.0,
Sale Of Business,0.0,61435559.0,0.0,17365135.0,
Net Intangibles Purchase And Sale,-5018620.0,-13403617.0,-1056973.0,-3129386.0,
Purchase Of Intangibles,-5018620.0,-13403617.0,-1056973.0,-3129386.0,
Net PPE Purchase And Sale,-1095465.0,-664617.0,-584845.0,-1899254.0,
Sale Of PPE,,,,0.0,2000.0
Purchase Of PPE,-1095465.0,-664617.0,-584845.0,-1899254.0,
Operating Cash Flow,240734594.0,-181885254.0,-88835474.0,198145073.0,
Taxes Refund Paid,-5869027.0,-10648456.0,-9380885.0,-8403775.0,
Change In Working Capital,163521462.0,-219334981.0,-241456961.0,92238031.0,
Change In Other Current Liabilities,,,55619268.0,-3498784.0,-2955039.0
Change In Other Current Assets,71030150.0,-133564815.0,-230301164.0,230941029.0,
Change In Payable,493717865.0,292952739.0,214276926.0,236975216.0,
Change In Prepaid Assets,8522773.0,9654509.0,65109379.0,-169950773.0,
Change In Inventory,-391548.0,-4729712.0,-1046477.0,-1508743.0,
Change In Receivables,-409357778.0,-383647702.0,-289495625.0,-200719914.0,
Other Non Cash Items,15691488.0,-9914899.0,49036333.0,20678405.0,
Deferred Tax,,6861456.0,10431491.0,9600000.0,8400805.0
Depreciation And Amortization,7403301.0,7442098.0,6383586.0,4930212.0,
Amortization Cash Flow,4051231.0,3786413.0,2682891.0,1266349.0,
Depreciation,3352070.0,3655685.0,3700695.0,3663863.0,
Pension And Employee Benefit Expense,9201891.0,7937308.0,7168740.0,7003011.0,
Gain Loss On Investment Securities,,-12840025.0,,,
Gain Loss On Sale Of PPE,,,,0.0,-2001.0
Gain Loss On Sale Of Business,-90511790.0,-57532443.0,0.0,-15238980.0,
Net Income From Continuing Operations,99253693.0,128599492.0,13973356.0,95863761.0,
