,2025-12-31,2024-12-31,2023-12-31,2022-03-31
Tax Effect Of Unusual Items,-2378885.291947,-10960083.071281,-3909599.395903,99961.357394
Tax Rate For Calcs,0.035521,0.034696,0.026256,0.050343
Normalized EBITDA,1558514819.0,1733683819.0,1817586039.0,987977558.0
Total Unusual Items,-66971182.0,-315890493.0,-148901501.0,1985605.0
Total Unusual Items Excluding Goodwill,-66971182.0,-315890493.0,-148901501.0,1985605.0
Net Income From Continuing Operation Net Minority Interest,1266893372.0,1216906944.0,1514995569.0,775431515.0
Reconciled Depreciation,29377291.0,16144779.0,16779309.0,37645069.0
Reconciled Cost Of Revenue,353680145.0,358435608.0,383488576.0,359445164.0
EBITDA,1491543637.0,1417793326.0,1668684538.0,989963163.0
EBIT,1462166346.0,1401648547.0,1651905229.0,952318094.0
Net Interest Income,-673602819.0,-634144801.0,-355919970.0,-327153817.0
Interest Expense,139006504.0,133484647.0,110436822.0,162339246.0
Interest Income,50295184.0,19452104.0,7124755.0,
Normalized Income,1331485668.708053,1521837353.928719,1659987470.604097,773545871.357394
Net Income From Continuing And Discontinued Operation,1266893372.0,1216906944.0,1514995569.0,775431515.0
Total Expenses,731508669.0,630769854.0,806468417.0,697200711.0
Rent Expense Supplemental,,,,56348376.0
Total Operating Income As Reported,,1965365971.0,1909468066.0,1134219231.0
Diluted Average Shares,474963047.0,474940907.0,474946199.0,475000000.0
Basic Average Shares,474963047.0,474940907.0,474946199.0,475000000.0
Diluted EPS,2.67,2.56,3.19,1.63
Basic EPS,2.67,2.56,3.19,1.63
Diluted NI Availto Com Stockholders,1266893372.0,1216906944.0,1514995569.0,775431515.0
Net Income Common Stockholders,1266893372.0,1216906944.0,1514995569.0,775431515.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1266893372.0,1216906944.0,1514995569.0,775431515.0
Minority Interests,-9266471.0,-7256956.0,14000387.0,25222590.0
Net Income Including Noncontrolling Interests,1276159843.0,1224163900.0,1500995182.0,750208925.0
Net Income Continuous Operations,1276159843.0,1224163900.0,1500995182.0,750208925.0
Tax Provision,46999999.0,44000000.0,40473225.0,39769923.0
Pretax Income,1323159842.0,1268163900.0,1541468407.0,789978848.0
Other Non Operating Income Expenses,-13731223.0,-53571680.0,,
Special Income Charges,-71192274.0,-318813659.0,-156253430.0,1363473.0
Other Special Charges,-239249984.0,,-16286468.0,-1363473.0
Write Off,310442258.0,318813659.0,172539898.0,0.0
Net Non Operating Interest Income Expense,-673602819.0,-634144801.0,-355919970.0,-327153817.0
Total Other Finance Cost,584891499.0,520112258.0,252607903.0,164814571.0
Interest Expense Non Operating,139006504.0,133484647.0,110436822.0,162339246.0
Interest Income Non Operating,50295184.0,19452104.0,7124755.0,
Operating Income,1556787759.0,1713268717.0,1447204845.0,1340284921.0
Operating Expense,377828524.0,272334246.0,422979841.0,337755547.0
Other Operating Expenses,2640239.0,910854.0,21133473.0,13609899.0
Depreciation And Amortization In Income Statement,15344830.0,16144779.0,16779309.0,20975750.0
Amortization,136623.0,,,
Depreciation Income Statement,15208207.0,16144779.0,16779309.0,20975750.0
Selling General And Administration,207870533.0,110585706.0,208237770.0,90013842.0
Selling And Marketing Expense,41315021.0,22891402.0,65453810.0,25440649.0
General And Administrative Expense,166555512.0,87694304.0,142783960.0,64573193.0
Rent And Landing Fees,,,,56348376.0
Gross Profit,1934616283.0,1985602963.0,1870184686.0,1678040468.0
Cost Of Revenue,353680145.0,358435608.0,383488576.0,359445164.0
Total Revenue,2288296428.0,2344038571.0,2253673262.0,2037485632.0
Operating Revenue,2288296428.0,2344038571.0,2253673262.0,2037485632.0
