,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-237249000.0,-332066000.0,271218000.0,89392000.0,
Capital Expenditure,-813000.0,-11612000.0,-9769000.0,,-5833412.0
End Cash Position,94988000.0,106067000.0,77374000.0,189867000.0,
Beginning Cash Position,106067000.0,77374000.0,189867000.0,535498000.0,
Changes In Cash,-11079000.0,28693000.0,-112493000.0,-345631000.0,
Financing Cash Flow,-33447000.0,-31275000.0,0.0,,
Cash Dividends Paid,-30000000.0,-27000000.0,,,
Common Stock Dividend Paid,-30000000.0,-27000000.0,,,
Investing Cash Flow,258804000.0,380422000.0,-393480000.0,-435023000.0,
Net Other Investing Changes,258571000.0,408102000.0,-188869000.0,-363685000.0,
Net Investment Purchase And Sale,788000.0,-21143000.0,-194842000.0,-72308000.0,
Sale Of Investment,74732000.0,127151000.0,,,
Purchase Of Investment,-73944000.0,-148294000.0,,,
Net Intangibles Purchase And Sale,-813000.0,-11612000.0,,,
Purchase Of Intangibles,-813000.0,-11612000.0,,,
Net PPE Purchase And Sale,258000.0,5075000.0,-9769000.0,970000.0,
Sale Of PPE,258000.0,5075000.0,,,
Operating Cash Flow,-236436000.0,-320454000.0,280987000.0,89392000.0,
Taxes Refund Paid,-19853000.0,-9913000.0,-14104000.0,-20744000.0,
Change In Working Capital,-23000.0,-393426000.0,203021000.0,69253000.0,
Change In Other Current Liabilities,-744000.0,-6234000.0,6870000.0,-914000.0,
Change In Accrued Expense,-23178000.0,-14585000.0,-55670000.0,13233000.0,
Change In Payable,-745000.0,-861000.0,2192000.0,765000.0,
Change In Prepaid Assets,-14244000.0,34813000.0,-39086000.0,-17844000.0,
Change In Receivables,,,,-66528642.0,35199662.0
Other Non Cash Items,-4944000.0,-9055000.0,257000.0,253000.0,
Provisionand Write Offof Assets,-4000.0,223000.0,,6936306.0,-8250069.0
Depreciation And Amortization,9787000.0,7445000.0,6300000.0,5861000.0,
Amortization Cash Flow,3967000.0,1606000.0,,,
Depreciation,5820000.0,5839000.0,6300000.0,5861000.0,
Pension And Employee Benefit Expense,4972000.0,4705000.0,3773000.0,3435000.0,
Gain Loss On Investment Securities,8298000.0,-8920000.0,-14753000.0,2999000.0,
Gain Loss On Sale Of PPE,,,,,1135.0
Net Income From Continuing Operations,-232662000.0,57134000.0,103896000.0,31202000.0,
