,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,-1617232.8,0.0,0.0
Tax Rate For Calcs,0.0,0.2,0.2,0.2
Normalized EBITDA,2234697.0,4258.0,3989739.0,3322766.0
Total Unusual Items,-4515419.0,-8086164.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-4515419.0,-8086164.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-19619975.0,-23602702.0,-9770344.0,-10439023.0
Reconciled Depreciation,15733466.0,14921035.0,12753807.0,12589095.0
Reconciled Cost Of Revenue,25416196.0,25772583.0,20486686.0,21378361.0
EBITDA,-2280722.0,-8081906.0,3989739.0,3322766.0
EBIT,-18014188.0,-23002941.0,-8764068.0,-9266329.0
Net Interest Income,-2389378.0,-872445.0,-269986.0,-118009.0
Interest Expense,1605787.0,454710.0,206387.0,118009.0
Normalized Income,-15104556.0,-17133770.8,-9770344.0,-10439023.0
Net Income From Continuing And Discontinued Operation,-19619975.0,-23602702.0,-9770344.0,-10439023.0
Total Expenses,66337657.0,56228050.0,49905802.0,50293185.0
Rent Expense Supplemental,168333.0,600000.0,0.0,
Total Operating Income As Reported,-18680410.0,-23763042.0,-8798972.0,-9445787.0
Diluted Average Shares,100000000.0,100000000.0,100000000.0,100000000.0
Basic Average Shares,100000000.0,100000000.0,100000000.0,100000000.0
Diluted EPS,-0.2,-0.24,-0.09,-0.1
Basic EPS,-0.2,-0.24,-0.09,-0.1
Diluted NI Availto Com Stockholders,-19619975.0,-23602702.0,-9770344.0,-10439023.0
Net Income Common Stockholders,-19619975.0,-23602702.0,-9770344.0,-10439023.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-19619975.0,-23602702.0,-9770344.0,-10439023.0
Net Income Including Noncontrolling Interests,-19619975.0,-23602702.0,-9770344.0,-10439023.0
Net Income Continuous Operations,-19619975.0,-23602702.0,-9770344.0,-10439023.0
Tax Provision,0.0,145051.0,799889.0,1054685.0
Pretax Income,-19619975.0,-23457651.0,-8970455.0,-9384338.0
Other Non Operating Income Expenses,646022.0,426692.0,34904.0,179458.0
Special Income Charges,-4515419.0,-8086164.0,0.0,0.0
Other Special Charges,-20200.0,-73340.0,,
Write Off,,3217696.0,3900000.0,
Impairment Of Capital Assets,4535619.0,8159504.0,0.0,0.0
Net Non Operating Interest Income Expense,-2389378.0,-872445.0,-269986.0,-118009.0
Total Other Finance Cost,783591.0,417735.0,63599.0,
Interest Expense Non Operating,1605787.0,454710.0,206387.0,118009.0
Operating Income,-13361200.0,-14925734.0,-8735373.0,-9445787.0
Operating Expense,40921461.0,30455467.0,29419116.0,28914824.0
Other Operating Expenses,3386772.0,2986739.0,3946758.0,4016178.0
Depreciation And Amortization In Income Statement,2131687.0,1048073.0,188211.0,111740.0
Depreciation Income Statement,2131687.0,1048073.0,188211.0,111740.0
Selling General And Administration,13210175.0,9945849.0,10071370.0,11767153.0
Selling And Marketing Expense,6165873.0,5991362.0,6879506.0,7561693.0
General And Administrative Expense,7044302.0,3954487.0,3191864.0,4205460.0
Rent And Landing Fees,168333.0,600000.0,0.0,
Gross Profit,27560261.0,15529733.0,20683743.0,19469037.0
Cost Of Revenue,25416196.0,25772583.0,20486686.0,21378361.0
Total Revenue,52976457.0,41302316.0,41170429.0,40847398.0
Operating Revenue,52976457.0,41302316.0,41170429.0,40847398.0
