,2025-12-31,2024-12-31
Tax Effect Of Unusual Items,9855.604837,-59112.426519
Tax Rate For Calcs,0.131398,0.100125
Normalized EBITDA,94854187.0,95041865.0
Total Unusual Items,75006.0,-590385.0
Total Unusual Items Excluding Goodwill,75006.0,-590385.0
Net Income From Continuing Operation Net Minority Interest,50473547.0,55510656.0
Reconciled Depreciation,28535105.0,26381683.0
Reconciled Cost Of Revenue,189206767.0,174609376.0
EBITDA,94929193.0,94451480.0
EBIT,66394088.0,68069797.0
Net Interest Income,-8028819.0,-6556699.0
Interest Expense,5727159.0,4844596.0
Normalized Income,50408396.604837,56041928.573481
Net Income From Continuing And Discontinued Operation,50473547.0,55510656.0
Total Expenses,333030711.0,321705482.0
Rent Expense Supplemental,1129536.0,803088.0
Total Operating Income As Reported,64560596.0,65442478.0
Diluted Average Shares,16000000.0,16000000.0
Basic Average Shares,16000000.0,16000000.0
Diluted EPS,3.15,3.469416
Basic EPS,3.15,3.469416
Diluted NI Availto Com Stockholders,50473547.0,55510656.0
Net Income Common Stockholders,50473547.0,55510656.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,50473547.0,55510656.0
Minority Interests,-2221896.0,-1384108.0
Net Income Including Noncontrolling Interests,52695443.0,56894764.0
Net Income Continuous Operations,52695443.0,56894764.0
Tax Provision,7971486.0,6330437.0
Pretax Income,60666929.0,63225201.0
Other Non Operating Income Expenses,647461.0,438578.0
Special Income Charges,75006.0,-590385.0
Other Special Charges,-169032.0,-518626.0
Write Off,94026.0,1109011.0
Net Non Operating Interest Income Expense,-8028819.0,-6556699.0
Total Other Finance Cost,2301660.0,1712103.0
Interest Expense Non Operating,5727159.0,4844596.0
Operating Income,66956282.0,68263592.0
Operating Expense,143823944.0,147096106.0
Other Operating Expenses,679271.0,-117399.0
Depreciation And Amortization In Income Statement,28535105.0,26381683.0
Amortization,99440.0,95784.0
Depreciation Income Statement,28435665.0,26285899.0
Selling General And Administration,35667313.0,44462841.0
Selling And Marketing Expense,15117325.0,21751038.0
General And Administrative Expense,20549988.0,22711803.0
Rent And Landing Fees,1129536.0,803088.0
Gross Profit,210780226.0,215359698.0
Cost Of Revenue,189206767.0,174609376.0
Total Revenue,399986993.0,389969074.0
Operating Revenue,399986993.0,389969074.0
